,what,is,the,name,of,the,two-tentacled,cydippid,that,feedsentirely,on,salps,called,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.30245840549468994,0.3269699513912201,0.5473989248275757,0.34761470556259155,0.5107308030128479,0.37917643785476685,0.489897221326828,0.22068053483963013
two-tentacled,0.22787415981292725,0.27536433935165405,0.30245840549468994,0.19612233340740204,0.28130480647087097,0.30245840549468994,1.0,0.49316269159317017,0.3292009234428406,0.5070207715034485,0.23082084953784943,0.38287001848220825,0.2874171733856201,0.25277775526046753
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.1001104861497879,0.06780257821083069,0.029072100296616554,0.12678341567516327,0.052125945687294006,0.05285148695111275,0.0006792216445319355,-0.03274054825305939,0.1715305894613266,0.00907047651708126,0.0685480609536171
cydippid,0.2701593041419983,0.22633759677410126,0.3269699513912201,0.20290561020374298,0.293387770652771,0.3269699513912201,0.49316269159317017,1.0000001192092896,0.3501744270324707,0.3295605480670929,0.19014181196689606,0.42217370867729187,0.33596813678741455,0.2854539453983307
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.003883055876940489,0.13035868108272552,0.041273195296525955,-0.07989031076431274,0.013242856599390507,0.007880004122853279,-0.0763094425201416,0.04238596186041832,-0.09315866231918335,0.021102847531437874,0.018684765323996544
lampea,0.2222192883491516,0.28508007526397705,0.34457653760910034,0.21511441469192505,0.31898409128189087,0.34457653760910034,0.34758326411247253,0.3773762583732605,0.26321467757225037,0.29891473054885864,0.2450464814901352,0.4536045789718628,0.2348264455795288,0.14703132212162018
feeds,0.16822469234466553,0.2784455716609955,0.251257985830307,0.17778021097183228,0.1416754126548767,0.251257985830307,0.5116016268730164,0.32668325304985046,0.23903648555278778,0.6687605977058411,0.28373438119888306,0.3251281976699829,0.20164670050144196,0.17537976801395416
exclusively,0.1829550862312317,0.2355491667985916,0.3155750334262848,0.09922223538160324,0.21564675867557526,0.3155750334262848,0.28136304020881653,0.23696750402450562,0.28489214181900024,0.5054507255554199,0.3105802834033966,0.2528189718723297,0.2283748835325241,0.09723977744579315
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.5107308030128479,0.23082084953784943,0.19014181196689606,0.42569106817245483,0.4092247486114502,0.9999999403953552,0.2616880536079407,0.25462663173675537,0.2714994251728058
salps,0.2288230061531067,0.24139109253883362,0.37917643785476685,0.08178361505270004,0.3363766074180603,0.37917643785476685,0.38287001848220825,0.42217370867729187,0.251373827457428,0.3612000048160553,0.2616880536079407,0.9999999403953552,0.23545120656490326,0.1657872498035431
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2859920263290405,0.24592694640159607,0.4137537479400635,0.3981042206287384,0.49057599902153015,0.3392649292945862,0.26549121737480164,0.31091248989105225
close,0.23424343764781952,0.26769399642944336,0.2625353932380676,0.18751230835914612,0.24178770184516907,0.2625353932380676,0.13909205794334412,0.1754225194454193,0.2975064516067505,0.1973728984594345,0.2985970079898834,0.24569173157215118,0.18781903386116028,0.1908312737941742
relatives,0.1565784066915512,0.11001893877983093,0.13813774287700653,0.1521061807870865,0.17165488004684448,0.13813774287700653,0.31427130103111267,0.3197264075279236,0.24421492218971252,0.2689689099788666,0.1183328926563263,0.26434022188186646,0.18985490500926971,0.1256532222032547
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.28130480647087097,0.293387770652771,0.41498205065727234,0.27258530259132385,0.3966929316520691,0.3363766074180603,0.4222904443740845,0.1826142966747284
sea-squirts,0.19557537138462067,0.3586539626121521,0.36346209049224854,0.2295559197664261,0.3199672996997833,0.36346209049224854,0.5942692160606384,0.4673519730567932,0.33729806542396545,0.508914589881897,0.26280489563941956,0.45512640476226807,0.3487408459186554,0.17203937470912933
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.5473989248275757,0.3292009234428406,0.3501744270324707,1.0,0.4683159291744232,0.42569106817245483,0.251373827457428,0.41604554653167725,0.32716336846351624
form,0.15868011116981506,0.3218395411968231,0.29286009073257446,0.2751023769378662,0.29600051045417786,0.29286009073257446,0.2557615637779236,0.3102118968963623,0.31894639134407043,0.20540501177310944,0.1214052140712738,0.1721077263355255,0.39092445373535156,0.1463010311126709
large,0.2017821967601776,0.2971126437187195,0.3828733265399933,0.1343102604150772,0.3569655418395996,0.3828733265399933,0.3539883494377136,0.33260267972946167,0.34200385212898254,0.30039364099502563,0.23191727697849274,0.27727898955345154,0.3623717129230499,0.1355665624141693
chain-like,0.2481907457113266,0.21365861594676971,0.2847246527671814,0.14643189311027527,0.23391911387443542,0.2847246527671814,0.37401631474494934,0.26136597990989685,0.3252769112586975,0.33252108097076416,0.26275157928466797,0.29920393228530884,0.3154020607471466,0.1667768508195877
floating,0.22671008110046387,0.25443342328071594,0.2539454996585846,0.11811381578445435,0.22077718377113342,0.2539454996585846,0.3764708638191223,0.21553334593772888,0.3184250593185425,0.30680298805236816,0.2517450153827667,0.19925175607204437,0.24300433695316315,0.19971981644630432
colonies,0.20822033286094666,0.16222579777240753,0.30451729893684387,0.09008032828569412,0.2890703082084656,0.30451729893684387,0.3024650812149048,0.3135538399219513,0.21322624385356903,0.2523285746574402,0.19056418538093567,0.2907959520816803,0.23732919991016388,0.07886616140604019
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2859920263290405,0.24592694640159607,0.4137537479400635,0.3981042206287384,0.49057599902153015,0.3392649292945862,0.26549121737480164,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.24639460444450378,0.2749423682689667,0.4731321930885315,0.4047206938266754,0.4077630043029785,0.31356099247932434,0.3251761794090271,0.20544172823429108
juveniles,0.23870603740215302,0.2051621824502945,0.25865915417671204,0.09256588667631149,0.21348455548286438,0.25865915417671204,0.33725666999816895,0.36410653591156006,0.32480403780937195,0.37450775504112244,0.14215709269046783,0.3144209682941437,0.16349071264266968,0.20202435553073883
