,who,was,the,head,of,the,household,that,temüjin,joined,when,he,was,nine,years,old,?
temüjin,0.416724294424057,0.38774195313453674,0.43713900446891785,0.23875534534454346,0.378805011510849,0.43713900446891785,0.2717132270336151,0.4035418629646301,1.0,0.202919140458107,0.38259974122047424,0.44463157653808594,0.38774195313453674,0.24922645092010498,0.3053538501262665,0.27992942929267883,0.21090233325958252
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.2465479075908661,0.4069072902202606,0.48711544275283813,0.20707203447818756,0.33670201897621155,0.38774195313453674,0.3172960579395294,0.37326499819755554,0.5410010814666748,1.0000001192092896,0.2782309651374817,0.35855233669281006,0.2867572605609894,0.18412111699581146
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.2177244871854782,0.41548454761505127,0.535392165184021,0.24151477217674255,0.5436353087425232,0.36858871579170227,0.18175388872623444,0.5423505902290344,0.385390967130661,0.3636345863342285,0.2271491289138794,0.23891852796077728,0.2412436157464981,0.29463258385658264
live,0.21460703015327454,0.18769018352031708,0.2995128035545349,0.1019212156534195,0.27734068036079407,0.2995128035545349,0.17123033106327057,0.22191597521305084,0.21570304036140442,0.16754423081874847,0.16599178314208984,0.19680418074131012,0.18769018352031708,0.22206270694732666,0.25656792521476746,0.1752767711877823,0.19481121003627777
there,0.2844357192516327,0.24909798800945282,0.47025805711746216,0.11010269075632095,0.44397735595703125,0.47025805711746216,0.19929030537605286,0.6006520986557007,0.31587013602256775,0.15104246139526367,0.34822648763656616,0.29805925488471985,0.24909798800945282,0.2575280964374542,0.26500028371810913,0.2585259974002838,0.29405656456947327
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.21927717328071594,0.5696388483047485,0.6662389636039734,0.19101502001285553,0.435920387506485,0.3433155417442322,0.29866936802864075,0.4431333839893341,0.41690486669540405,0.45514053106307983,0.303353875875473,0.33554986119270325,0.2865324318408966,0.20430970191955566
service,0.21098247170448303,0.22689001262187958,0.22661015391349792,0.10422783344984055,0.18425606191158295,0.22661015391349792,0.20937196910381317,0.24765339493751526,0.18576964735984802,0.23478859663009644,0.23540960252285004,0.2013363242149353,0.22689001262187958,0.2127256542444229,0.1571505218744278,0.1618315875530243,0.1676298975944519
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.2177244871854782,0.41548454761505127,0.535392165184021,0.24151477217674255,0.5436353087425232,0.36858871579170227,0.18175388872623444,0.5423505902290344,0.385390967130661,0.3636345863342285,0.2271491289138794,0.23891852796077728,0.2412436157464981,0.29463258385658264
dai,0.24500732123851776,0.1591780036687851,0.1360853612422943,0.15019752085208893,0.16473940014839172,0.1360853612422943,0.20402376353740692,0.13268786668777466,0.4152839183807373,0.07488735020160675,0.10864049941301346,0.133354052901268,0.1591780036687851,0.11465862393379211,0.11775581538677216,0.11878539621829987,0.12014257162809372
setsen,0.2715761065483093,0.24499286711215973,0.26465630531311035,0.23669767379760742,0.19265323877334595,0.26465630531311035,0.18331573903560638,0.2176111936569214,0.28771400451660156,0.19186677038669586,0.2842762768268585,0.28795304894447327,0.24499286711215973,0.26888033747673035,0.2553173899650574,0.2153998464345932,0.21198785305023193
