,the,french,and,indian,war,was,the,new,world,aspect,of,what,european,conflict,?
by,0.4408751428127289,0.23343317210674286,0.4289871156215668,0.14617662131786346,0.18974854052066803,0.4752357602119446,0.4408751428127289,0.25394493341445923,0.22306372225284576,0.15796492993831635,0.3646814823150635,0.2455483376979828,0.17922990024089813,0.2066044807434082,0.17966607213020325
the,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.48711544275283813,1.0,0.3845241069793701,0.33604270219802856,0.24363651871681213,0.733189046382904,0.42745697498321533,0.3423081040382385,0.2974752187728882,0.22068053483963013
time,0.43061500787734985,0.1929292231798172,0.3025408685207367,0.15715134143829346,0.2664822041988373,0.3641340136528015,0.43061500787734985,0.2320125252008438,0.36250725388526917,0.23177945613861084,0.35127586126327515,0.36319252848625183,0.2870848476886749,0.2309575080871582,0.27391523122787476
of,0.733189046382904,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.4069072902202606,0.733189046382904,0.343457967042923,0.2828933000564575,0.26582151651382446,1.0,0.33290785551071167,0.2507138252258301,0.2620731294155121,0.1826142966747284
the,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.48711544275283813,1.0,0.3845241069793701,0.33604270219802856,0.24363651871681213,0.733189046382904,0.42745697498321533,0.3423081040382385,0.2974752187728882,0.22068053483963013
french,0.2555147111415863,1.0000001192092896,0.32751965522766113,0.32775163650512695,0.2536753714084625,0.2523815333843231,0.2555147111415863,0.1977054476737976,0.18726977705955505,0.055556003004312515,0.19450366497039795,0.17393042147159576,0.30328667163848877,0.17950670421123505,0.1386883556842804
and,0.5171257257461548,0.32751965522766113,1.0,0.24078236520290375,0.29695844650268555,0.3740963041782379,0.5171257257461548,0.31402453780174255,0.3246132433414459,0.2093125432729721,0.5116966962814331,0.31309178471565247,0.24143946170806885,0.272842675447464,0.20544172823429108
indian,0.23407642543315887,0.32775163650512695,0.24078236520290375,1.0000001192092896,0.23471178114414215,0.23096419870853424,0.23407642543315887,0.14793221652507782,0.21218299865722656,0.17242120206356049,0.24303589761257172,0.18037962913513184,0.23149901628494263,0.18607747554779053,0.09909533709287643
war,0.366199791431427,0.2536753714084625,0.29695844650268555,0.23471178114414215,1.0000001192092896,0.3560331463813782,0.366199791431427,0.18623678386211395,0.4748530089855194,0.15305425226688385,0.31680163741111755,0.22516006231307983,0.2521776556968689,0.49024683237075806,0.15510529279708862
(,0.33289089798927307,0.19998501241207123,0.4862271547317505,0.15017758309841156,0.17743611335754395,0.2980341613292694,0.33289089798927307,0.24608564376831055,0.22099611163139343,0.18374016880989075,0.35032153129577637,0.2411840260028839,0.17014704644680023,0.19248107075691223,0.40561532974243164
