,what,group,has,no,feeding,appendages,?
the,0.42745697498321533,0.30795547366142273,0.4177538752555847,0.3461136817932129,0.27616533637046814,0.26958802342414856,0.22068053483963013
beroida,0.15078282356262207,0.28550979495048523,0.1448877602815628,0.14404705166816711,0.2825091481208801,0.3024665415287018,0.211763396859169
",",0.3087472915649414,0.2809832692146301,0.3734780251979828,0.29972612857818604,0.193827286362648,0.2414616048336029,0.31091248989105225
also,0.42747777700424194,0.3116292357444763,0.505894660949707,0.30939173698425293,0.2658224105834961,0.22371777892112732,0.21848613023757935
known,0.20381177961826324,0.24512334167957306,0.2451976239681244,0.13360221683979034,0.1446627825498581,0.16327530145645142,0.18314571678638458
as,0.31749409437179565,0.2519444227218628,0.351646363735199,0.28687340021133423,0.22896987199783325,0.21801377832889557,0.27043893933296204
nuda,0.22774268686771393,0.16837140917778015,0.2176927775144577,0.2412717342376709,0.28773945569992065,0.2902565598487854,0.2695187032222748
",",0.3087472915649414,0.2809832692146301,0.3734780251979828,0.29972612857818604,0.193827286362648,0.2414616048336029,0.31091248989105225
have,0.39808809757232666,0.3034582734107971,0.6353569626808167,0.38691386580467224,0.2816201150417328,0.3468359112739563,0.32991164922714233
no,0.339326947927475,0.17740367352962494,0.2747333347797394,1.0,0.2053041309118271,0.20005851984024048,0.32165053486824036
feeding,0.25255632400512695,0.20361989736557007,0.18872423470020294,0.2053041309118271,0.9999998807907104,0.4480324387550354,0.1769361048936844
appendages,0.16250260174274445,0.17036603391170502,0.1954231858253479,0.20005851984024048,0.4480324387550354,1.0000001192092896,0.18116378784179688
",",0.3087472915649414,0.2809832692146301,0.3734780251979828,0.29972612857818604,0.193827286362648,0.2414616048336029,0.31091248989105225
but,0.5029441118240356,0.2500153183937073,0.41906601190567017,0.3842293322086334,0.258578896522522,0.26761260628700256,0.27921953797340393
their,0.35142919421195984,0.31846651434898376,0.2814009487628937,0.25597304105758667,0.3368818163871765,0.328451544046402,0.1898253709077835
large,0.2017821967601776,0.23502057790756226,0.2609269917011261,0.18730458617210388,0.3083931803703308,0.3324565887451172,0.1355665624141693
pharynx,0.24592235684394836,0.1854637712240219,0.1883651316165924,0.16951701045036316,0.44710564613342285,0.5077480673789978,0.19402775168418884
",",0.3087472915649414,0.2809832692146301,0.3734780251979828,0.29972612857818604,0.193827286362648,0.2414616048336029,0.31091248989105225
just,0.5854880809783936,0.18295815587043762,0.2977585196495056,0.3342157006263733,0.20936831831932068,0.21061189472675323,0.4144178032875061
inside,0.2567365765571594,0.17401470243930817,0.28542184829711914,0.1851876974105835,0.32742276787757874,0.32401716709136963,0.14505037665367126
the,0.42745697498321533,0.30795547366142273,0.4177538752555847,0.3461136817932129,0.27616533637046814,0.26958802342414856,0.22068053483963013
large,0.2017821967601776,0.23502057790756226,0.2609269917011261,0.18730458617210388,0.3083931803703308,0.3324565887451172,0.1355665624141693
mouth,0.18337541818618774,-0.003947712481021881,0.20715270936489105,0.17725268006324768,0.371159166097641,0.3115590512752533,0.21761061251163483
and,0.31309178471565247,0.3510662019252777,0.43716782331466675,0.25880882143974304,0.2352248579263687,0.2637026906013489,0.20544172823429108
filling,0.2489190697669983,0.0933341309428215,0.25846150517463684,0.1484294831752777,0.26795491576194763,0.28930139541625977,0.21185900270938873
most,0.3219912350177765,0.28064751625061035,0.3426419198513031,0.23710472881793976,0.2118326872587204,0.24822959303855896,0.2107497900724411
of,0.33290785551071167,0.25542253255844116,0.3909035325050354,0.24809792637825012,0.2187827229499817,0.29222574830055237,0.1826142966747284
the,0.42745697498321533,0.30795547366142273,0.4177538752555847,0.3461136817932129,0.27616533637046814,0.26958802342414856,0.22068053483963013
saclike,0.34555014967918396,0.30460673570632935,0.29119735956192017,0.17653952538967133,0.3163595497608185,0.4180600047111511,0.21114559471607208
body,0.2143840193748474,0.162854865193367,0.1710911989212036,0.22352643311023712,0.28123795986175537,0.3698746860027313,0.20136451721191406
",",0.3087472915649414,0.2809832692146301,0.3734780251979828,0.29972612857818604,0.193827286362648,0.2414616048336029,0.31091248989105225
bears,0.19530993700027466,0.17063038051128387,0.24292784929275513,0.1646527796983719,0.27236899733543396,0.2907995879650116,0.13283714652061462
``,0.008517155423760414,0.14310015738010406,0.06254398077726364,0.0809432715177536,0.11673901230096817,0.23322555422782898,0.0685480609536171
macrocilia,0.23893707990646362,0.2049163281917572,0.18049685657024384,0.16043168306350708,0.33328112959861755,0.40017732977867126,0.20947900414466858
'',0.08143015950918198,0.017886392772197723,0.004576915875077248,0.07282674312591553,-0.09811045974493027,0.0021810324396938086,0.018684765323996544
at,0.2838611304759979,0.13662685453891754,0.2743658423423767,0.203653946518898,0.22225558757781982,0.18059810996055603,0.21978627145290375
the,0.42745697498321533,0.30795547366142273,0.4177538752555847,0.3461136817932129,0.27616533637046814,0.26958802342414856,0.22068053483963013
oral,0.20099733769893646,0.05041532590985298,0.1277739554643631,0.10275501757860184,0.2599208950996399,0.21883289515972137,0.15616728365421295
end,0.29234179854393005,0.1830439567565918,0.19698017835617065,0.23133859038352966,0.20741674304008484,0.2019394189119339,0.12543344497680664
.,0.3567904531955719,0.27268800139427185,0.4105546176433563,0.35224834084510803,0.2532356083393097,0.2640751600265503,0.4130953550338745
