,what,type,of,reaction,is,present,in,the,emergency,oxygen,generator,of,an,airplane,?
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.23682725429534912,0.658733606338501,0.14277903735637665,0.539380669593811,0.5829201340675354,0.23433780670166016,0.21662019193172455,0.27703046798706055,0.5052502155303955,0.44552403688430786,0.2547331154346466,0.23916715383529663
steady,0.20998579263687134,0.2188931554555893,0.1419646441936493,0.2881566286087036,0.12673571705818176,0.18390683829784393,0.19392818212509155,0.2435702234506607,0.19998037815093994,0.2800300121307373,0.3204023540019989,0.1419646441936493,0.18786679208278656,0.182840958237648,0.12034343183040619
stream,0.15652818977832794,0.222004234790802,0.1779453009366989,0.18378442525863647,0.29532310366630554,0.16766129434108734,0.2099897712469101,0.2507912814617157,0.08669030666351318,0.20111678540706635,0.3300148546695709,0.1779453009366989,0.10611271858215332,0.13348904252052307,0.11238504201173782
of,0.33290785551071167,0.18112817406654358,1.0,0.16853101551532745,0.4854315221309662,0.3116828501224518,0.5696388483047485,0.733189046382904,0.2012619823217392,0.16848602890968323,0.19814532995224,1.0,0.32280945777893066,0.2008112370967865,0.1826142966747284
oxygen,0.16781960427761078,0.16191279888153076,0.16848602890968323,0.45145896077156067,0.21825239062309265,0.1954377293586731,0.1672476977109909,0.20428593456745148,0.261570543050766,0.9999999403953552,0.2606959939002991,0.16848602890968323,0.20976382493972778,0.24225930869579315,0.16786395013332367
gas,0.20887799561023712,0.15206468105316162,0.21246914565563202,0.31086716055870056,0.1897863894701004,0.13985255360603333,0.20770272612571716,0.2339978665113449,0.21629120409488678,0.45564013719558716,0.3311012387275696,0.21246914565563202,0.15387937426567078,0.22050681710243225,0.1582372784614563
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.19925570487976074,1.0,0.1967432200908661,0.5394441485404968,0.5823672413825989,0.1768258661031723,0.21825239062309265,0.23755419254302979,0.4854315221309662,0.4654068350791931,0.1507640779018402,0.22961433231830597
then,0.4072686731815338,0.19247165322303772,0.2937326431274414,0.17638900876045227,0.24618037045001984,0.2546273469924927,0.36253848671913147,0.4297412931919098,0.21853435039520264,0.20067159831523895,0.29011070728302,0.2937326431274414,0.18823587894439697,0.15687088668346405,0.2884598970413208
produced,0.1393624097108841,0.12300962954759598,0.18961067497730255,0.239018976688385,0.25678005814552307,0.18174384534358978,0.2542861998081207,0.22045251727104187,0.10917084664106369,0.1870262175798416,0.3005266487598419,0.18961067497730255,0.16673175990581512,0.12561026215553284,0.1623450517654419
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.28173506259918213,0.3899846076965332,0.15190309286117554,0.370934396982193,0.4408751428127289,0.13830094039440155,0.1292176991701126,0.2376958578824997,0.3646814823150635,0.2719563841819763,0.1824512481689453,0.17966607213020325
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2163003534078598,0.5823672413825989,0.2829846143722534,0.6662389636039734,1.0,0.21307751536369324,0.20428593456745148,0.25154173374176025,0.733189046382904,0.4207492768764496,0.21215564012527466,0.22068053483963013
exothermic,0.28274208307266235,0.28783395886421204,0.3063250780105591,0.604330837726593,0.32844623923301697,0.19335591793060303,0.3048943877220154,0.3014257848262787,0.27737170457839966,0.5292146801948547,0.42662161588668823,0.3063250780105591,0.3109092712402344,0.29869478940963745,0.23664477467536926
reaction,0.304030179977417,0.2528596520423889,0.16853101551532745,0.9999999403953552,0.19925570487976074,0.159640833735466,0.21261514723300934,0.2163003534078598,0.25931933522224426,0.45145896077156067,0.3225095570087433,0.16853101551532745,0.2372366487979889,0.18826636672019958,0.2138621062040329
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2695828676223755,0.4569662809371948,0.23765113949775696,0.5591574311256409,0.5934505462646484,0.2231423705816269,0.2554275095462799,0.2531001567840576,0.5352458953857422,0.3581749200820923,0.2610034644603729,0.4130953550338745
