,what,do,plastoglobuli,exchange,contents,with,?
plastoglobuli,0.21423041820526123,0.29083991050720215,0.9999999403953552,0.18983158469200134,0.32449695467948914,0.25170445442199707,0.205425426363945
were,0.22298263013362885,0.23274902999401093,0.25454646348953247,0.08122193068265915,0.20057524740695953,0.3179011940956116,0.17890112102031708
once,0.38428619503974915,0.23754847049713135,0.26321864128112793,0.16948552429676056,0.23141440749168396,0.38511526584625244,0.17750471830368042
thought,0.4469435214996338,0.2794938385486603,0.21572278439998627,0.09933464229106903,0.21558122336864471,0.24736863374710083,0.2600135803222656
to,0.455847829580307,0.38876664638519287,0.24701064825057983,0.20507046580314636,0.2691158354282379,0.4239959120750427,0.29463258385658264
be,0.3929833769798279,0.36575672030448914,0.30443769693374634,0.12586179375648499,0.3789840638637543,0.36101722717285156,0.3324260413646698
free-floating,0.28897103667259216,0.27843502163887024,0.329782098531723,0.25390130281448364,0.3697451055049896,0.27297982573509216,0.22936536371707916
in,0.30808621644973755,0.23402775824069977,0.26680368185043335,0.21970009803771973,0.19839578866958618,0.4080928862094879,0.20430970191955566
the,0.42745697498321533,0.30239659547805786,0.29747703671455383,0.2543705105781555,0.2977584898471832,0.4223487675189972,0.22068053483963013
stroma,0.17679446935653687,0.13022096455097198,0.40088462829589844,0.11492229253053665,0.10147359222173691,0.21947376430034637,0.15478113293647766
",",0.3087472915649414,0.3283645510673523,0.2822408080101013,0.2447657436132431,0.26168105006217957,0.4120737314224243,0.31091248989105225
but,0.5029441118240356,0.4077886939048767,0.2681211829185486,0.1683511584997177,0.30019673705101013,0.4495173394680023,0.27921953797340393
it,0.45803478360176086,0.337066113948822,0.2458065301179886,0.1887912154197693,0.3049103915691376,0.3369046747684479,0.25732165575027466
is,0.28837618231773376,0.30895981192588806,0.30912309885025024,0.19539384543895721,0.23626908659934998,0.3250955045223236,0.22961433231830597
now,0.4903225302696228,0.2690879702568054,0.27691563963890076,0.1239544078707695,0.154178187251091,0.2213166505098343,0.29641881585121155
thought,0.4469435214996338,0.2794938385486603,0.21572278439998627,0.09933464229106903,0.21558122336864471,0.24736863374710083,0.2600135803222656
that,0.6297725439071655,0.44533252716064453,0.2958715856075287,0.18288086354732513,0.35629138350486755,0.4154358208179474,0.32716336846351624
