,what,year,did,the,storm,hit,richard,'s,fleet,?
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.2075699269771576,0.24006043374538422,0.23321768641471863,-0.037580832839012146,0.2123277485370636,0.20430970191955566
april,0.21502700448036194,0.27374204993247986,0.2925565242767334,0.23232673108577728,0.19109344482421875,0.1939268559217453,0.17211711406707764,-0.05799118056893349,0.1565553843975067,0.25704094767570496
1191,0.18917204439640045,0.12499822676181793,0.13286353647708893,0.18893873691558838,0.16188055276870728,0.15229928493499756,0.06717552244663239,0.021073084324598312,0.18394044041633606,0.08324359357357025
richard,0.19329693913459778,0.15675048530101776,0.17407897114753723,0.2087954580783844,0.1573115438222885,0.11573673784732819,0.9999999403953552,-0.04731119051575661,0.1486954540014267,0.15003317594528198
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.25350332260131836,0.2674407958984375,0.2087954580783844,-0.01540423184633255,0.2742159962654114,0.22068053483963013
lion-hearted,0.3155917823314667,0.24230647087097168,0.3125312030315399,0.3394210934638977,0.2319500595331192,0.30616816878318787,0.3420671820640564,0.05877140909433365,0.19353735446929932,0.30675244331359863
left,0.2442072629928589,0.16721561551094055,0.27335280179977417,0.33113980293273926,0.17643329501152039,0.22515954077243805,0.20951907336711884,0.0003564352518878877,0.12560544908046722,0.13251960277557373
messina,0.23959466814994812,0.11950331181287766,0.1414339393377304,0.2030634731054306,0.17708632349967957,0.26800215244293213,0.16905564069747925,0.004756090231239796,0.19113345444202423,0.1864606887102127
with,0.2464839518070221,0.3220449686050415,0.25472134351730347,0.4223487675189972,0.19520945847034454,0.20896050333976746,0.16466177999973297,-0.04624466598033905,0.1398346722126007,0.2433311939239502
a,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.18023444712162018,0.2646505832672119,0.243032768368721,0.04866964742541313,0.1622469574213028,0.23916715383529663
large,0.2017821967601776,0.12452022731304169,0.2084006518125534,0.3828733265399933,0.206105574965477,0.17399394512176514,0.11972076445817947,0.06319566071033478,0.21621458232402802,0.1355665624141693
fleet,0.11475414037704468,0.12089019268751144,0.13072851300239563,0.2742159962654114,0.24750851094722748,0.2085738182067871,0.1486954540014267,0.013549926690757275,0.9999999403953552,0.1324779987335205
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.2075699269771576,0.24006043374538422,0.23321768641471863,-0.037580832839012146,0.2123277485370636,0.20430970191955566
order,0.16634008288383484,0.12298163771629333,0.22891858220100403,0.3284194767475128,0.07213835418224335,0.10404132306575775,0.1311093270778656,-0.07080218195915222,0.2420816272497177,0.13725648820400238
to,0.455847829580307,0.23523004353046417,0.4452643394470215,0.535392165184021,0.2240765243768692,0.20389078557491302,0.213526651263237,0.03782717138528824,0.22896136343479156,0.29463258385658264
reach,0.23399507999420166,0.17448854446411133,0.2372579574584961,0.31808504462242126,0.2124454528093338,0.38909924030303955,0.05175795406103134,0.019294504076242447,0.1910046637058258,0.13152138888835907
acre,0.1380721777677536,0.25191301107406616,0.08688085526227951,0.21760721504688263,0.11637361347675323,0.07878031581640244,0.1793503314256668,0.06987852603197098,0.19820858538150787,0.13702569901943207
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.227887362241745,0.25226855278015137,0.24983328580856323,-0.003708066651597619,0.1738884598016739,0.4130953550338745
