,what,are,those,with,lower,incomes,less,likely,to,have,in,order,to,prepare,for,the,future,?
the,0.42745697498321533,0.40399202704429626,0.42861196398735046,0.4223487675189972,0.3463275134563446,0.3008386194705963,0.29185041785240173,0.28129076957702637,0.535392165184021,0.40389683842658997,0.6662389636039734,0.3284194767475128,0.535392165184021,0.2688513994216919,0.4739971458911896,1.0,0.2337762415409088,0.22068053483963013
justification,0.41217631101608276,0.26144611835479736,0.35098394751548767,0.19351376593112946,0.1538645476102829,0.2493230700492859,0.22623491287231445,0.2738887369632721,0.23092837631702423,0.31303730607032776,0.18786969780921936,0.26969006657600403,0.23092837631702423,0.20467853546142578,0.3395598828792572,0.26831284165382385,0.22578838467597961,0.4005378186702728
for,0.3017193675041199,0.3895993232727051,0.3446582555770874,0.39140474796295166,0.15945355594158173,0.29778382182121277,0.3358951508998871,0.2984500229358673,0.4451248347759247,0.41175219416618347,0.4322226941585541,0.16561681032180786,0.4451248347759247,0.3313103914260864,0.9999999403953552,0.4739971458911896,0.2983153760433197,0.264628142118454
this,0.5489566326141357,0.35762670636177063,0.4362025260925293,0.36358317732810974,0.25191617012023926,0.3313685953617096,0.4385764002799988,0.44067075848579407,0.5759071707725525,0.4660032093524933,0.45205554366111755,0.28142353892326355,0.5759071707725525,0.27924928069114685,0.5082864165306091,0.6274310946464539,0.26451030373573303,0.3155723512172699
is,0.28837618231773376,0.5330929756164551,0.2352088838815689,0.3250955045223236,0.20806168019771576,0.26356327533721924,0.3123510479927063,0.2638912796974182,0.42745086550712585,0.3613572418689728,0.5394441485404968,0.19403748214244843,0.42745086550712585,0.1455000340938568,0.43268078565597534,0.5823672413825989,0.1601216346025467,0.22961433231830597
that,0.6297725439071655,0.45265161991119385,0.5085503458976746,0.4154358208179474,0.25661587715148926,0.3058178126811981,0.42165717482566833,0.4531876742839813,0.5436353087425232,0.6182622313499451,0.435920387506485,0.2761181890964508,0.5436353087425232,0.27459150552749634,0.4137635827064514,0.5473989248275757,0.31481194496154785,0.32716336846351624
a,0.3320399522781372,0.265255331993103,0.24251152575016022,0.3783375024795532,0.2221667766571045,0.2569819688796997,0.3475147485733032,0.3132456839084625,0.45503583550453186,0.338716596364975,0.539380669593811,0.24138490855693817,0.45503583550453186,0.23257680237293243,0.44038116931915283,0.5829201340675354,0.16284751892089844,0.23916715383529663
lack,0.28247135877609253,0.32981225848197937,0.4124082326889038,0.24107974767684937,0.22928668558597565,0.31332284212112427,0.3759518265724182,0.31865406036376953,0.29025790095329285,0.4883601665496826,0.18643079698085785,0.16391383111476898,0.29025790095329285,0.1939212679862976,0.3265889286994934,0.2674623131752014,0.1542574018239975,0.16953514516353607
of,0.33290785551071167,0.39081433415412903,0.37935635447502136,0.41827285289764404,0.31757521629333496,0.35291701555252075,0.30836719274520874,0.2704482078552246,0.41548454761505127,0.3802283704280853,0.5696388483047485,0.31287699937820435,0.41548454761505127,0.2213987559080124,0.4185989499092102,0.733189046382904,0.25455814599990845,0.1826142966747284
education,0.19940856099128723,0.14324818551540375,0.21833743155002594,0.11138669401407242,0.21266406774520874,0.39176082611083984,0.14383840560913086,0.10616475343704224,0.2626708149909973,0.19461645185947418,0.2654339671134949,0.17571455240249634,0.2626708149909973,0.26455411314964294,0.27265021204948425,0.23982903361320496,0.18208760023117065,0.18067774176597595
