,what,equates,to,a,squared,integer,according,to,polynomial,time,reduction,?
for,0.3017193675041199,0.2560734152793884,0.4451248347759247,0.44038116931915283,0.20931121706962585,0.13336773216724396,0.1956551969051361,0.4451248347759247,0.21961666643619537,0.3992156386375427,0.2523634135723114,0.264628142118454
example,0.3456268310546875,0.3314712643623352,0.3451666533946991,0.40234753489494324,0.3459191620349884,0.33317652344703674,0.19780400395393372,0.3451666533946991,0.4040064811706543,0.31812599301338196,0.3020326793193817,0.30374911427497864
",",0.3087472915649414,0.22958680987358093,0.44245919585227966,0.427140474319458,0.2776510715484619,0.20468677580356598,0.3107093870639801,0.44245919585227966,0.21592853963375092,0.3029961884021759,0.20516319572925568,0.31091248989105225
the,0.42745697498321533,0.23277580738067627,0.535392165184021,0.5829201340675354,0.3062373101711273,0.14182277023792267,0.3202974498271942,0.535392165184021,0.1902180016040802,0.43061500787734985,0.27052462100982666,0.22068053483963013
problem,0.42183366417884827,0.3818049728870392,0.2502208352088928,0.2605542540550232,0.3041059970855713,0.32351139187812805,0.18892109394073486,0.2502208352088928,0.4493931233882904,0.3373833894729614,0.3494492769241333,0.3762950301170349
of,0.33290785551071167,0.21411004662513733,0.41548454761505127,0.5052502155303955,0.2518334984779358,0.158325657248497,0.3307822346687317,0.41548454761505127,0.23810522258281708,0.35127586126327515,0.2803387939929962,0.1826142966747284
squaring,0.34414225816726685,0.4155289828777313,0.3128284811973572,0.34011420607566833,0.7478969693183899,0.42570051550865173,0.21263672411441803,0.3128284811973572,0.48961713910102844,0.3131053149700165,0.3001912832260132,0.24212612211704254
an,0.2821882665157318,0.18338049948215485,0.3138085603713989,0.44552403688430786,0.23812973499298096,0.18641431629657745,0.16550497710704803,0.3138085603713989,0.21938882768154144,0.17594800889492035,0.2275005280971527,0.19793890416622162
integer,0.23293888568878174,0.4155178368091583,0.18582624197006226,0.22195649147033691,0.45801839232444763,1.0,0.10880346596240997,0.18582624197006226,0.5823593735694885,0.22958701848983765,0.24288174510002136,0.2503974437713623
can,0.34502777457237244,0.29892632365226746,0.4979398250579834,0.3915780484676361,0.29752427339553833,0.29095104336738586,0.1606743335723877,0.4979398250579834,0.35969632863998413,0.2720869183540344,0.30914753675460815,0.3226337134838104
be,0.3929833769798279,0.33831626176834106,0.4972836375236511,0.39883795380592346,0.30139222741127014,0.2557193338871002,0.2703677713871002,0.4972836375236511,0.3050982654094696,0.3473503291606903,0.288789838552475,0.3324260413646698
reduced,0.11519023776054382,0.17639018595218658,0.23179234564304352,0.2214837223291397,0.23604251444339752,0.1705121546983719,0.197358176112175,0.23179234564304352,0.2809356451034546,0.24495935440063477,0.6677064895629883,0.10234767943620682
to,0.455847829580307,0.28793784976005554,1.0,0.45503583550453186,0.20050747692584991,0.18582624197006226,0.28520727157592773,1.0,0.22792209684848785,0.3679993152618408,0.248092919588089,0.29463258385658264
the,0.42745697498321533,0.23277580738067627,0.535392165184021,0.5829201340675354,0.3062373101711273,0.14182277023792267,0.3202974498271942,0.535392165184021,0.1902180016040802,0.43061500787734985,0.27052462100982666,0.22068053483963013
problem,0.42183366417884827,0.3818049728870392,0.2502208352088928,0.2605542540550232,0.3041059970855713,0.32351139187812805,0.18892109394073486,0.2502208352088928,0.4493931233882904,0.3373833894729614,0.3494492769241333,0.3762950301170349
of,0.33290785551071167,0.21411004662513733,0.41548454761505127,0.5052502155303955,0.2518334984779358,0.158325657248497,0.3307822346687317,0.41548454761505127,0.23810522258281708,0.35127586126327515,0.2803387939929962,0.1826142966747284
multiplying,0.3022106885910034,0.4856329560279846,0.27114933729171753,0.27440372109413147,0.525775134563446,0.6266050934791565,0.11045508086681366,0.27114933729171753,0.5772983431816101,0.33672115206718445,0.36169302463531494,0.20277070999145508
two,0.23363454639911652,0.24207858741283417,0.3343428373336792,0.3289857804775238,0.29460060596466064,0.2279278188943863,0.19777405261993408,0.3343428373336792,0.2791208326816559,0.33960169553756714,0.1991182118654251,0.19645625352859497
integers,0.2691354751586914,0.46235936880111694,0.22159059345722198,0.23136194050312042,0.48070505261421204,0.9381136894226074,0.14687630534172058,0.22159059345722198,0.611768901348114,0.2530197501182556,0.2820882499217987,0.2591196596622467
.,0.3567904531955719,0.215494766831398,0.4645031690597534,0.50484299659729,0.34637072682380676,0.19786179065704346,0.29052162170410156,0.4645031690597534,0.2530868649482727,0.371569961309433,0.23716990649700165,0.4130953550338745
