,what,led,to,the,production,of,tea,paraphernalia,such,as,china,and,caddies,during,the,georgian,period,?
for,0.3017193675041199,0.2628403306007385,0.4451248347759247,0.4739971458911896,0.26936712861061096,0.4185989499092102,0.2581605017185211,0.197124183177948,0.36098620295524597,0.44774648547172546,0.15661011636257172,0.5064792633056641,0.29883673787117004,0.3448435664176941,0.4739971458911896,0.12981043756008148,0.27999383211135864,0.264628142118454
example,0.3456268310546875,0.1537739336490631,0.3451666533946991,0.3755223751068115,0.19970446825027466,0.3570667505264282,0.2233959585428238,0.2619529962539673,0.4555383324623108,0.35903409123420715,0.18266978859901428,0.35305824875831604,0.3353177309036255,0.19390994310379028,0.3755223751068115,0.1290602684020996,0.2542102634906769,0.30374911427497864
",",0.3087472915649414,0.22548827528953552,0.44245919585227966,0.4933079481124878,0.24176549911499023,0.4946078956127167,0.20361459255218506,0.2743973433971405,0.39626169204711914,0.48816442489624023,0.27650898694992065,0.6633074283599854,0.3224964141845703,0.3225448727607727,0.4933079481124878,0.2587116062641144,0.25030651688575745,0.31091248989105225
the,0.42745697498321533,0.3267505168914795,0.535392165184021,1.0,0.2657334506511688,0.733189046382904,0.206143319606781,0.200684055685997,0.3575236201286316,0.48381632566452026,0.3110525608062744,0.5171257257461548,0.31452229619026184,0.4838213622570038,1.0,0.21775341033935547,0.3125074505805969,0.22068053483963013
increase,0.21153631806373596,0.2822531759738922,0.3378143310546875,0.32049667835235596,0.29218894243240356,0.3156060576438904,0.14190517365932465,0.2257159948348999,0.2946314811706543,0.24019303917884827,0.2285507470369339,0.2751924991607666,0.2709778845310211,0.21474911272525787,0.32049667835235596,0.06958210468292236,0.22310243546962738,0.11119163036346436
in,0.30808621644973755,0.2990247309207916,0.45010748505592346,0.6662389636039734,0.22079120576381683,0.5696388483047485,0.21426554024219513,0.17168885469436646,0.2704046070575714,0.3887844979763031,0.267821341753006,0.4954058527946472,0.2774559557437897,0.4627237319946289,0.6662389636039734,0.14640694856643677,0.23051127791404724,0.20430970191955566
tea,0.1909407526254654,0.13466671109199524,0.2029065489768982,0.206143319606781,0.2503020167350769,0.206013485789299,0.9999999403953552,0.16354058682918549,0.13887517154216766,0.16363681852817535,0.2913344204425812,0.22572338581085205,0.3587842285633087,0.127815380692482,0.206143319606781,0.10636229068040848,0.17758417129516602,0.18135163187980652
drinking,0.21567115187644958,0.09367892146110535,0.23371180891990662,0.24362654983997345,0.18054746091365814,0.23645314574241638,0.43007758259773254,0.30250343680381775,0.24091456830501556,0.18511530756950378,0.21948911249637604,0.27531862258911133,0.36170193552970886,0.24161715805530548,0.24362654983997345,0.10693897306919098,0.1584552675485611,0.18765781819820404
led,0.12112844735383987,0.9999999403953552,0.21815308928489685,0.3267505168914795,0.16761913895606995,0.32918456196784973,0.13466671109199524,0.18525643646717072,0.19558767974376678,0.20535489916801453,0.19702774286270142,0.2780643701553345,0.15089403092861176,0.3935515582561493,0.3267505168914795,0.1384430080652237,0.20263679325580597,0.09273858368396759
to,0.455847829580307,0.21815308928489685,1.0,0.535392165184021,0.2144220918416977,0.41548454761505127,0.2029065489768982,0.19153819978237152,0.2871878743171692,0.42092081904411316,0.1938052773475647,0.48971283435821533,0.30018576979637146,0.2828781306743622,0.535392165184021,0.13666412234306335,0.24346192181110382,0.29463258385658264
