,what,health,issue,did,tesla,suffer,?
nikola,0.1137276440858841,0.11212120950222015,0.1253470927476883,0.1303156167268753,0.5656248331069946,0.05988104268908501,0.06297405064105988
suffered,0.13741295039653778,0.34101632237434387,0.16631397604942322,0.28497523069381714,0.06396197527647018,0.7251672148704529,0.08963493257761002
a,0.3320399522781372,0.21166443824768066,0.24249422550201416,0.2552328109741211,0.2211925983428955,0.2534792721271515,0.23916715383529663
nervous,0.28047090768814087,0.32789546251296997,0.1600145399570465,0.22258715331554413,0.1592334806919098,0.3096321225166321,0.171977236866951
breakdown,0.22417770326137543,0.3322809040546417,0.1536482721567154,0.14484427869319916,0.19270475208759308,0.4196607172489166,0.09663234651088715
at,0.2838611304759979,0.17992424964904785,0.2206503450870514,0.28390252590179443,0.16552478075027466,0.14727629721164703,0.21978627145290375
around,0.27475327253341675,0.18218880891799927,0.1460976004600525,0.1658935695886612,0.13338635861873627,0.15452392399311066,0.14729668200016022
the,0.42745697498321533,0.2340974360704422,0.22164808213710785,0.34736719727516174,0.1324402391910553,0.22818626463413239,0.22068053483963013
same,0.3764382302761078,0.17694664001464844,0.21349376440048218,0.3097444474697113,0.1633947193622589,0.2799592912197113,0.22649677097797394
time,0.36319252848625183,0.21205806732177734,0.29072150588035583,0.3567926585674286,0.14928559958934784,0.21758167445659637,0.27391523122787476
.,0.3567904531955719,0.25832483172416687,0.2539304792881012,0.35288307070732117,0.17949827015399933,0.18533723056316376,0.4130953550338745
