,what,can,a,teacher,with,25,years,of,experience,make,",",in,euros,?
the,0.42745697498321533,0.312528520822525,0.5829201340675354,0.17760860919952393,0.4223487675189972,0.1671934723854065,0.2912273406982422,0.733189046382904,0.21682339906692505,0.3146495521068573,0.4933079481124878,0.6662389636039734,0.2295008897781372,0.22068053483963013
basic,0.3564627468585968,0.35349568724632263,0.2517271041870117,0.20039136707782745,0.30148401856422424,0.10493218898773193,0.13840252161026,0.2817785441875458,0.25398823618888855,0.3141361474990845,0.2850632071495056,0.2729884386062622,0.1439528912305832,0.26534420251846313
pay,0.2870062291622162,0.15456581115722656,0.1940600425004959,0.09950850158929825,0.18971611559391022,0.23278403282165527,0.2230532467365265,0.1583462655544281,0.25143083930015564,0.2876473069190979,0.18754567205905914,0.14415781199932098,0.28852465748786926,0.19821009039878845
for,0.3017193675041199,0.35690054297447205,0.44038116931915283,0.23373261094093323,0.39140474796295166,0.16109365224838257,0.2878222167491913,0.4185989499092102,0.29364609718322754,0.386745423078537,0.4464869201183319,0.4322226941585541,0.2906069755554199,0.264628142118454
a,0.3320399522781372,0.3915780484676361,1.0,0.31202319264411926,0.3783375024795532,0.12003126740455627,0.23773819208145142,0.5052502155303955,0.2513456344604492,0.34303420782089233,0.427140474319458,0.539380669593811,0.1746826171875,0.23916715383529663
starting,0.25271084904670715,0.19378900527954102,0.3460865914821625,0.21221424639225006,0.2254450023174286,0.18368744850158691,0.2602826654911041,0.23960795998573303,0.19090840220451355,0.23465953767299652,0.2485944926738739,0.3013272285461426,0.14915087819099426,0.19133803248405457
teacher,0.20492632687091827,0.15007992088794708,0.31202319264411926,0.9999998807907104,0.13737362623214722,0.025676505640149117,0.19210392236709595,0.19968076050281525,0.2824347913265228,0.11971144378185272,0.2884024977684021,0.22632350027561188,0.09216341376304626,0.1797819435596466
is,0.28837618231773376,0.44256699085235596,0.658733606338501,0.2001669555902481,0.3250955045223236,-0.0007095441687852144,0.19551363587379456,0.4854315221309662,0.19130541384220123,0.3331545889377594,0.4691906273365021,0.5394441485404968,0.18584652245044708,0.22961433231830597
"€27,814",-0.014320769347250462,0.08098343014717102,0.02803368866443634,0.04868599772453308,0.08784265071153641,0.009487916715443134,0.03196227177977562,0.012780282646417618,0.13800853490829468,0.1040477380156517,0.1077943965792656,0.06504424661397934,-0.02092215232551098,0.14722608029842377
p.a.,0.4099445641040802,0.34381720423698425,0.15320923924446106,0.075973741710186,0.15661178529262543,0.17310863733291626,0.09719249606132507,0.04387345165014267,0.34135177731513977,0.28677797317504883,0.23212546110153198,0.08708672225475311,0.20682848989963531,0.5089440941810608
",",0.3087472915649414,0.3139454126358032,0.427140474319458,0.2884024977684021,0.4120737314224243,0.08225981146097183,0.2589467465877533,0.4946078956127167,0.22459560632705688,0.324553906917572,1.0000001192092896,0.5201468467712402,0.18826323747634888,0.31091248989105225
rising,0.18883290886878967,0.1691201627254486,0.2153616100549698,0.09767746180295944,0.24365566670894623,0.14303332567214966,0.1631373167037964,0.27970030903816223,0.16845527291297913,0.14426927268505096,0.21649663150310516,0.26222285628318787,0.17715786397457123,0.07955946773290634
incrementally,0.29870671033859253,0.3645414412021637,0.302285373210907,0.20417724549770355,0.2839278280735016,0.2510238587856293,0.22220130264759064,0.23704025149345398,0.23964305222034454,0.27318403124809265,0.23051238059997559,0.20083197951316833,0.24896745383739471,0.31027862429618835
to,0.455847829580307,0.4979398250579834,0.45503583550453186,0.1991342306137085,0.4239959120750427,0.12336429208517075,0.23891852796077728,0.41548454761505127,0.25535836815834045,0.497876912355423,0.44245919585227966,0.45010748505592346,0.2357807755470276,0.29463258385658264
"€53,423",0.029067540541291237,-0.0060682836920022964,0.12600333988666534,0.018185662105679512,-0.024215053766965866,-0.11642561852931976,0.059636183083057404,0.14361192286014557,-0.1353989839553833,-0.04249965026974678,0.008051342330873013,0.1425991654396057,-0.07388923317193985,-0.07769537717103958
for,0.3017193675041199,0.35690054297447205,0.44038116931915283,0.23373261094093323,0.39140474796295166,0.16109365224838257,0.2878222167491913,0.4185989499092102,0.29364609718322754,0.386745423078537,0.4464869201183319,0.4322226941585541,0.2906069755554199,0.264628142118454
a,0.3320399522781372,0.3915780484676361,1.0,0.31202319264411926,0.3783375024795532,0.12003126740455627,0.23773819208145142,0.5052502155303955,0.2513456344604492,0.34303420782089233,0.427140474319458,0.539380669593811,0.1746826171875,0.23916715383529663
teacher,0.20492632687091827,0.15007992088794708,0.31202319264411926,0.9999998807907104,0.13737362623214722,0.025676505640149117,0.19210392236709595,0.19968076050281525,0.2824347913265228,0.11971144378185272,0.2884024977684021,0.22632350027561188,0.09216341376304626,0.1797819435596466
with,0.2464839518070221,0.3572797477245331,0.3783375024795532,0.13737362623214722,0.9999999403953552,0.12313620746135712,0.21224987506866455,0.41827285289764404,0.2553955614566803,0.39503780007362366,0.4120737314224243,0.4080928862094879,0.22992415726184845,0.2433311939239502
25,0.12916474044322968,0.05468060076236725,0.12003126740455627,0.025676505640149117,0.12313620746135712,1.0,0.09386838227510452,0.13541533052921295,0.15504373610019684,0.1004345715045929,0.08225981146097183,0.14793018996715546,0.16474781930446625,0.09614268690347672
years,0.1981470286846161,0.1606326848268509,0.23773819208145142,0.19210392236709595,0.21224987506866455,0.09386838227510452,1.0,0.2904134690761566,0.25097304582595825,0.1641692966222763,0.2589467465877533,0.33554986119270325,0.2244795858860016,0.1914375126361847
service,0.16857224702835083,0.18118314445018768,0.23104366660118103,0.15878121554851532,0.20442402362823486,0.23423543572425842,0.1571505218744278,0.18425606191158295,0.2296602427959442,0.16250090301036835,0.2389259785413742,0.1740635335445404,0.1905115246772766,0.1676298975944519
.,0.3567904531955719,0.35783761739730835,0.50484299659729,0.225234717130661,0.4446153938770294,0.1367403268814087,0.31919315457344055,0.5352458953857422,0.22749435901641846,0.3547073304653168,0.6812511086463928,0.5591574311256409,0.22745674848556519,0.4130953550338745
