,which,historic,empire,used,cultural,imperialism,to,sway,local,elites,?
nor,0.32342129945755005,0.1293572634458542,0.06836040318012238,0.20808614790439606,0.19312070310115814,0.13813219964504242,0.29058706760406494,0.16582217812538147,0.16249483823776245,0.10802237689495087,0.2602383494377136
is,0.4457404911518097,0.19778819382190704,0.18343110382556915,0.3288823366165161,0.1658732146024704,0.13894762098789215,0.42745086550712585,0.14170299470424652,0.13173899054527283,0.09069652110338211,0.22961433231830597
such,0.406057745218277,0.20477308332920074,0.16838842630386353,0.4262988865375519,0.16211064159870148,0.16803118586540222,0.2871878743171692,0.19187761843204498,0.1956140697002411,0.17609263956546783,0.17851735651493073
a,0.56894451379776,0.23105008900165558,0.1900206059217453,0.3864384889602661,0.21751533448696136,0.17335295677185059,0.45503583550453186,0.16203594207763672,0.2435571700334549,0.12726029753684998,0.23916715383529663
usage,0.3001024127006531,0.2089851051568985,0.22665178775787354,0.4020148515701294,0.21953719854354858,0.2769415080547333,0.3090202808380127,0.1901387721300125,0.2012416571378708,0.12498525530099869,0.20954200625419617
of,0.5011631846427917,0.2833002209663391,0.30522286891937256,0.3075267970561981,0.29898300766944885,0.29240643978118896,0.41548454761505127,0.12970560789108276,0.20668989419937134,0.14040906727313995,0.1826142966747284
culture,0.21281319856643677,0.3187410533428192,0.2684440016746521,0.19804461300373077,0.6551339030265808,0.3405192196369171,0.1957503855228424,0.135257288813591,0.2050779014825821,0.22861522436141968,0.13093146681785583
recent,0.2930300831794739,0.20920294523239136,0.08512931317090988,0.18701882660388947,0.16790331900119781,0.14303426444530487,0.31205716729164124,0.21164602041244507,0.17191483080387115,0.12946341931819916,0.2544887959957123
",",0.3658004403114319,0.22526510059833527,0.27646857500076294,0.3120402991771698,0.24125681817531586,0.2420617640018463,0.44245919585227966,0.21160505712032318,0.20673875510692596,0.1466609537601471,0.31091248989105225
as,0.41006597876548767,0.24026529490947723,0.21108263731002808,0.35160550475120544,0.19805553555488586,0.2192956656217575,0.42092081904411316,0.2860410213470459,0.21087346971035004,0.22464267909526825,0.27043893933296204
