,what,happened,as,a,result,of,the,russo-japanese,war,?
as,0.31749409437179565,0.20198430120944977,1.0,0.39550232887268066,0.2939164340496063,0.3886612355709076,0.48381632566452026,0.2515009343624115,0.24018222093582153,0.27043893933296204
a,0.3320399522781372,0.2774496078491211,0.39550232887268066,1.0,0.2767398953437805,0.5052502155303955,0.5829201340675354,0.25540727376937866,0.2368277609348297,0.23916715383529663
result,0.19945499300956726,0.31838259100914,0.2939164340496063,0.2767398953437805,1.0000001192092896,0.231380432844162,0.27778977155685425,0.14664112031459808,0.18274202942848206,0.17218433320522308
of,0.33290785551071167,0.30501094460487366,0.3886612355709076,0.5052502155303955,0.231380432844162,1.0,0.733189046382904,0.2318735122680664,0.31680163741111755,0.1826142966747284
the,0.42745697498321533,0.3589572608470917,0.48381632566452026,0.5829201340675354,0.27778977155685425,0.733189046382904,1.0,0.2759344279766083,0.366199791431427,0.22068053483963013
russo-japanese,0.15928073227405548,0.16113126277923584,0.2515009343624115,0.25540727376937866,0.14664112031459808,0.2318735122680664,0.2759344279766083,1.0,0.33049875497817993,0.1194218173623085
war,0.22516006231307983,0.3277305066585541,0.24018222093582153,0.2368277609348297,0.18274202942848206,0.31680163741111755,0.366199791431427,0.33049875497817993,1.0000001192092896,0.15510529279708862
in,0.30808621644973755,0.3302023410797119,0.3887844979763031,0.539380669593811,0.25670310854911804,0.5696388483047485,0.6662389636039734,0.20220819115638733,0.29904094338417053,0.20430970191955566
1905,0.160391703248024,0.13378632068634033,0.05629478394985199,0.015643341466784477,0.11492572724819183,0.08918522298336029,0.11463959515094757,0.21254748106002808,0.23054851591587067,0.1770307421684265
",",0.3087472915649414,0.3230119049549103,0.48816442489624023,0.427140474319458,0.23341737687587738,0.4946078956127167,0.4933079481124878,0.2505168914794922,0.2671184241771698,0.31091248989105225
japan,0.1865565925836563,0.15851911902427673,0.17443884909152985,0.20427335798740387,0.1314091831445694,0.2358245700597763,0.22735914587974548,0.5367475152015686,0.20527175068855286,0.1312343180179596
took,0.1316593885421753,0.3990231156349182,0.2319253534078598,0.18697012960910797,0.13952739536762238,0.2766268849372864,0.31657639145851135,0.16390813887119293,0.28374937176704407,0.14109265804290771
part,0.3476244807243347,0.3099426031112671,0.2563304007053375,0.3994528353214264,0.24438610672950745,0.452393114566803,0.527681291103363,0.1854991763830185,0.2434709668159485,0.08557961881160736
of,0.33290785551071167,0.30501094460487366,0.3886612355709076,0.5052502155303955,0.231380432844162,1.0,0.733189046382904,0.2318735122680664,0.31680163741111755,0.1826142966747284
sakhalin,0.25658276677131653,0.15751813352108002,0.21775586903095245,0.20915524661540985,0.17523182928562164,0.2231670320034027,0.3058997094631195,0.3927002549171448,0.2560032904148102,0.14044742286205292
island,0.1299295574426651,0.191375270485878,0.22717182338237762,0.2505504786968231,0.132416233420372,0.24887794256210327,0.2837921977043152,0.24174953997135162,0.20021535456180573,0.0887429490685463
from,0.2737620174884796,0.21165096759796143,0.3251767158508301,0.322764128446579,0.2199978530406952,0.4249346852302551,0.40150508284568787,0.19850078225135803,0.1811102032661438,0.19969791173934937
russia,0.1695178896188736,0.17329110205173492,0.1889127492904663,0.18307989835739136,0.12266547977924347,0.23331232368946075,0.2746676802635193,0.3742341995239258,0.23956188559532166,0.13907001912593842
.,0.3567904531955719,0.29012542963027954,0.515582263469696,0.50484299659729,0.31092435121536255,0.5352458953857422,0.5934505462646484,0.24510101974010468,0.3000848889350891,0.4130953550338745
