,which,company,has,been,able,to,air,multiple,ads,at,a,steep,discount,?
this,0.6719430088996887,0.2114456593990326,0.4198763072490692,0.3736515939235687,0.34348174929618835,0.5759071707725525,0.2279079556465149,0.2323962301015854,0.20538488030433655,0.32544323801994324,0.5422310829162598,0.26648733019828796,0.27842849493026733,0.3155723512172699
would,0.3854503035545349,0.2073281854391098,0.3014826476573944,0.3617405891418457,0.5841130018234253,0.5965728163719177,0.1601065695285797,0.239353746175766,0.2619149684906006,0.3073931038379669,0.398599237203598,0.2115505337715149,0.2625957131385803,0.37178951501846313
be,0.476310670375824,0.1454060822725296,0.3863394856452942,0.5304332375526428,0.3856765329837799,0.4972836375236511,0.16170021891593933,0.25947198271751404,0.21184858679771423,0.30379733443260193,0.39883795380592346,0.20412687957286835,0.23872312903404236,0.3324260413646698
the,0.6521818041801453,0.26591673493385315,0.4177538752555847,0.3563927710056305,0.3435857892036438,0.535392165184021,0.2877824306488037,0.20022359490394592,0.18265272676944733,0.457212895154953,0.5829201340675354,0.23276886343955994,0.2309042513370514,0.22068053483963013
final,0.27655747532844543,0.07612226158380508,0.15146847069263458,0.14671653509140015,0.2057538479566574,0.26099109649658203,0.13997627794742584,0.14444126188755035,0.15712609887123108,0.20822679996490479,0.24625235795974731,0.10593786090612411,0.13252626359462738,0.17315025627613068
year,0.242343008518219,0.1253320872783661,0.2526876926422119,0.2560553550720215,0.17978797852993011,0.23523004353046417,0.15147104859352112,0.1613706350326538,0.23746393620967865,0.3146436810493469,0.29350247979164124,0.17422564327716827,0.21942609548568726,0.18315006792545319
in,0.4840516746044159,0.22141718864440918,0.4173259735107422,0.3515113592147827,0.23456627130508423,0.45010748505592346,0.22172939777374268,0.18657618761062622,0.170392245054245,0.4374977946281433,0.539380669593811,0.1665322482585907,0.1967834085226059,0.20430970191955566
a,0.56894451379776,0.22037413716316223,0.4670248031616211,0.3315402865409851,0.2874686121940613,0.45503583550453186,0.23199330270290375,0.23904410004615784,0.12881463766098022,0.3095070421695709,1.0,0.2259364277124405,0.18131038546562195,0.23916715383529663
multi-year,0.21977214515209198,0.30106908082962036,0.18054187297821045,0.21139155328273773,0.19595026969909668,0.23433144390583038,0.2354918271303177,0.49625787138938904,0.26025280356407166,0.22030407190322876,0.23240144550800323,0.12734335660934448,0.25867655873298645,0.23846855759620667
contract,0.24838416278362274,0.32347777485847473,0.1088416799902916,0.09447858482599258,0.22062578797340393,0.2871469259262085,0.11548496037721634,0.16582398116588593,0.1882823407649994,0.11972115933895111,0.20562967658042908,0.14932669699192047,0.18620026111602783,0.12573233246803284
with,0.46403205394744873,0.24132338166236877,0.44092974066734314,0.2804456949234009,0.3051167130470276,0.4239959120750427,0.2050205022096634,0.23303250968456268,0.19044262170791626,0.29126521944999695,0.3783375024795532,0.20399965345859528,0.1599145382642746,0.2433311939239502
anheuser-busch,0.2684417963027954,0.37906011939048767,0.26052871346473694,0.3011491894721985,0.17881518602371216,0.26502183079719543,0.19904577732086182,0.15869955718517303,0.33323046565055847,0.19075694680213928,0.2742675840854645,0.15234620869159698,0.2830316126346588,0.33981800079345703
inbev,0.18758729100227356,0.2887456715106964,0.17250822484493256,0.1499854177236557,0.12422890216112137,0.12917304039001465,0.23767881095409393,0.24869921803474426,0.21954692900180817,0.20404523611068726,0.2264009267091751,0.056505829095840454,0.20573726296424866,0.24258218705654144
that,0.6894589066505432,0.22723333537578583,0.41272613406181335,0.4152003228664398,0.4536534547805786,0.5436353087425232,0.19720019400119781,0.25217002630233765,0.2523993253707886,0.3183255195617676,0.47537946701049805,0.230005145072937,0.272271066904068,0.32716336846351624
allowed,0.3234473168849945,0.18670186400413513,0.1733020693063736,0.2442728579044342,0.5606535077095032,0.42967355251312256,0.15482217073440552,0.16661004722118378,0.23240910470485687,0.25512567162513733,0.275193989276886,0.21438568830490112,0.26610496640205383,0.2309964895248413
