,what,is,the,second,level,of,territorial,division,in,poland,?
tasks,0.3378678560256958,0.20374782383441925,0.232274129986763,0.1181555688381195,0.28443774580955505,0.2524705231189728,0.14811278879642487,0.18568985164165497,0.1798897534608841,0.1324775367975235,0.2558839023113251
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2743909955024719,0.29463574290275574,0.5116966962814331,0.28447896242141724,0.23460866510868073,0.4954058527946472,0.2642565965652466,0.20544172823429108
privileges,0.2580983340740204,0.2138998955488205,0.22788169980049133,0.14521758258342743,0.22844912111759186,0.2306697964668274,0.27440571784973145,0.15297242999076843,0.19223371148109436,0.23394878208637238,0.25979867577552795
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.23317520320415497,0.4946078956127167,0.2575375437736511,0.24344468116760254,0.5201468467712402,0.2751549184322357,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.336174339056015,0.3123716711997986,0.5011631846427917,0.25344017148017883,0.27775809168815613,0.4840516746044159,0.16731977462768555,0.25814583897590637
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.13331100344657898,0.2331918329000473,0.39081433415412903,0.17587381601333618,0.1811521351337433,0.3841303884983063,0.11459933966398239,0.24591213464736938
possessed,0.22652171552181244,0.1920645385980606,0.2998364567756653,0.1444218009710312,0.20886856317520142,0.2872394919395447,0.2564333975315094,0.09693749994039536,0.24227310717105865,0.11108905076980591,0.10175421833992004
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.2977677285671234,0.17142534255981445,0.3646814823150635,0.18253903090953827,0.18997035920619965,0.370934396982193,0.1312405914068222,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.31442487239837646,0.733189046382904,0.3039662539958954,0.26203617453575134,0.6662389636039734,0.24871079623699188,0.22068053483963013
units,0.1804584264755249,0.18204201757907867,0.2691343426704407,0.23113682866096497,0.19274894893169403,0.2597769498825073,0.1974395513534546,0.26770538091659546,0.24701444804668427,0.18839699029922485,0.089388407766819
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.353416383266449,0.23504668474197388,1.0,0.31948116421699524,0.23579144477844238,0.5696388483047485,0.26632049679756165,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.31442487239837646,0.733189046382904,0.3039662539958954,0.26203617453575134,0.6662389636039734,0.24871079623699188,0.22068053483963013
second,0.19948028028011322,0.3161451518535614,0.4620301127433777,1.0,0.19305673241615295,0.353416383266449,0.11215803772211075,0.20447029173374176,0.34510284662246704,0.20466876029968262,0.17239587008953094
level,0.27376922965049744,0.24803997576236725,0.31442487239837646,0.19305673241615295,0.9999998807907104,0.23504668474197388,0.18803676962852478,0.24646008014678955,0.279204785823822,0.13047437369823456,0.20528386533260345
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.353416383266449,0.23504668474197388,1.0,0.31948116421699524,0.23579144477844238,0.5696388483047485,0.26632049679756165,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.31442487239837646,0.733189046382904,0.3039662539958954,0.26203617453575134,0.6662389636039734,0.24871079623699188,0.22068053483963013
territorial,0.21081089973449707,0.13631148636341095,0.3039662539958954,0.11215803772211075,0.18803676962852478,0.31948116421699524,1.0000001192092896,0.29566603899002075,0.25956836342811584,0.25509777665138245,0.10118355602025986
division,0.19144181907176971,0.20176531374454498,0.26203617453575134,0.20447029173374176,0.24646008014678955,0.23579144477844238,0.29566603899002075,1.0,0.2658538520336151,0.20934662222862244,0.08900629729032516
–,0.13008765876293182,0.1436920464038849,0.2607575058937073,0.2380884289741516,0.09112493693828583,0.2799985408782959,0.16115671396255493,0.14279437065124512,0.23687128722667694,0.1611247956752777,0.2714554965496063
counties,0.18263769149780273,0.19452480971813202,0.23370873928070068,0.1558460295200348,0.13920621573925018,0.2559657096862793,0.3218187391757965,0.20629984140396118,0.26787781715393066,0.21487759053707123,0.09521792083978653
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.15801078081130981,0.3087853193283081,0.3792596757411957,0.2431134283542633,0.10904507339000702,0.3586423695087433,0.19075128436088562,0.32389625906944275
powiats,0.24815544486045837,0.27402594685554504,0.36983251571655273,0.19220559298992157,0.32632017135620117,0.35747772455215454,0.36810827255249023,0.2961580455303192,0.3684271574020386,0.4814480245113373,0.2536420524120331
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.346034437417984,0.26056769490242004,0.5352458953857422,0.29538410902023315,0.27855971455574036,0.5591574311256409,0.2872875928878784,0.4130953550338745
