,over,how,many,species,of,trees,can,be,found,in,the,saxon,garden,?
there,0.33811676502227783,0.3328511416912079,0.4993700683116913,0.3110367953777313,0.44397735595703125,0.2954008877277374,0.36423051357269287,0.41019052267074585,0.34913212060928345,0.5361666083335876,0.47025805711746216,0.20047926902770996,0.2057621330022812,0.29405656456947327
are,0.2778770923614502,0.311818927526474,0.5655534863471985,0.3297041952610016,0.39081433415412903,0.33265092968940735,0.5408529043197632,0.5556803941726685,0.2740558087825775,0.3841303884983063,0.40399202704429626,0.10686341673135757,0.1611964851617813,0.24591213464736938
over,1.0,0.31446483731269836,0.47131630778312683,0.26368066668510437,0.36136594414711,0.30575618147850037,0.3160167336463928,0.27136483788490295,0.21425367891788483,0.3605569899082184,0.39856547117233276,0.14610914885997772,0.2068491131067276,0.25742942094802856
100,0.133681058883667,0.16096413135528564,0.19939450919628143,0.24414466321468353,0.1816425770521164,0.207741841673851,0.13689623773097992,0.20611454546451569,0.25811442732810974,0.10141821950674057,0.16408909857273102,0.1629280298948288,0.1361328661441803,0.19397632777690887
different,0.3395211398601532,0.411273330450058,0.6061229109764099,0.292740136384964,0.3747533857822418,0.2598054111003876,0.4908648133277893,0.3756779432296753,0.21611827611923218,0.29409363865852356,0.36412742733955383,0.15669269859790802,0.10814612358808517,0.24476227164268494
species,0.26368066668510437,0.20142129063606262,0.25436872243881226,0.9999999403953552,0.23307405412197113,0.46833252906799316,0.29763275384902954,0.25450053811073303,0.31353896856307983,0.2179255336523056,0.2522439956665039,0.1377045214176178,0.22168177366256714,0.1957087516784668
of,0.36136594414711,0.2480744868516922,0.37253960967063904,0.23307405412197113,1.0,0.241034597158432,0.2603091299533844,0.33904364705085754,0.2982911467552185,0.5696388483047485,0.733189046382904,0.2699488699436188,0.23306405544281006,0.1826142966747284
trees,0.30575618147850037,0.20184741914272308,0.33998632431030273,0.46833252906799316,0.241034597158432,0.9999998807907104,0.30684277415275574,0.27923688292503357,0.22910387814044952,0.21536459028720856,0.27618899941444397,0.1476900577545166,0.3419526219367981,0.11582431197166443
and,0.4021143913269043,0.33647966384887695,0.5296266674995422,0.23547904193401337,0.5116966962814331,0.2909749448299408,0.3675691485404968,0.41766801476478577,0.27978911995887756,0.4954058527946472,0.5171257257461548,0.2217492312192917,0.2236175239086151,0.20544172823429108
the,0.39856547117233276,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.733189046382904,0.27618899941444397,0.312528520822525,0.4248143136501312,0.3452354073524475,0.6662389636039734,1.0,0.26529496908187866,0.23359008133411407,0.22068053483963013
avenues,0.20940947532653809,0.12132150679826736,0.24093516170978546,0.22932177782058716,0.2708856761455536,0.3166632354259491,0.1677253693342209,0.14746685326099396,0.13788960874080658,0.24158300459384918,0.2859298288822174,0.11818621307611465,0.30686116218566895,0.08417343348264694
are,0.2778770923614502,0.311818927526474,0.5655534863471985,0.3297041952610016,0.39081433415412903,0.33265092968940735,0.5408529043197632,0.5556803941726685,0.2740558087825775,0.3841303884983063,0.40399202704429626,0.10686341673135757,0.1611964851617813,0.24591213464736938
a,0.32199642062187195,0.29312583804130554,0.2872205972671509,0.22986134886741638,0.5052502155303955,0.24392682313919067,0.3915780484676361,0.39883795380592346,0.2869448959827423,0.539380669593811,0.5829201340675354,0.18782295286655426,0.2035326063632965,0.23916715383529663
place,0.3398306965827942,0.23435121774673462,0.296424925327301,0.1647396981716156,0.2685627043247223,0.24867503345012665,0.20199793577194214,0.2887270152568817,0.21158277988433838,0.38128477334976196,0.4179787337779999,0.19815555214881897,0.2639797031879425,0.2455766350030899
to,0.38635820150375366,0.44169697165489197,0.40243685245513916,0.2193736732006073,0.41548454761505127,0.2606815993785858,0.4979398250579834,0.4972836375236511,0.25225648283958435,0.45010748505592346,0.535392165184021,0.1913498193025589,0.19790683686733246,0.29463258385658264
sit,0.2133195400238037,0.20654363930225372,0.1814246028661728,0.15331041812896729,0.17225311696529388,0.16735124588012695,0.2426762729883194,0.2190328687429428,0.12989209592342377,0.11977019160985947,0.21260488033294678,0.03493909537792206,0.16134968400001526,0.19120019674301147
and,0.4021143913269043,0.33647966384887695,0.5296266674995422,0.23547904193401337,0.5116966962814331,0.2909749448299408,0.3675691485404968,0.41766801476478577,0.27978911995887756,0.4954058527946472,0.5171257257461548,0.2217492312192917,0.2236175239086151,0.20544172823429108
relax,0.18183261156082153,0.32019829750061035,0.2090820074081421,0.11500903964042664,0.13128525018692017,0.2269628345966339,0.27477654814720154,0.2791476547718048,0.07397788017988205,0.13866037130355835,0.19647948443889618,0.12453605979681015,0.16100913286209106,0.1207485944032669
.,0.37877383828163147,0.3287222981452942,0.3974229395389557,0.25772613286972046,0.5352458953857422,0.23487022519111633,0.35783761739730835,0.4383580684661865,0.3618174195289612,0.5591574311256409,0.5934505462646484,0.17320390045642853,0.231033593416214,0.4130953550338745
