,when,was,the,holocene,?
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.2180505096912384,0.21978627145290375
the,0.5091903209686279,0.48711544275283813,1.0,0.26600971817970276,0.22068053483963013
begin,0.3341256082057953,0.17294162511825562,0.34293439984321594,0.1485581248998642,0.16177093982696533
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2029341608285904,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.26600971817970276,0.22068053483963013
holocene,0.18542461097240448,0.15755179524421692,0.26600971817970276,0.9999999403953552,0.179432213306427
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.2268684357404709,0.40561532974243164
"~11,700",-0.04217638820409775,-0.07780918478965759,-0.16296489536762238,-0.061605460941791534,0.1576528698205948
years,0.3409145474433899,0.35855233669281006,0.2912273406982422,0.34953978657722473,0.1914375126361847
ago,0.34233349561691284,0.24615181982517242,0.23063679039478302,0.5287450551986694,0.2202194780111313
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.2090638428926468,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.21509388089179993,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.26600971817970276,0.22068053483963013
rhine,0.13750529289245605,0.18681856989860535,0.30735138058662415,0.13635079562664032,0.13754533231258392
occupied,0.20914024114608765,0.3012172281742096,0.3288927674293518,0.18953067064285278,0.11679025739431381
its,0.34032323956489563,0.3518870174884796,0.559237003326416,0.15501749515533447,0.15103481709957123
late-glacial,0.25130507349967957,0.1911742091178894,0.31406205892562866,0.6033787727355957,0.15917885303497314
valley,0.1723119616508484,0.21369484066963196,0.2923165559768677,0.11641477793455124,0.11486150324344635
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.22718346118927002,0.4130953550338745
