,what,are,private,secondary,schools,in,germany,called,?
ergänzungsschulen,0.2493663877248764,0.26853707432746887,0.23421190679073334,0.2528528869152069,0.27628400921821594,0.3609252870082855,0.5152363181114197,0.33199572563171387,0.2810702323913574
are,0.29724663496017456,1.0,0.1694057136774063,0.24611520767211914,0.30816179513931274,0.3841303884983063,0.19546794891357422,0.3676711618900299,0.24591213464736938
secondary,0.20388361811637878,0.24611520767211914,0.2717200517654419,1.0,0.4608161151409149,0.2103116512298584,0.14818520843982697,0.20329198241233826,0.18118004500865936
or,0.33867141604423523,0.5374364256858826,0.21888144314289093,0.25993385910987854,0.23524631559848785,0.3586423695087433,0.21803024411201477,0.4293559193611145,0.32389625906944275
post-secondary,0.2607934772968292,0.27049946784973145,0.2878333032131195,0.9258090853691101,0.43335530161857605,0.25477343797683716,0.1914178729057312,0.24431759119033813,0.24135255813598633
(,0.2411840260028839,0.23263892531394958,0.162434384226799,0.20586027204990387,0.15322564542293549,0.3087427020072937,0.14963670074939728,0.2546432614326477,0.40561532974243164
non-tertiary,0.3168926537036896,0.332078218460083,0.2492711842060089,0.565280556678772,0.31214433908462524,0.2594928443431854,0.22649309039115906,0.24812005460262299,0.30903810262680054
),0.26259949803352356,0.2373749315738678,0.16768941283226013,0.20800510048866272,0.16219249367713928,0.3326910734176636,0.16241523623466492,0.273923397064209,0.42300865054130554
schools,0.1820785105228424,0.30816179513931274,0.4158569872379303,0.4608161151409149,1.0,0.2632134258747101,0.2058108150959015,0.18615397810935974,0.18349280953407288
",",0.3087472915649414,0.4062570035457611,0.1899166703224182,0.2158004194498062,0.2760516405105591,0.5201468467712402,0.2898865044116974,0.26549121737480164,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.21277280151844025,0.29409417510032654,0.23417861759662628,0.4840516746044159,0.2479574829339981,0.5573342442512512,0.25814583897590637
are,0.29724663496017456,1.0,0.1694057136774063,0.24611520767211914,0.30816179513931274,0.3841303884983063,0.19546794891357422,0.3676711618900299,0.24591213464736938
run,0.2294815480709076,0.2580355107784271,0.14252924919128418,0.08903902024030685,0.20951882004737854,0.26368704438209534,0.1421925276517868,0.2177579253911972,0.17904110252857208
by,0.2455483376979828,0.37842893600463867,0.18554414808750153,0.16728177666664124,0.1415957361459732,0.370934396982193,0.22670169174671173,0.3092815577983856,0.17966607213020325
private,0.16778090596199036,0.1694057136774063,1.0,0.2717200517654419,0.4158569872379303,0.21135757863521576,0.11005246639251709,0.1776021122932434,0.14389030635356903
individuals,0.25709760189056396,0.42574483156204224,0.31264999508857727,0.2569618225097656,0.29715076088905334,0.22240658104419708,0.18109937012195587,0.18452173471450806,0.20243582129478455
",",0.3087472915649414,0.4062570035457611,0.1899166703224182,0.2158004194498062,0.2760516405105591,0.5201468467712402,0.2898865044116974,0.26549121737480164,0.31091248989105225
private,0.16778090596199036,0.1694057136774063,1.0,0.2717200517654419,0.4158569872379303,0.21135757863521576,0.11005246639251709,0.1776021122932434,0.14389030635356903
organizations,0.20689024031162262,0.29940158128738403,0.30603620409965515,0.12218857556581497,0.39243805408477783,0.25369027256965637,0.21660582721233368,0.21088913083076477,0.22215601801872253
or,0.33867141604423523,0.5374364256858826,0.21888144314289093,0.25993385910987854,0.23524631559848785,0.3586423695087433,0.21803024411201477,0.4293559193611145,0.32389625906944275
rarely,0.2806011736392975,0.4256741404533386,0.21158529818058014,0.2565642297267914,0.15636520087718964,0.2389764040708542,0.14367331564426422,0.28618869185447693,0.23009803891181946
",",0.3087472915649414,0.4062570035457611,0.1899166703224182,0.2158004194498062,0.2760516405105591,0.5201468467712402,0.2898865044116974,0.26549121737480164,0.31091248989105225
religious,0.26794421672821045,0.20633597671985626,0.2632821798324585,0.14086133241653442,0.3179125487804413,0.24099457263946533,0.15421375632286072,0.21675816178321838,0.15727058053016663
groups,0.23137421905994415,0.41374143958091736,0.1768459528684616,0.19140729308128357,0.2776908278465271,0.22620722651481628,0.18380317091941833,0.26638180017471313,0.14349548518657684
and,0.31309178471565247,0.48576638102531433,0.2557651102542877,0.25317713618278503,0.29319998621940613,0.4954058527946472,0.29381805658340454,0.3251761794090271,0.20544172823429108
offer,0.20134106278419495,0.25856563448905945,0.30405572056770325,0.21944545209407806,0.26003435254096985,0.1875079721212387,0.1737206131219864,0.15583251416683197,0.1774262934923172
a,0.3320399522781372,0.265255331993103,0.20346391201019287,0.225028395652771,0.2118925303220749,0.539380669593811,0.2606942057609558,0.4868806302547455,0.23916715383529663
type,0.2722663879394531,0.24155041575431824,0.2055162489414215,0.2363959103822708,0.1240563839673996,0.20604541897773743,0.14505690336227417,0.30593958497047424,0.17536182701587677
of,0.33290785551071167,0.39081433415412903,0.18706899881362915,0.219074085354805,0.265506386756897,0.5696388483047485,0.2942050099372864,0.4222904443740845,0.1826142966747284
education,0.19940856099128723,0.14324818551540375,0.34071704745292664,0.4472634196281433,0.6035618185997009,0.2654339671134949,0.22737064957618713,0.10624265670776367,0.18067774176597595
which,0.5261979103088379,0.42922598123550415,0.21277280151844025,0.29409417510032654,0.23417861759662628,0.4840516746044159,0.2479574829339981,0.5573342442512512,0.25814583897590637
is,0.28837618231773376,0.5330929756164551,0.1420905888080597,0.19772830605506897,0.2022145688533783,0.5394441485404968,0.2201172411441803,0.430266410112381,0.22961433231830597
