,what,is,one,common,example,of,a,critical,complexity,measure,?
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.2705984115600586,0.3755223751068115,0.733189046382904,0.5829201340675354,0.25937238335609436,0.21171598136425018,0.2528008222579956,0.22068053483963013
best,0.3036847710609436,0.30476391315460205,0.3874412178993225,0.12664492428302765,0.21846425533294678,0.23660683631896973,0.2547774314880371,0.24299520254135132,0.22558753192424774,0.15103858709335327,0.2799045741558075
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.2497023195028305,0.3094974756240845,0.4946078956127167,0.427140474319458,0.2721431255340576,0.27822354435920715,0.18738344311714172,0.31091248989105225
worst,0.2650845944881439,0.14648406207561493,0.256280779838562,0.18105092644691467,0.12673969566822052,0.16431279480457306,0.12921255826950073,0.2331620305776596,0.21248532831668854,0.0790785551071167,0.21551604568958282
and,0.31309178471565247,0.3859752118587494,0.42438167333602905,0.229714497923851,0.35305824875831604,0.5116966962814331,0.3739250600337982,0.29108723998069763,0.2520415782928467,0.23739957809448242,0.20544172823429108
average,0.24068789184093475,0.2669461667537689,0.30125629901885986,0.22147786617279053,0.2942844033241272,0.23717734217643738,0.23812800645828247,0.14000335335731506,0.29495373368263245,0.3707658350467682,0.21764592826366425
case,0.30770957469940186,0.26648613810539246,0.32077234983444214,0.2660190463066101,0.4172644317150116,0.24743439257144928,0.3104211390018463,0.23246316611766815,0.33170047402381897,0.2402588278055191,0.33232852816581726
complexity,0.33747240900993347,0.2541271150112152,0.30865851044654846,0.2835155427455902,0.36779677867889404,0.23338180780410767,0.27206721901893616,0.33267512917518616,1.0,0.31501296162605286,0.23062916100025177
refer,0.17466352880001068,0.32020241022109985,0.16844604909420013,0.2743740677833557,0.2877088785171509,0.2576347291469574,0.2736286222934723,0.156510591506958,0.22194083034992218,0.2932749092578888,0.12567369639873505
to,0.455847829580307,0.42745086550712585,0.4025384783744812,0.21109338104724884,0.3451666533946991,0.41548454761505127,0.45503583550453186,0.21045534312725067,0.28336837887763977,0.2774736285209656,0.29463258385658264
three,0.24888746440410614,0.23072560131549835,0.5923700332641602,0.16219571232795715,0.2446315735578537,0.3844621181488037,0.3025658130645752,0.18883512914180756,0.20467406511306763,0.18879275023937225,0.20928427577018738
different,0.39262300729751587,0.24624870717525482,0.3770311772823334,0.43669593334198,0.47035282850265503,0.3747533857822418,0.29175353050231934,0.19839836657047272,0.3334031403064728,0.31349077820777893,0.24476227164268494
ways,0.394069641828537,0.23305881023406982,0.2902386486530304,0.32153967022895813,0.4389753043651581,0.23171216249465942,0.25739049911499023,0.21890951693058014,0.33650463819503784,0.3356535732746124,0.2710120975971222
