,when,were,competition,rules,included,in,the,treaty,of,rome,?
in,0.4431333839893341,0.3815755248069763,0.26072463393211365,0.2252369076013565,0.32433560490608215,1.0,0.6662389636039734,0.22333456575870514,0.5696388483047485,0.25722408294677734,0.20430970191955566
1957,-0.12161962687969208,0.027325376868247986,-0.17508234083652496,-0.10508836060762405,0.013840138912200928,-0.044204503297805786,-0.091727614402771,-0.06587588787078857,-0.03177386894822121,-0.07142703235149384,-0.11977791041135788
competition,0.23896628618240356,0.1907191425561905,1.0000001192092896,0.34257546067237854,0.23954130709171295,0.26072463393211365,0.257230669260025,0.1771579086780548,0.2000187635421753,0.21830323338508606,0.1394461691379547
rules,0.26242417097091675,0.24008037149906158,0.34257546067237854,0.9999998807907104,0.18700885772705078,0.2252369076013565,0.27022838592529297,0.23335640132427216,0.18197891116142273,0.14962105453014374,0.22111085057258606
were,0.29649975895881653,1.0000001192092896,0.1907191425561905,0.24008037149906158,0.42708900570869446,0.3815755248069763,0.3906462490558624,0.17081822454929352,0.34038281440734863,0.23311859369277954,0.17890112102031708
included,0.16109678149223328,0.42708900570869446,0.23954130709171295,0.18700885772705078,1.0,0.32433560490608215,0.3825419843196869,0.16249537467956543,0.4391688108444214,0.12957675755023956,0.14385655522346497
in,0.4431333839893341,0.3815755248069763,0.26072463393211365,0.2252369076013565,0.32433560490608215,1.0,0.6662389636039734,0.22333456575870514,0.5696388483047485,0.25722408294677734,0.20430970191955566
the,0.5091903209686279,0.3906462490558624,0.257230669260025,0.27022838592529297,0.3825419843196869,0.6662389636039734,1.0,0.2690109610557556,0.733189046382904,0.2399049997329712,0.22068053483963013
treaty,0.15431849658489227,0.17081822454929352,0.1771579086780548,0.23335640132427216,0.16249537467956543,0.22333456575870514,0.2690109610557556,1.0,0.2602092921733856,0.24507440626621246,0.1174844279885292
of,0.3757161796092987,0.34038281440734863,0.2000187635421753,0.18197891116142273,0.4391688108444214,0.5696388483047485,0.733189046382904,0.2602092921733856,1.0,0.21705909073352814,0.1826142966747284
