,the,corruption,found,by,the,committee,of,independent,experts,resulted,to,the,creation,of,what,office,?
this,0.6274310946464539,0.24743638932704926,0.23419983685016632,0.38438332080841064,0.6274310946464539,0.17773574590682983,0.45148900151252747,0.26078376173973083,0.3103938698768616,0.30420592427253723,0.5759071707725525,0.6274310946464539,0.34056568145751953,0.45148900151252747,0.5489566326141357,0.1731400340795517,0.3155723512172699
led,0.3267505168914795,0.3274441957473755,0.1646340936422348,0.30694612860679626,0.3267505168914795,0.19985853135585785,0.32918456196784973,0.1576855629682541,0.1408320665359497,0.49809008836746216,0.21815308928489685,0.3267505168914795,0.17508605122566223,0.32918456196784973,0.12112844735383987,0.15201149880886078,0.09273858368396759
to,0.535392165184021,0.22868205606937408,0.25225648283958435,0.33534231781959534,0.535392165184021,0.24979650974273682,0.41548454761505127,0.20949965715408325,0.3223261833190918,0.24989460408687592,1.0,0.535392165184021,0.28549936413764954,0.41548454761505127,0.455847829580307,0.20860034227371216,0.29463258385658264
the,1.0,0.23319530487060547,0.3452354073524475,0.4408751428127289,1.0,0.24322165548801422,0.733189046382904,0.2927691638469696,0.29114848375320435,0.2975946068763733,0.535392165184021,1.0,0.34625571966171265,0.733189046382904,0.42745697498321533,0.27314993739128113,0.22068053483963013
creation,0.34625571966171265,0.2881869971752167,0.1247422993183136,0.23915661871433258,0.34625571966171265,0.19441743195056915,0.35750406980514526,0.22451302409172058,0.174656480550766,0.22208428382873535,0.28549936413764954,0.34625571966171265,1.0,0.35750406980514526,0.2653278112411499,0.12939900159835815,0.2407430112361908
of,0.733189046382904,0.21120312809944153,0.2982911467552185,0.3646814823150635,0.733189046382904,0.2920650243759155,1.0,0.30508819222450256,0.2703074812889099,0.3479447662830353,0.41548454761505127,0.733189046382904,0.35750406980514526,1.0,0.33290785551071167,0.24605777859687805,0.1826142966747284
the,1.0,0.23319530487060547,0.3452354073524475,0.4408751428127289,1.0,0.24322165548801422,0.733189046382904,0.2927691638469696,0.29114848375320435,0.2975946068763733,0.535392165184021,1.0,0.34625571966171265,0.733189046382904,0.42745697498321533,0.27314993739128113,0.22068053483963013
european,0.3423081040382385,0.19989031553268433,0.11306346207857132,0.17922990024089813,0.3423081040382385,0.24160172045230865,0.2507138252258301,0.18798813223838806,0.3009289801120758,0.18296463787555695,0.21011990308761597,0.3423081040382385,0.1383388638496399,0.2507138252258301,0.15324164927005768,0.12513764202594757,0.14560863375663757
anti-fraud,0.21686379611492157,0.411923885345459,0.27844464778900146,0.2586785554885864,0.21686379611492157,0.2219412475824356,0.2704307436943054,0.1930629312992096,0.29854580760002136,0.29207324981689453,0.2555404305458069,0.21686379611492157,0.19184082746505737,0.2704307436943054,0.2588244676589966,0.3003942370414734,0.24824783205986023
office,0.27314993739128113,0.297536164522171,0.0960538238286972,0.1305828094482422,0.27314993739128113,0.27380600571632385,0.24605777859687805,0.2646148204803467,0.19410116970539093,0.16612543165683746,0.20860034227371216,0.27314993739128113,0.12939900159835815,0.24605777859687805,0.12159775197505951,1.0000001192092896,0.16497313976287842
.,0.5934505462646484,0.1565260887145996,0.3618174195289612,0.3936232924461365,0.5934505462646484,0.18011361360549927,0.5352458953857422,0.24531036615371704,0.23869700729846954,0.23092694580554962,0.4645031690597534,0.5934505462646484,0.27493008971214294,0.5352458953857422,0.3567904531955719,0.26038533449172974,0.4130953550338745
