,why,has,the,corruption,not,be,in,the,public,view,?
kenya,0.2208026945590973,0.18851779401302338,0.21657514572143555,0.15938818454742432,0.15024271607398987,0.11485160887241364,0.23621977865695953,0.21657514572143555,0.12837323546409607,0.09161058813333511,0.17197901010513306
’,0.006147225387394428,0.005407624877989292,-0.04090067744255066,-0.011787998490035534,-0.03682378679513931,-0.06709875911474228,-0.04677301645278931,-0.04090067744255066,-0.03247157856822014,-0.012013353407382965,0.045561522245407104
s,0.27121642231941223,0.30471566319465637,0.46610721945762634,0.21512039005756378,0.312139630317688,0.24300897121429443,0.3340029716491699,0.46610721945762634,0.24834756553173065,0.16851799190044403,0.25130221247673035
armed,0.1866004914045334,0.08386320620775223,0.2418309897184372,0.26886945962905884,0.18222738802433014,0.18368922173976898,0.2077496349811554,0.2418309897184372,0.19464251399040222,0.043301068246364594,0.18816959857940674
forces,0.15960682928562164,0.12320549786090851,0.3134811818599701,0.24432791769504547,0.17200443148612976,0.17733727395534515,0.2565164566040039,0.3134811818599701,0.1624850332736969,0.1071823313832283,0.16984491050243378
",",0.2827242314815521,0.3734780251979828,0.4933079481124878,0.1712050884962082,0.3769696354866028,0.39254459738731384,0.5201468467712402,0.4933079481124878,0.2588968276977539,0.216712087392807,0.31091248989105225
like,0.45813098549842834,0.34026825428009033,0.32912567257881165,0.1417468637228012,0.47017380595207214,0.43064841628074646,0.31010183691978455,0.32912567257881165,0.16980288922786713,0.15900331735610962,0.3268813192844391
many,0.38531482219696045,0.4266262650489807,0.4335206151008606,0.27601584792137146,0.4369727373123169,0.3961109519004822,0.41474202275276184,0.4335206151008606,0.25114959478378296,0.22079555690288544,0.2124512493610382
government,0.19288331270217896,0.205010324716568,0.31798112392425537,0.47197654843330383,0.2722996473312378,0.22621913254261017,0.3066793978214264,0.31798112392425537,0.3310128152370453,0.1655767560005188,0.18851417303085327
institutions,0.22125253081321716,0.2147665023803711,0.2776423394680023,0.30636540055274963,0.24071906507015228,0.23006395995616913,0.2592448890209198,0.2776423394680023,0.3988390564918518,0.1993793398141861,0.19119486212730408
in,0.23227278888225555,0.4173259735107422,0.6662389636039734,0.17617714405059814,0.3403114080429077,0.3481820821762085,1.0,0.6662389636039734,0.29074716567993164,0.17477142810821533,0.20430970191955566
the,0.30742117762565613,0.4177538752555847,1.0,0.23319530487060547,0.4310511648654938,0.4248143136501312,0.6662389636039734,1.0,0.22857438027858734,0.25610461831092834,0.22068053483963013
country,0.12197279185056686,0.23112818598747253,0.30432501435279846,0.30558717250823975,0.22478289902210236,0.2115473747253418,0.3040012717247009,0.30432501435279846,0.22501583397388458,0.1539771407842636,0.12647280097007751
",",0.2827242314815521,0.3734780251979828,0.4933079481124878,0.1712050884962082,0.3769696354866028,0.39254459738731384,0.5201468467712402,0.4933079481124878,0.2588968276977539,0.216712087392807,0.31091248989105225
have,0.4418443739414215,0.6353569626808167,0.40389683842658997,0.20609024167060852,0.5619372129440308,0.5760743618011475,0.36843645572662354,0.40389683842658997,0.20625129342079163,0.18089832365512848,0.32991164922714233
been,0.3097085654735565,0.6162750124931335,0.3563927710056305,0.27575796842575073,0.39571741223335266,0.5304332375526428,0.3515113592147827,0.3563927710056305,0.1792723387479782,0.12116348743438721,0.24354910850524902
tainted,0.22100749611854553,0.2507387399673462,0.2541356086730957,0.24580703675746918,0.2834932506084442,0.30154356360435486,0.1599566638469696,0.2541356086730957,0.17631520330905914,0.10415716469287872,0.18631592392921448
by,0.19170543551445007,0.3254803419113159,0.4408751428127289,0.23889042437076569,0.291808545589447,0.43158695101737976,0.370934396982193,0.4408751428127289,0.23323717713356018,0.1928447186946869,0.17966607213020325
corruption,0.15216605365276337,0.1964688003063202,0.23319530487060547,1.0,0.21398840844631195,0.18376027047634125,0.17617714405059814,0.23319530487060547,0.28293532133102417,0.1359616219997406,0.16485145688056946
allegations,0.20848147571086884,0.19645735621452332,0.2481755167245865,0.47969770431518555,0.29954203963279724,0.2245500236749649,0.23326563835144043,0.2481755167245865,0.28108206391334534,0.20265857875347137,0.23546560108661652
.,0.32909876108169556,0.4105546176433563,0.5934505462646484,0.1565260887145996,0.4824007451534271,0.4383580684661865,0.5591574311256409,0.5934505462646484,0.21888655424118042,0.23733025789260864,0.4130953550338745
,why,has,the,corruption,not,be,in,the,public,view,?
because,0.5926418900489807,0.42872220277786255,0.44596394896507263,0.28826504945755005,0.6040527820587158,0.5052481293678284,0.37423941493034363,0.44596394896507263,0.242704838514328,0.21180373430252075,0.2528740465641022
the,0.30742117762565613,0.4177538752555847,1.0,0.23319530487060547,0.4310511648654938,0.4248143136501312,0.6662389636039734,1.0,0.22857438027858734,0.25610461831092834,0.22068053483963013
operations,0.1088637188076973,0.16513898968696594,0.2928410470485687,0.21385039389133453,0.20795689523220062,0.19375905394554138,0.2654678225517273,0.2928410470485687,0.25815317034721375,0.16378185153007507,0.13622350990772247
of,0.28464117646217346,0.3909035325050354,0.733189046382904,0.21120312809944153,0.3307090103626251,0.33904364705085754,0.5696388483047485,0.733189046382904,0.2391265481710434,0.21446028351783752,0.1826142966747284
the,0.30742117762565613,0.4177538752555847,1.0,0.23319530487060547,0.4310511648654938,0.4248143136501312,0.6662389636039734,1.0,0.22857438027858734,0.25610461831092834,0.22068053483963013
armed,0.1866004914045334,0.08386320620775223,0.2418309897184372,0.26886945962905884,0.18222738802433014,0.18368922173976898,0.2077496349811554,0.2418309897184372,0.19464251399040222,0.043301068246364594,0.18816959857940674
