,how,many,weeks,each,year,does,the,food,and,drink,festival,run,?
newcastlegateshead,0.1479361355304718,0.25893884897232056,0.24657298624515533,0.22225424647331238,0.24142207205295563,0.17633786797523499,0.3377985656261444,0.16041332483291626,0.32428067922592163,0.08754291385412216,0.23530146479606628,0.2584303915500641,0.1825120747089386
",",0.22659391164779663,0.40610817074775696,0.27970150113105774,0.207483172416687,0.28560417890548706,0.28617382049560547,0.4933079481124878,0.2870374023914337,0.6633074283599854,0.1923743039369583,0.25094273686408997,0.2309936285018921,0.31091248989105225
a,0.29312583804130554,0.2872205972671509,0.22560246288776398,0.434999018907547,0.29350247979164124,0.38201746344566345,0.5829201340675354,0.24320901930332184,0.3739250600337982,0.2273007333278656,0.16281212866306305,0.2607046067714691,0.23916715383529663
festival,0.14565487205982208,0.20673847198486328,0.16213667392730713,0.15063448250293732,0.26541805267333984,0.1333700269460678,0.20982226729393005,0.16119804978370667,0.19459347426891327,0.22086602449417114,0.9999999403953552,0.1728917509317398,0.17767390608787537
of,0.2480744868516922,0.37253960967063904,0.20286071300506592,0.38460010290145874,0.2578314542770386,0.3119818866252899,0.733189046382904,0.2602803111076355,0.5116966962814331,0.18839411437511444,0.17007394134998322,0.2272813767194748,0.1826142966747284
food,0.22970743477344513,0.3040154278278351,0.18342071771621704,0.2136678546667099,0.14805752038955688,0.22240443527698517,0.3025728166103363,1.0,0.31356173753738403,0.44620251655578613,0.16119804978370667,0.10386002063751221,0.15376032888889313
and,0.33647966384887695,0.5296266674995422,0.245576873421669,0.2984027564525604,0.2506658732891083,0.3461615741252899,0.5171257257461548,0.31356173753738403,1.0,0.22298143804073334,0.19459347426891327,0.2711782455444336,0.20544172823429108
drink,0.2066497504711151,0.22546042501926422,0.2114918828010559,0.14821527898311615,0.1595178246498108,0.20169219374656677,0.21800640225410461,0.44620251655578613,0.22298143804073334,1.0000001192092896,0.22086602449417114,0.17609429359436035,0.15262235701084137
",",0.22659391164779663,0.40610817074775696,0.27970150113105774,0.207483172416687,0.28560417890548706,0.28617382049560547,0.4933079481124878,0.2870374023914337,0.6633074283599854,0.1923743039369583,0.25094273686408997,0.2309936285018921,0.31091248989105225
runs,0.15732568502426147,0.1569649577140808,0.18541468679904938,0.23149320483207703,0.13620609045028687,0.2957790493965149,0.30832576751708984,0.14939410984516144,0.2632412016391754,0.17364247143268585,0.1585167497396469,0.6555101275444031,0.08094297349452972
for,0.3308170735836029,0.40972793102264404,0.2929542660713196,0.3044290542602539,0.29294124245643616,0.35159170627593994,0.4739971458911896,0.3431052565574646,0.5064792633056641,0.1798686981201172,0.2104043960571289,0.27206581830978394,0.264628142118454
2,-0.02554285153746605,-0.06294522434473038,0.05308153107762337,-0.08250541985034943,-0.043360184878110886,-0.06106966361403465,-0.019434669986367226,-0.06878574937582016,-0.0926629975438118,-0.012875190004706383,0.05173471197485924,0.02619633451104164,0.001977203879505396
weeks,0.25079891085624695,0.22970308363437653,0.9999998807907104,0.21429280936717987,0.3838464319705963,0.17822134494781494,0.2713429629802704,0.18342071771621704,0.245576873421669,0.2114918828010559,0.16213667392730713,0.25098732113838196,0.21667936444282532
each,0.4183253347873688,0.35348209738731384,0.21429280936717987,1.0,0.286208838224411,0.31699198484420776,0.470844566822052,0.2136678546667099,0.2984027564525604,0.14821527898311615,0.15063448250293732,0.26410719752311707,0.21173812448978424
year,0.19631797075271606,0.21933086216449738,0.3838464319705963,0.286208838224411,1.0,0.16000528633594513,0.3609684407711029,0.14805752038955688,0.2506658732891083,0.1595178246498108,0.26541805267333984,0.19306103885173798,0.18315006792545319
in,0.2601168751716614,0.41474202275276184,0.23300987482070923,0.30816060304641724,0.3359307050704956,0.214483380317688,0.6662389636039734,0.21391697227954865,0.4954058527946472,0.22487081587314606,0.27311140298843384,0.26368704438209534,0.20430970191955566
mid,0.16845522820949554,0.2312019318342209,0.16636419296264648,0.1492381989955902,0.25539273023605347,0.1388000249862671,0.28870436549186707,0.11306733638048172,0.23100385069847107,0.09389781206846237,0.19908937811851501,0.14860183000564575,0.1353752315044403
june,0.1188528835773468,0.10869699716567993,0.3303753435611725,0.06188545376062393,0.2782505750656128,0.12509867548942566,0.24568822979927063,0.12386073172092438,0.2692793905735016,0.1425280123949051,0.1534830629825592,0.1339477151632309,0.31416764855384827
.,0.3287222981452942,0.3974229395389557,0.2855951488018036,0.31204065680503845,0.32538118958473206,0.3022993505001068,0.5934505462646484,0.27541688084602356,0.588965117931366,0.2385786920785904,0.16963402926921844,0.2739698588848114,0.4130953550338745
