,when,was,vetting,introduced,?
from,0.405669629573822,0.31171464920043945,0.2523796260356903,0.1545238345861435,0.19969791173934937
2006,0.023816242814064026,-0.08876620978116989,0.08907809853553772,0.03024846687912941,-0.1194092258810997
garda,0.1181112676858902,0.23330742120742798,0.21058757603168488,0.10622262209653854,0.08806223422288895
vetting,0.3873337209224701,0.19918785989284515,0.9999998807907104,0.2034643441438675,0.3237486779689789
has,0.34538573026657104,0.40313825011253357,0.2422984391450882,0.18661446869373322,0.15994466841220856
been,0.3339833617210388,0.518218457698822,0.2501937448978424,0.3029422163963318,0.24354910850524902
introduced,0.21339701116085052,0.32667654752731323,0.2034643441438675,1.0,0.16386865079402924
for,0.43402108550071716,0.3863949179649353,0.3704317808151245,0.2018822282552719,0.264628142118454
new,0.257220059633255,0.2748313844203949,0.2331470102071762,0.285953551530838,0.14782847464084625
entrants,0.2510681450366974,0.25134316086769104,0.34996071457862854,0.2607012689113617,0.1562976837158203
to,0.5423505902290344,0.3636345863342285,0.36598238348960876,0.22615164518356323,0.29463258385658264
the,0.5091903209686279,0.48711544275283813,0.3796067237854004,0.242969810962677,0.22068053483963013
teaching,0.22055867314338684,0.22091154754161835,0.33428701758384705,0.23039120435714722,0.20424684882164001
profession,0.20123720169067383,0.23919223248958588,0.28943362832069397,0.13400167226791382,0.13789935410022736
.,0.475719153881073,0.40146201848983765,0.3335171341896057,0.2799728810787201,0.4130953550338745
