,what,did,luther,insist,was,present,in,the,bread,and,wine,?
luther,0.2134782373905182,0.23667675256729126,1.0,0.2686455547809601,0.19185513257980347,0.10244696587324142,0.20523880422115326,0.1759674996137619,0.16235698759555817,0.20796556770801544,0.18267135322093964,0.1732746809720993
insisted,0.3362210988998413,0.49533259868621826,0.27878543734550476,0.7457278370857239,0.3803028464317322,0.19056706130504608,0.21232828497886658,0.22402240335941315,0.14880234003067017,0.33493664860725403,0.05845121294260025,0.20097918808460236
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.2851758599281311,0.3909217119216919,0.19194398820400238,0.46853652596473694,0.5107308030128479,0.1628524214029312,0.4077630043029785,0.11521834880113602,0.2714994251728058
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.18413878977298737,0.48711544275283813,0.2829846143722534,0.6662389636039734,1.0,0.19539521634578705,0.5171257257461548,0.2768833041191101,0.22068053483963013
real,0.27036693692207336,0.20014923810958862,0.08498093485832214,0.21462644636631012,0.1580289602279663,0.16888421773910522,0.1725122183561325,0.19885718822479248,0.09359094500541687,0.2019829899072647,0.12207670509815216,0.20019613206386566
presence,0.24428647756576538,0.16884823143482208,0.07687997817993164,0.30292412638664246,0.17283804714679718,0.4413970708847046,0.24880747497081757,0.34114351868629456,0.22083155810832977,0.284408837556839,0.17836906015872955,0.08592845499515533
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.21019351482391357,0.4069072902202606,0.3116828501224518,0.5696388483047485,0.733189046382904,0.19913233816623688,0.5116966962814331,0.2704099118709564,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.18413878977298737,0.48711544275283813,0.2829846143722534,0.6662389636039734,1.0,0.19539521634578705,0.5171257257461548,0.2768833041191101,0.22068053483963013
body,0.2143840193748474,0.17681342363357544,0.09127452969551086,0.1435910314321518,0.19372783601284027,0.10787827521562576,0.2549867033958435,0.31682634353637695,0.1914253830909729,0.2872275710105896,0.14815053343772888,0.20136451721191406
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.30059903860092163,0.3740963041782379,0.2790124714374542,0.4954058527946472,0.5171257257461548,0.22956383228302002,1.0,0.2789568305015564,0.20544172823429108
