,rudyard,kipling,was,an,influential,spokesman,for,what,?
a,0.26234328746795654,0.2858077883720398,0.4508470594882965,0.44552403688430786,0.25374096632003784,0.2449614256620407,0.44038116931915283,0.3320399522781372,0.23916715383529663
resurgence,0.20953935384750366,0.22325575351715088,0.2438647449016571,0.19655613601207733,0.35305359959602356,0.353649765253067,0.20797626674175262,0.270428329706192,0.16093435883522034
came,0.21664109826087952,0.16905608773231506,0.4994563162326813,0.18223494291305542,0.2530319392681122,0.25852423906326294,0.2774851322174072,0.2728535234928131,0.1739392727613449
in,0.2528995871543884,0.25229984521865845,0.45514053106307983,0.2605783939361572,0.2626776695251465,0.21322135627269745,0.4322226941585541,0.30808621644973755,0.20430970191955566
the,0.3113105595111847,0.29508256912231445,0.48711544275283813,0.4207492768764496,0.2541041374206543,0.24552905559539795,0.4739971458911896,0.42745697498321533,0.22068053483963013
late,0.21449045836925507,0.13342687487602234,0.4393066465854645,0.1167203038930893,0.33991533517837524,0.1902715563774109,0.2018979787826538,0.1576872020959854,0.11339222639799118
19th,0.31896495819091797,0.26980262994766235,0.24231374263763428,0.21951642632484436,0.17564789950847626,0.0844244658946991,0.17519418895244598,0.11525199562311172,0.004712673369795084
century,0.32158708572387695,0.2213723361492157,0.3521432876586914,0.185816690325737,0.4026738703250885,0.15546898543834686,0.18660898506641388,0.20422613620758057,0.1026201918721199
",",0.2908477783203125,0.31935182213783264,0.45456063747406006,0.3581022024154663,0.23522920906543732,0.25188326835632324,0.4464869201183319,0.3087472915649414,0.31091248989105225
with,0.14785079658031464,0.1574026346206665,0.27411898970603943,0.2730048894882202,0.14320960640907288,0.19544249773025513,0.39140474796295166,0.2464839518070221,0.2433311939239502
the,0.3113105595111847,0.29508256912231445,0.48711544275283813,0.4207492768764496,0.2541041374206543,0.24552905559539795,0.4739971458911896,0.42745697498321533,0.22068053483963013
scramble,0.24547028541564941,0.18944713473320007,0.14810127019882202,0.135245680809021,0.049128010869026184,0.08734788745641708,0.206046923995018,0.33524125814437866,0.22532881796360016
for,0.25281858444213867,0.23633018136024475,0.3863949179649353,0.3236706852912903,0.20361828804016113,0.2679142653942108,0.9999999403953552,0.3017193675041199,0.264628142118454
africa,0.24616195261478424,0.15321257710456848,0.1945687234401703,0.1465303897857666,0.2190927267074585,0.1753332018852234,0.18971428275108337,0.19696469604969025,0.12926554679870605
and,0.2986639738082886,0.2875577211380005,0.3740963041782379,0.2838519215583801,0.28101271390914917,0.21810686588287354,0.5064792633056641,0.31309178471565247,0.20544172823429108
major,0.20017816126346588,0.244520366191864,0.20676274597644806,0.14518070220947266,0.21553055942058563,0.1524513214826584,0.23592928051948547,0.21026742458343506,0.19788557291030884
additions,0.22711914777755737,0.19308406114578247,0.13603152334690094,0.20304669439792633,0.11675413697957993,0.15377362072467804,0.34409013390541077,0.23576049506664276,0.2856413722038269
in,0.2528995871543884,0.25229984521865845,0.45514053106307983,0.2605783939361572,0.2626776695251465,0.21322135627269745,0.4322226941585541,0.30808621644973755,0.20430970191955566
asia,0.20870575308799744,0.13895682990550995,0.17820896208286285,0.07536222040653229,0.22962188720703125,0.16594162583351135,0.18444210290908813,0.14832128584384918,0.1340748518705368
and,0.2986639738082886,0.2875577211380005,0.3740963041782379,0.2838519215583801,0.28101271390914917,0.21810686588287354,0.5064792633056641,0.31309178471565247,0.20544172823429108
the,0.3113105595111847,0.29508256912231445,0.48711544275283813,0.4207492768764496,0.2541041374206543,0.24552905559539795,0.4739971458911896,0.42745697498321533,0.22068053483963013
middle,0.17966260015964508,0.1330229938030243,0.21038298308849335,0.15690059959888458,0.22811168432235718,0.09910818934440613,0.17248252034187317,0.18312302231788635,0.13139553368091583
east,0.22343075275421143,0.20265670120716095,0.2747166156768799,0.19809120893478394,0.14899779856204987,0.16383780539035797,0.20268000662326813,0.19840149581432343,0.10070597380399704
.,0.21036690473556519,0.24275627732276917,0.40146201848983765,0.3581749200820923,0.25983670353889465,0.1935432106256485,0.4726039469242096,0.3567904531955719,0.4130953550338745
,rudyard,kipling,was,an,influential,spokesman,for,what,?
the,0.3113105595111847,0.29508256912231445,0.48711544275283813,0.4207492768764496,0.2541041374206543,0.24552905559539795,0.4739971458911896,0.42745697498321533,0.22068053483963013
british,0.2916891574859619,0.2936243712902069,0.31934812664985657,0.21499769389629364,0.2604561150074005,0.2328902631998062,0.1970057189464569,0.19255435466766357,0.09711728990077972
spirit,0.16792158782482147,0.21819642186164856,0.19506968557834625,0.21061500906944275,0.18246789276599884,0.2380302995443344,0.21089161932468414,0.21102753281593323,0.18818747997283936
of,0.22634382545948029,0.27751603722572327,0.4069072902202606,0.32280945777893066,0.35619789361953735,0.16398678719997406,0.4185989499092102,0.33290785551071167,0.1826142966747284
imperialism,0.27253037691116333,0.24588538706302643,0.2349989414215088,0.14707738161087036,0.37532103061676025,0.2768304646015167,0.15846435725688934,0.24614648520946503,0.14998586475849152
was,0.33260536193847656,0.2973531186580658,1.0000001192092896,0.3694365322589874,0.3755773901939392,0.3417104482650757,0.3863949179649353,0.22111038863658905,0.18412111699581146
expressed,0.19353993237018585,0.18640485405921936,0.15369442105293274,0.14857281744480133,0.2937758266925812,0.2321719229221344,0.29098325967788696,0.20227427780628204,0.17175263166427612
by,0.33342573046684265,0.22160305082798004,0.4752357602119446,0.2719563841819763,0.3017306327819824,0.12722152471542358,0.3248702883720398,0.2455483376979828,0.17966607213020325
joseph,0.3874569833278656,0.3244533836841583,0.29824966192245483,0.20681099593639374,0.18278096616268158,0.1922496110200882,0.09788983315229416,0.20494906604290009,0.08421234786510468
chamberlain,0.27655088901519775,0.24925246834754944,0.3007953464984894,0.15714342892169952,0.18734441697597504,0.27662748098373413,0.26648861169815063,0.20732161402702332,0.12185990810394287
and,0.2986639738082886,0.2875577211380005,0.3740963041782379,0.2838519215583801,0.28101271390914917,0.21810686588287354,0.5064792633056641,0.31309178471565247,0.20544172823429108
lord,0.2946877181529999,0.30043163895606995,0.19920654594898224,0.07620775699615479,0.09616691619157791,0.09880276769399643,0.2191227525472641,0.15077504515647888,0.09544310718774796
rosebury,0.4158092141151428,0.38720351457595825,0.32268890738487244,0.20575420558452606,0.16711874306201935,0.19528836011886597,0.2215619534254074,0.21685802936553955,0.18499229848384857
",",0.2908477783203125,0.31935182213783264,0.45456063747406006,0.3581022024154663,0.23522920906543732,0.25188326835632324,0.4464869201183319,0.3087472915649414,0.31091248989105225
and,0.2986639738082886,0.2875577211380005,0.3740963041782379,0.2838519215583801,0.28101271390914917,0.21810686588287354,0.5064792633056641,0.31309178471565247,0.20544172823429108
implemented,0.15249264240264893,0.1279291808605194,0.2312583029270172,0.23485280573368073,0.25482824444770813,0.1508571356534958,0.2980538010597229,0.2723406255245209,0.27067989110946655
in,0.2528995871543884,0.25229984521865845,0.45514053106307983,0.2605783939361572,0.2626776695251465,0.21322135627269745,0.4322226941585541,0.30808621644973755,0.20430970191955566
africa,0.24616195261478424,0.15321257710456848,0.1945687234401703,0.1465303897857666,0.2190927267074585,0.1753332018852234,0.18971428275108337,0.19696469604969025,0.12926554679870605
by,0.33342573046684265,0.22160305082798004,0.4752357602119446,0.2719563841819763,0.3017306327819824,0.12722152471542358,0.3248702883720398,0.2455483376979828,0.17966607213020325
cecil,0.3659901022911072,0.32724207639694214,0.2489047348499298,0.16779392957687378,0.20639364421367645,0.24514129757881165,0.19843164086341858,0.1912618726491928,0.14326900243759155
rhodes,0.2234325408935547,0.23596729338169098,0.2126350849866867,0.1737130731344223,0.12512703239917755,0.10055486112833023,0.11746257543563843,0.08149255067110062,0.06902380287647247
.,0.21036690473556519,0.24275627732276917,0.40146201848983765,0.3581749200820923,0.25983670353889465,0.1935432106256485,0.4726039469242096,0.3567904531955719,0.4130953550338745
,rudyard,kipling,was,an,influential,spokesman,for,what,?
the,0.3113105595111847,0.29508256912231445,0.48711544275283813,0.4207492768764496,0.2541041374206543,0.24552905559539795,0.4739971458911896,0.42745697498321533,0.22068053483963013
pseudo-sciences,0.3802740275859833,0.3539252281188965,0.18196603655815125,0.18498030304908752,0.3502982258796692,0.14996293187141418,0.23682285845279694,0.28846514225006104,0.21512919664382935
of,0.22634382545948029,0.27751603722572327,0.4069072902202606,0.32280945777893066,0.35619789361953735,0.16398678719997406,0.4185989499092102,0.33290785551071167,0.1826142966747284
social,0.1684487909078598,0.15949366986751556,0.196878582239151,0.1521279513835907,0.3227747678756714,0.2939067780971527,0.2460131198167801,0.22217629849910736,0.1615191102027893
darwinism,0.32307496666908264,0.2853730618953705,0.2389071136713028,0.16325390338897705,0.4068545401096344,0.25089165568351746,0.24081280827522278,0.35793644189834595,0.25077125430107117
and,0.2986639738082886,0.2875577211380005,0.3740963041782379,0.2838519215583801,0.28101271390914917,0.21810686588287354,0.5064792633056641,0.31309178471565247,0.20544172823429108
theories,0.3304768204689026,0.30632391571998596,0.17534489929676056,0.17326046526432037,0.3856559693813324,0.2436697781085968,0.18592172861099243,0.3363492488861084,0.21320602297782898
of,0.22634382545948029,0.27751603722572327,0.4069072902202606,0.32280945777893066,0.35619789361953735,0.16398678719997406,0.4185989499092102,0.33290785551071167,0.1826142966747284
