,what,is,the,largest,suspension,bridge,in,germany,?
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.213475301861763,0.22228553891181946,0.22298501431941986,0.41100412607192993,0.22155004739761353,0.12887074053287506
emmerich,0.1736460030078888,0.2582860291004181,0.2882566750049591,0.1383955329656601,0.09521126002073288,0.10304497182369232,0.36114200949668884,0.4947817325592041,0.13387663662433624
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.21360312402248383,0.22415432333946228,0.4954058527946472,0.29381805658340454,0.20544172823429108
cleves,0.15752612054347992,0.1905316561460495,0.27172577381134033,0.16935820877552032,0.11477921158075333,0.24319303035736084,0.2571854293346405,0.3390085995197296,0.1412518173456192
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.279620885848999,0.27692803740501404,0.6662389636039734,0.3181285262107849,0.22068053483963013
emmerich,0.1736460030078888,0.2582860291004181,0.2882566750049591,0.1383955329656601,0.09521126002073288,0.10304497182369232,0.36114200949668884,0.4947817325592041,0.13387663662433624
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.1578357070684433,0.1888040155172348,0.2627650499343872,0.24648422002792358,0.5801170468330383,0.13754533231258392
bridge,0.16739098727703094,0.1899378001689911,0.27692803740501404,0.20977716147899628,0.5248150825500488,0.9999999403953552,0.235438272356987,0.09500835090875626,0.1396101862192154
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.1453205645084381,0.2011108100414276,0.5201468467712402,0.2898865044116974,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.279620885848999,0.27692803740501404,0.6662389636039734,0.3181285262107849,0.22068053483963013
longest,0.13152959942817688,0.28321096301078796,0.36807993054389954,0.4436023533344269,0.31232061982154846,0.33441630005836487,0.3027363419532776,0.16953496634960175,0.1404971331357956
suspension,0.1873469054698944,0.2197364866733551,0.279620885848999,0.16258198022842407,1.0000001192092896,0.5248150825500488,0.17704683542251587,0.08840548992156982,0.16699327528476715
bridge,0.16739098727703094,0.1899378001689911,0.27692803740501404,0.20977716147899628,0.5248150825500488,0.9999999403953552,0.235438272356987,0.09500835090875626,0.1396101862192154
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.17704683542251587,0.235438272356987,1.0,0.3642844259738922,0.20430970191955566
germany,0.21690446138381958,0.2201172411441803,0.3181285262107849,0.19323766231536865,0.08840548992156982,0.09500835090875626,0.3642844259738922,1.0,0.1388660967350006
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.1453205645084381,0.2011108100414276,0.5201468467712402,0.2898865044116974,0.31091248989105225
crosses,0.22099700570106506,0.2743796408176422,0.3373211920261383,0.1921117603778839,0.20573294162750244,0.40785300731658936,0.2720853388309479,0.19468319416046143,0.10661549866199493
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.279620885848999,0.27692803740501404,0.6662389636039734,0.3181285262107849,0.22068053483963013
400,0.19401682913303375,0.15271618962287903,0.17705115675926208,0.11635243892669678,0.002319084946066141,0.08315169811248779,0.1977328509092331,0.4175930917263031,0.14271585643291473
m,0.23871465027332306,0.22669823467731476,0.15156042575836182,0.09353294223546982,0.1361583024263382,0.15415532886981964,0.12893682718276978,0.12801755964756012,0.2618667185306549
wide,0.22181174159049988,0.22456400096416473,0.28078147768974304,0.2918347120285034,0.27826473116874695,0.23011837899684906,0.22946839034557343,0.13183338940143585,0.12719376385211945
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.2491404414176941,0.22895757853984833,0.4530387818813324,0.2149806171655655,0.13062797486782074,0.15390869975090027
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.22476492822170258,0.23252202570438385,0.5591574311256409,0.28498756885528564,0.4130953550338745
