,the,prospect,of,what,event,compelled,the,protection,of,german,private,schools,?
this,0.6274310946464539,0.22813290357589722,0.45148900151252747,0.5489566326141357,0.32310792803764343,0.313766211271286,0.6274310946464539,0.3860035538673401,0.45148900151252747,0.18710628151893616,0.2191108912229538,0.19956094026565552,0.3155723512172699
unusual,0.3101860284805298,0.10607358813285828,0.2932579815387726,0.2481527328491211,0.226729154586792,0.21871094405651093,0.3101860284805298,0.20745442807674408,0.2932579815387726,0.09344403445720673,0.14460332691669464,0.1517990380525589,0.1398017257452011
protection,0.26689648628234863,0.22870281338691711,0.22774651646614075,0.24867326021194458,0.19005103409290314,0.27075159549713135,0.26689648628234863,1.0,0.22774651646614075,0.14609971642494202,0.17122581601142883,0.17763559520244598,0.21348094940185547
of,0.733189046382904,0.2006915807723999,1.0,0.33290785551071167,0.19878064095973969,0.26182663440704346,0.733189046382904,0.22774651646614075,1.0,0.2122138887643814,0.18706899881362915,0.265506386756897,0.1826142966747284
private,0.18291357159614563,0.16297748684883118,0.18706899881362915,0.16778090596199036,0.18376953899860382,0.2517749071121216,0.18291357159614563,0.17122581601142883,0.18706899881362915,0.10009211301803589,1.0,0.4158569872379303,0.14389030635356903
schools,0.22905772924423218,0.14326468110084534,0.265506386756897,0.1820785105228424,0.12589292228221893,0.16412697732448578,0.22905772924423218,0.17763559520244598,0.265506386756897,0.15429559350013733,0.4158569872379303,1.0,0.18349280953407288
was,0.48711544275283813,0.22781378030776978,0.4069072902202606,0.22111038863658905,0.28341150283813477,0.2629784643650055,0.48711544275283813,0.1565752774477005,0.4069072902202606,0.26016926765441895,0.18122155964374542,0.19736053049564362,0.18412111699581146
implemented,0.21611113846302032,0.1944940984249115,0.20162434875965118,0.2723406255245209,0.14038726687431335,0.2662772238254547,0.21611113846302032,0.3472941517829895,0.20162434875965118,0.14905495941638947,0.18204790353775024,0.2374875545501709,0.27067989110946655
to,0.535392165184021,0.27643218636512756,0.41548454761505127,0.455847829580307,0.2585321366786957,0.32844340801239014,0.535392165184021,0.30331313610076904,0.41548454761505127,0.15143753588199615,0.18892748653888702,0.2362271547317505,0.29463258385658264
protect,0.2559677064418793,0.18234653770923615,0.19880573451519012,0.25314101576805115,0.1449512541294098,0.2690735161304474,0.2559677064418793,0.7506046891212463,0.19880573451519012,0.10766129195690155,0.19673146307468414,0.1388881653547287,0.20180222392082214
these,0.49086877703666687,0.11015436798334122,0.42684608697891235,0.4164220690727234,0.20756886899471283,0.20628783106803894,0.49086877703666687,0.2868098318576813,0.42684608697891235,0.1609436273574829,0.20254065096378326,0.3167678117752075,0.2571668326854706
schools,0.22905772924423218,0.14326468110084534,0.265506386756897,0.1820785105228424,0.12589292228221893,0.16412697732448578,0.22905772924423218,0.17763559520244598,0.265506386756897,0.15429559350013733,0.4158569872379303,1.0,0.18349280953407288
from,0.40150508284568787,0.12796325981616974,0.4249346852302551,0.2737620174884796,0.2522880434989929,0.19165979325771332,0.40150508284568787,0.14365801215171814,0.4249346852302551,0.18661607801914215,0.18150165677070618,0.1357884258031845,0.19969791173934937
a,0.5829201340675354,0.24309246242046356,0.5052502155303955,0.3320399522781372,0.2635729908943176,0.29106801748275757,0.5829201340675354,0.26957836747169495,0.5052502155303955,0.23789440095424652,0.20346391201019287,0.2118925303220749,0.23916715383529663
second,0.4620301127433777,0.15764397382736206,0.353416383266449,0.19948028028011322,0.2782994508743286,0.169250950217247,0.4620301127433777,0.11360366642475128,0.353416383266449,0.16343481838703156,0.16957645118236542,0.12513969838619232,0.17239587008953094
gleichschaltung,0.31061139702796936,0.21485254168510437,0.3219331204891205,0.21151898801326752,0.10937923938035965,0.23406653106212616,0.31061139702796936,0.17161379754543304,0.3219331204891205,0.5183746218681335,0.21404710412025452,0.27376827597618103,0.2278282195329666
or,0.4174870550632477,0.10372676700353622,0.3792596757411957,0.33867141604423523,0.28712624311447144,0.27820947766304016,0.4174870550632477,0.25772449374198914,0.3792596757411957,0.18902423977851868,0.21888144314289093,0.23524631559848785,0.32389625906944275
similar,0.2963123023509979,0.08774787932634354,0.2911645472049713,0.30608364939689636,0.1844288557767868,0.11566395312547684,0.2963123023509979,0.2063777595758438,0.2911645472049713,0.12241380661725998,0.15252240002155304,0.17947885394096375,0.23309361934661865
event,0.2960145175457001,0.222881019115448,0.19878064095973969,0.26981404423713684,0.9999998807907104,0.20150025188922882,0.2960145175457001,0.19005103409290314,0.19878064095973969,0.05154574289917946,0.18376953899860382,0.12589292228221893,0.16076280176639557
in,0.6662389636039734,0.2274644523859024,0.5696388483047485,0.30808621644973755,0.27304479479789734,0.20503534376621246,0.6662389636039734,0.15337345004081726,0.5696388483047485,0.21098364889621735,0.21135757863521576,0.2632134258747101,0.20430970191955566
the,1.0,0.2632376253604889,0.733189046382904,0.42745697498321533,0.2960145175457001,0.27291247248649597,1.0,0.26689648628234863,0.733189046382904,0.256483793258667,0.18291357159614563,0.22905772924423218,0.22068053483963013
future,0.2337762415409088,0.31611916422843933,0.25455814599990845,0.29700374603271484,0.3093422055244446,0.1951678842306137,0.2337762415409088,0.22893314063549042,0.25455814599990845,0.13113674521446228,0.15232226252555847,0.12422480434179306,0.3367180824279785
.,0.5934505462646484,0.19792765378952026,0.5352458953857422,0.3567904531955719,0.2068977802991867,0.15385909378528595,0.5934505462646484,0.2332351952791214,0.5352458953857422,0.2407633364200592,0.2534593939781189,0.2752705216407776,0.4130953550338745
