,what,kind,of,state,was,the,khwarezmia,?
by,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.2263980358839035,0.4752357602119446,0.4408751428127289,0.2806098461151123,0.17966607213020325
1218,0.07909304648637772,0.009899388998746872,0.02086631767451763,0.1333606243133545,0.06650105863809586,0.008959535509347916,0.010571837425231934,0.0336468406021595
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.29481780529022217,0.45456063747406006,0.4933079481124878,0.35280895233154297,0.31091248989105225
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.26851922273635864,0.3677520453929901,0.48381632566452026,0.31569552421569824,0.27043893933296204
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.25097307562828064,0.4508470594882965,0.5829201340675354,0.3061319887638092,0.23916715383529663
result,0.19945499300956726,0.23080593347549438,0.231380432844162,0.11721982061862946,0.18558235466480255,0.27778977155685425,0.23609134554862976,0.17218433320522308
of,0.33290785551071167,0.2285657674074173,1.0,0.34253445267677307,0.4069072902202606,0.733189046382904,0.30564188957214355,0.1826142966747284
defeat,0.16252544522285461,0.07673222571611404,0.2543899118900299,0.12725187838077545,0.24067381024360657,0.3182816207408905,0.19880281388759613,0.12980464100837708
of,0.33290785551071167,0.2285657674074173,1.0,0.34253445267677307,0.4069072902202606,0.733189046382904,0.30564188957214355,0.1826142966747284
qara,0.22368445992469788,0.10278166085481644,0.2509344220161438,0.14354810118675232,0.2961975038051605,0.30156639218330383,0.6062487363815308,0.1857597380876541
khitai,0.17383551597595215,0.12668155133724213,0.2516428530216217,0.16328701376914978,0.23286694288253784,0.25684550404548645,0.5408905148506165,0.20356783270835876
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.29481780529022217,0.45456063747406006,0.4933079481124878,0.35280895233154297,0.31091248989105225
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.3097178041934967,0.48711544275283813,1.0,0.3111512362957001,0.22068053483963013
mongol,0.15870186686515808,0.07520116865634918,0.22712039947509766,0.1786884069442749,0.17204789817333221,0.2924198508262634,0.4831540286540985,0.12849251925945282
