,who,founded,the,office,of,western,medicine,?
the,0.3733934462070465,0.2840350568294525,1.0,0.27314993739128113,0.733189046382904,0.37920868396759033,0.19564834237098694,0.22068053483963013
nestorian,0.23551250994205475,0.2998041808605194,0.2434549331665039,0.1788928061723709,0.23305381834506989,0.2681899666786194,0.1711985170841217,0.11854059249162674
physician,0.3374174237251282,0.2413543313741684,0.1636791080236435,0.08477825671434402,0.1483788639307022,0.08983194828033447,0.4790349006652832,0.1271199882030487
jesus,0.2647133767604828,0.18559463322162628,0.23073002696037292,0.0831017941236496,0.21039734780788422,0.11846564710140228,0.14255793392658234,0.19975169003009796
the,0.3733934462070465,0.2840350568294525,1.0,0.27314993739128113,0.733189046382904,0.37920868396759033,0.19564834237098694,0.22068053483963013
interpreter,0.3181096315383911,0.16429807245731354,0.24445651471614838,0.1713135838508606,0.1891809105873108,0.21694350242614746,0.11918523907661438,0.20340946316719055
founded,0.2723641097545624,1.0000001192092896,0.2840350568294525,0.16775040328502655,0.24571022391319275,0.18686732649803162,0.17496205866336823,0.09119737893342972
the,0.3733934462070465,0.2840350568294525,1.0,0.27314993739128113,0.733189046382904,0.37920868396759033,0.19564834237098694,0.22068053483963013
office,0.2092086672782898,0.16775040328502655,0.27314993739128113,1.0000001192092896,0.24605777859687805,0.15442542731761932,0.09942850470542908,0.16497313976287842
of,0.2827862501144409,0.24571022391319275,0.733189046382904,0.24605777859687805,1.0,0.32974064350128174,0.20997224748134613,0.1826142966747284
western,0.2089514136314392,0.18686732649803162,0.37920868396759033,0.15442542731761932,0.32974064350128174,1.0000001192092896,0.1959279179573059,0.17439141869544983
medicine,0.19163823127746582,0.17496205866336823,0.19564834237098694,0.09942850470542908,0.20997224748134613,0.1959279179573059,1.0,0.14826606214046478
in,0.2792111933231354,0.24877111613750458,0.6662389636039734,0.28433957695961,0.5696388483047485,0.35160520672798157,0.2281779944896698,0.20430970191955566
1263,0.1241391971707344,0.10926362127065659,0.08459725230932236,-0.017426982522010803,0.06169035658240318,0.03390198573470116,0.1029055118560791,0.07894309610128403
during,0.30551859736442566,0.19434230029582977,0.4838213622570038,0.17611193656921387,0.3869180977344513,0.2569528818130493,0.09812596440315247,0.1325719803571701
the,0.3733934462070465,0.2840350568294525,1.0,0.27314993739128113,0.733189046382904,0.37920868396759033,0.19564834237098694,0.22068053483963013
reign,0.21089372038841248,0.1910436898469925,0.2661008834838867,0.1455862820148468,0.2783183157444,0.20217542350292206,0.1366589069366455,0.16399922966957092
of,0.2827862501144409,0.24571022391319275,0.733189046382904,0.24605777859687805,1.0,0.32974064350128174,0.20997224748134613,0.1826142966747284
kublai,0.2874084413051605,0.19787314534187317,0.32886171340942383,0.19849494099617004,0.231930211186409,0.26490509510040283,0.09124814718961716,0.14562560617923737
.,0.3541337847709656,0.23141497373580933,0.5934505462646484,0.26038533449172974,0.5352458953857422,0.2816847264766693,0.242958664894104,0.4130953550338745
