,the,church,emphasizes,the,need,to,be,in,supportive,ministry,of,what,group,?
the,1.0,0.23846197128295898,0.23721882700920105,1.0,0.2594960331916809,0.535392165184021,0.4248143136501312,0.6662389636039734,0.27438807487487793,0.23817597329616547,0.733189046382904,0.42745697498321533,0.30795547366142273,0.22068053483963013
church,0.23846197128295898,0.9999999403953552,0.14217762649059296,0.23846197128295898,0.16749487817287445,0.24439501762390137,0.14655785262584686,0.2493300437927246,0.13718155026435852,0.28343912959098816,0.3079429268836975,0.1944202184677124,0.14028063416481018,0.18081501126289368
emphasizes,0.23721882700920105,0.14217762649059296,1.0,0.23721882700920105,0.24205219745635986,0.2694731056690216,0.24958600103855133,0.24811096489429474,0.26614493131637573,0.24983413517475128,0.3281346559524536,0.2833080291748047,0.15677964687347412,0.22119708359241486
the,1.0,0.23846197128295898,0.23721882700920105,1.0,0.2594960331916809,0.535392165184021,0.4248143136501312,0.6662389636039734,0.27438807487487793,0.23817597329616547,0.733189046382904,0.42745697498321533,0.30795547366142273,0.22068053483963013
need,0.2594960331916809,0.16749487817287445,0.24205219745635986,0.2594960331916809,0.9999999403953552,0.42094892263412476,0.5365972518920898,0.2129468470811844,0.3552393615245819,0.20473229885101318,0.24285943806171417,0.39420950412750244,0.19744956493377686,0.40413710474967957
to,0.535392165184021,0.24439501762390137,0.2694731056690216,0.535392165184021,0.42094892263412476,1.0,0.4972836375236511,0.45010748505592346,0.2919946014881134,0.21453896164894104,0.41548454761505127,0.455847829580307,0.2672896385192871,0.29463258385658264
be,0.4248143136501312,0.14655785262584686,0.24958600103855133,0.4248143136501312,0.5365972518920898,0.4972836375236511,1.0,0.3481820821762085,0.28230929374694824,0.14925865828990936,0.33904364705085754,0.3929833769798279,0.21518005430698395,0.3324260413646698
in,0.6662389636039734,0.2493300437927246,0.24811096489429474,0.6662389636039734,0.2129468470811844,0.45010748505592346,0.3481820821762085,1.0,0.2360086292028427,0.2015600949525833,0.5696388483047485,0.30808621644973755,0.2304753065109253,0.20430970191955566
supportive,0.27438807487487793,0.13718155026435852,0.26614493131637573,0.27438807487487793,0.3552393615245819,0.2919946014881134,0.28230929374694824,0.2360086292028427,1.0000001192092896,0.174434095621109,0.25233203172683716,0.2531377375125885,0.23113703727722168,0.1928483247756958
ministry,0.23817597329616547,0.28343912959098816,0.24983413517475128,0.23817597329616547,0.20473229885101318,0.21453896164894104,0.14925865828990936,0.2015600949525833,0.174434095621109,1.0000001192092896,0.2755489647388458,0.25128573179244995,0.18457771837711334,0.18168897926807404
