,name,the,other,way,that,the,plowshares,organization,temporarily,closed,?
the,0.3171212375164032,1.0,0.44152235984802246,0.36217406392097473,0.5473989248275757,1.0,0.3407656252384186,0.311172217130661,0.35498616099357605,0.2359541952610016,0.22068053483963013
plowshares,0.2622741460800171,0.3407656252384186,0.3204720914363861,0.24557499587535858,0.31953078508377075,0.3407656252384186,1.0000001192092896,0.31320616602897644,0.27441614866256714,0.1982606053352356,0.17814993858337402
organization,0.16160167753696442,0.311172217130661,0.23159298300743103,0.25149840116500854,0.2613518536090851,0.311172217130661,0.31320616602897644,1.0000001192092896,0.2132859230041504,0.11310221254825592,0.2069297879934311
temporarily,0.15903593599796295,0.35498616099357605,0.25423458218574524,0.2775912880897522,0.3617313504219055,0.35498616099357605,0.27441614866256714,0.2132859230041504,0.9999999403953552,0.3055700957775116,0.11896703392267227
closed,0.10723565518856049,0.2359541952610016,0.2295345515012741,0.2059408575296402,0.3103141188621521,0.2359541952610016,0.1982606053352356,0.11310221254825592,0.3055700957775116,1.0,0.15595348179340363
gcsb,0.16347408294677734,0.1797112673521042,0.17320138216018677,0.14575059711933136,0.1635073870420456,0.1797112673521042,0.32060912251472473,0.2382674664258957,0.1291283667087555,0.22943775355815887,0.3080607056617737
waihopai,0.24857735633850098,0.3639287054538727,0.23256075382232666,0.1866482049226761,0.24844849109649658,0.3639287054538727,0.4143872857093811,0.3469238579273224,0.2710616886615753,0.13698750734329224,0.25326791405677795
by,0.25480157136917114,0.4408751428127289,0.3321913778781891,0.3228684663772583,0.37496164441108704,0.4408751428127289,0.2601253092288971,0.19509689509868622,0.30750763416290283,0.17068776488304138,0.17966607213020325
padlocking,0.15363091230392456,0.29623210430145264,0.36066934466362,0.33113715052604675,0.38740041851997375,0.29623210430145264,0.35475242137908936,0.11794018745422363,0.3352563977241516,0.28376320004463196,0.29801273345947266
the,0.3171212375164032,1.0,0.44152235984802246,0.36217406392097473,0.5473989248275757,1.0,0.3407656252384186,0.311172217130661,0.35498616099357605,0.2359541952610016,0.22068053483963013
gates,0.14592383801937103,0.2443714737892151,0.15558171272277832,0.09697546064853668,0.18657542765140533,0.2443714737892151,0.31745094060897827,0.09910617768764496,0.23002581298351288,0.27075567841529846,0.1212976723909378
and,0.21235932409763336,0.5171257257461548,0.5504306554794312,0.32150545716285706,0.4731321930885315,0.5171257257461548,0.3611733913421631,0.21951423585414886,0.25509530305862427,0.21235816180706024,0.20544172823429108
using,0.19703111052513123,0.28364112973213196,0.34451326727867126,0.4523937702178955,0.4372335970401764,0.28364112973213196,0.283274382352829,0.22185981273651123,0.24222619831562042,0.15069535374641418,0.2804589569568634
sickles,0.039736308157444,0.27399250864982605,0.1979946345090866,0.13184428215026855,0.21770423650741577,0.27399250864982605,0.23832882940769196,0.1443748027086258,0.27595940232276917,0.14422206580638885,0.17036421597003937
to,0.27806994318962097,0.535392165184021,0.4193183183670044,0.4772548973560333,0.5436353087425232,0.535392165184021,0.3288280963897705,0.26166829466819763,0.38873597979545593,0.2852984070777893,0.29463258385658264
deflate,0.11569105088710785,0.32094457745552063,0.3671428859233856,0.3784615695476532,0.44079336524009705,0.32094457745552063,0.3013099431991577,0.1568056046962738,0.3166421055793762,0.2867916226387024,0.30190977454185486
one,0.27018114924430847,0.5514441132545471,0.45956575870513916,0.3798474967479706,0.5133185982704163,0.5514441132545471,0.2794274091720581,0.20385435223579407,0.18815995752811432,0.21451805531978607,0.2673267424106598
of,0.24075818061828613,0.733189046382904,0.38583824038505554,0.266871839761734,0.41498205065727234,0.733189046382904,0.3475956618785858,0.25438958406448364,0.24215073883533478,0.15899594128131866,0.1826142966747284
the,0.3171212375164032,1.0,0.44152235984802246,0.36217406392097473,0.5473989248275757,1.0,0.3407656252384186,0.311172217130661,0.35498616099357605,0.2359541952610016,0.22068053483963013
large,0.1343102604150772,0.3828733265399933,0.353826105594635,0.2794021666049957,0.34200385212898254,0.3828733265399933,0.3066760003566742,0.16976642608642578,0.2618315517902374,0.20721620321273804,0.1355665624141693
domes,0.18871305882930756,0.2820517122745514,0.2603254020214081,0.17608007788658142,0.22081975638866425,0.2820517122745514,0.36438027024269104,0.05501503124833107,0.17152762413024902,0.12296878546476364,0.13956885039806366
covering,0.07556688785552979,0.36934760212898254,0.2777037024497986,0.16609162092208862,0.2686467468738556,0.36934760212898254,0.3289465606212616,0.22118744254112244,0.18333017826080322,0.19737496972084045,0.10643069446086884
two,0.18348293006420135,0.43858039379119873,0.46609029173851013,0.3041468858718872,0.3858162462711334,0.43858039379119873,0.3113144338130951,0.161483034491539,0.208766907453537,0.214787095785141,0.19645625352859497
satellite,0.16699890792369843,0.22563834488391876,0.1345672905445099,0.29217851161956787,0.21998104453086853,0.22563834488391876,0.26716265082359314,0.20391137897968292,0.2266918420791626,0.09684363007545471,0.13568443059921265
dishes,0.20008531212806702,0.24076925218105316,0.2513904869556427,0.22020745277404785,0.2146095186471939,0.24076925218105316,0.2810652256011963,0.11861584335565567,0.12375973910093307,0.13947461545467377,0.137337788939476
.,0.24737101793289185,0.5934505462646484,0.41511186957359314,0.33520638942718506,0.4460422694683075,0.5934505462646484,0.2713629901409149,0.20656518638134003,0.2536139190196991,0.24888747930526733,0.4130953550338745
