,how,many,yards,was,the,field,goal,gano,made,to,make,the,score,16-10,?
a,0.29312583804130554,0.2872205972671509,0.19167225062847137,0.4508470594882965,0.5829201340675354,0.2030690312385559,0.20853768289089203,0.21979376673698425,0.3180864453315735,0.45503583550453186,0.34303420782089233,0.5829201340675354,0.19997252523899078,0.020807143300771713,0.23916715383529663
16-yard,0.26863282918930054,0.2272297441959381,0.5373048186302185,0.33790063858032227,0.33381152153015137,0.27801766991615295,0.25576290488243103,0.2096519023180008,0.20094090700149536,0.23728755116462708,0.17876772582530975,0.33381152153015137,0.26963940262794495,-0.013328392058610916,0.12999987602233887
reception,0.17294476926326752,0.2312208116054535,0.3975681662559509,0.220537930727005,0.27069389820098877,0.14700523018836975,0.1738162785768509,0.1674324870109558,0.10609002411365509,0.22423096001148224,0.12207815051078796,0.27069389820098877,0.2017274647951126,0.03895418718457222,0.17967697978019714
by,0.34370526671409607,0.3409687578678131,0.1708054542541504,0.4752357602119446,0.4408751428127289,0.18480901420116425,0.14687420427799225,0.11040637642145157,0.34175434708595276,0.33534231781959534,0.2695997655391693,0.4408751428127289,0.19075021147727966,0.06686434894800186,0.17966607213020325
devin,0.1716802567243576,0.048369407653808594,0.20699408650398254,0.2838001847267151,0.2083873152732849,0.13535311818122864,0.14813438057899475,0.2191045880317688,0.09300822019577026,0.2320566624403,0.12677165865898132,0.2083873152732849,0.24437780678272247,-0.07366233319044113,0.16963998973369598
funchess,0.23999552428722382,0.19429266452789307,0.21229864656925201,0.24030761420726776,0.2866738736629486,0.1782236546278,0.242384672164917,0.16523893177509308,0.2432689368724823,0.25236257910728455,0.26340222358703613,0.2866738736629486,0.23641899228096008,0.020317697897553444,0.20353761315345764
and,0.33647966384887695,0.5296266674995422,0.22108176350593567,0.3740963041782379,0.5171257257461548,0.26487240195274353,0.20885969698429108,0.18752357363700867,0.34954607486724854,0.48971283435821533,0.4160483181476593,0.5171257257461548,0.16766662895679474,0.13382701575756073,0.20544172823429108
a,0.29312583804130554,0.2872205972671509,0.19167225062847137,0.4508470594882965,0.5829201340675354,0.2030690312385559,0.20853768289089203,0.21979376673698425,0.3180864453315735,0.45503583550453186,0.34303420782089233,0.5829201340675354,0.19997252523899078,0.020807143300771713,0.23916715383529663
12-yard,0.23588337004184723,0.17705181241035461,0.522172749042511,0.2771025598049164,0.2714778780937195,0.2330370992422104,0.2229161262512207,0.13624942302703857,0.15846046805381775,0.2022000402212143,0.13432101905345917,0.2714778780937195,0.22528617084026337,-0.07255081087350845,0.10327286273241043
run,0.2245650738477707,0.24698178470134735,0.2157886028289795,0.18548552691936493,0.27883726358413696,0.11617713421583176,0.24854470789432526,0.07174168527126312,0.20260275900363922,0.2691870927810669,0.2776685953140259,0.27883726358413696,0.21920634806156158,0.006421142723411322,0.17904110252857208
