,what,does,'gram-negative,',mean,?
they,0.4431931674480438,0.34390902519226074,0.28941336274147034,0.27022266387939453,0.2882763147354126,0.2753053903579712
are,0.29724663496017456,0.3126322329044342,0.2784888744354248,0.24618251621723175,0.32494738698005676,0.24591213464736938
a,0.3320399522781372,0.38201746344566345,0.31688788533210754,0.48837921023368835,0.3427932858467102,0.23916715383529663
diverse,0.18528151512145996,0.19917652010917664,0.304602712392807,0.10552045702934265,0.20917774736881256,0.07389035075902939
phylum,0.20018324255943298,0.14277660846710205,0.2828373312950134,0.1638939380645752,0.17691229283809662,0.18758688867092133
of,0.33290785551071167,0.3119818866252899,0.24966217577457428,0.39136970043182373,0.27551960945129395,0.1826142966747284
bacteria,0.1863701492547989,0.23529788851737976,0.4179131090641022,0.11209972947835922,0.1429174244403839,0.18786604702472687
capable,0.24030843377113342,0.21739457547664642,0.21163597702980042,0.09901777654886246,0.20869816839694977,0.18388573825359344
of,0.33290785551071167,0.3119818866252899,0.24966217577457428,0.39136970043182373,0.27551960945129395,0.1826142966747284
carrying,0.14636102318763733,0.1441190242767334,0.17763018608093262,0.06376566737890244,0.16824625432491302,0.1526285707950592
out,0.3633197546005249,0.24808503687381744,0.26939985156059265,0.217409148812294,0.1939801126718521,0.22020699083805084
photosynthesis,0.261831134557724,0.2656877040863037,0.3668699562549591,0.11589417606592178,0.1540866494178772,0.1871609091758728
",",0.3087472915649414,0.28617382049560547,0.28872472047805786,0.5178600549697876,0.27540135383605957,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.29004862904548645,0.3053182065486908,0.22596950829029083,0.20544172823429108
are,0.29724663496017456,0.3126322329044342,0.2784888744354248,0.24618251621723175,0.32494738698005676,0.24591213464736938
gram-negative,0.2872333526611328,0.2675575315952301,0.9811317324638367,0.22839851677417755,0.23833447694778442,0.1725076586008072
",",0.3087472915649414,0.28617382049560547,0.28872472047805786,0.5178600549697876,0.27540135383605957,0.31091248989105225
meaning,0.24135559797286987,0.2968333065509796,0.23945316672325134,0.2728302776813507,0.5340426564216614,0.20420892536640167
that,0.6297725439071655,0.4764937460422516,0.3808131814002991,0.3494868278503418,0.3935231864452362,0.32716336846351624
they,0.4431931674480438,0.34390902519226074,0.28941336274147034,0.27022266387939453,0.2882763147354126,0.2753053903579712
have,0.39808809757232666,0.3709583580493927,0.3081464171409607,0.2580406367778778,0.4040674865245819,0.32991164922714233
two,0.23363454639911652,0.2100418359041214,0.29424288868904114,0.23614099621772766,0.16877402365207672,0.19645625352859497
cell,0.19222842156887054,0.22726690769195557,0.3161824643611908,0.16274116933345795,0.10591477900743484,0.2058541625738144
membranes,0.18834297358989716,0.26763641834259033,0.29987379908561707,0.1446240395307541,0.22995714843273163,0.20524227619171143
.,0.3567904531955719,0.3022993505001068,0.31923943758010864,0.4806240200996399,0.21881133317947388,0.4130953550338745
