,why,did,warsaw,gain,the,title,of,the,``,phoenix,city,'',?
warsaw,0.12199772894382477,0.1939365565776825,1.0,0.15236158668994904,0.23137180507183075,0.14721806347370148,0.19253842532634735,0.23137180507183075,0.12440727651119232,0.17596089839935303,0.25006377696990967,-0.05188906192779541,0.09769917279481888
gained,0.12014330178499222,0.2939504086971283,0.14258265495300293,0.6288602352142334,0.29543522000312805,0.1903005987405777,0.29895761609077454,0.29543522000312805,0.020346999168395996,0.162521094083786,0.17017720639705658,0.09879977256059647,0.11261032521724701
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.2682225704193115,1.0,0.27465343475341797,0.733189046382904,1.0,0.029072100296616554,0.219131201505661,0.35769423842430115,0.041273195296525955,0.22068053483963013
title,0.17754040658473969,0.17921915650367737,0.14721806347370148,0.18030096590518951,0.27465343475341797,0.9999999403953552,0.18969319760799408,0.27465343475341797,0.02549407258629799,0.19438618421554565,0.16525791585445404,0.05258110910654068,0.34551161527633667
of,0.28464117646217346,0.2513895630836487,0.19253842532634735,0.27324017882347107,0.733189046382904,0.18969319760799408,1.0,0.733189046382904,0.06780257821083069,0.1364898383617401,0.32503411173820496,0.13035868108272552,0.1826142966747284
the,0.30742117762565613,0.34736719727516174,0.23137180507183075,0.2682225704193115,1.0,0.27465343475341797,0.733189046382904,1.0,0.029072100296616554,0.219131201505661,0.35769423842430115,0.041273195296525955,0.22068053483963013
``,0.05334433168172836,-0.029888948425650597,0.12440727651119232,0.06695286184549332,0.029072100296616554,0.02549407258629799,0.06780257821083069,0.029072100296616554,1.0,-0.04866335913538933,-0.009671642445027828,-0.09173435717821121,0.0685480609536171
phoenix,0.10068685561418533,0.1564258188009262,0.17596089839935303,0.12322759628295898,0.219131201505661,0.19438618421554565,0.1364898383617401,0.219131201505661,-0.04866335913538933,1.0,0.23119491338729858,-0.052095185965299606,0.08434242755174637
city,0.12395288795232773,0.12266099452972412,0.25006377696990967,0.1410180926322937,0.35769423842430115,0.16525791585445404,0.32503411173820496,0.35769423842430115,-0.009671642445027828,0.23119491338729858,1.0,0.08278307318687439,0.13423943519592285
'',-0.038651224225759506,0.01978493109345436,-0.05188906192779541,0.07437154650688171,0.041273195296525955,0.05258110910654068,0.13035868108272552,0.041273195296525955,-0.09173435717821121,-0.052095185965299606,0.08278307318687439,1.0,0.018684765323996544
because,0.5926418900489807,0.45674043893814087,0.1800573170185089,0.2876478135585785,0.44596394896507263,0.17445491254329681,0.4075504541397095,0.44596394896507263,0.013636519201099873,0.13996092975139618,0.187541201710701,-0.0771673172712326,0.2528740465641022
it,0.376611590385437,0.2993364930152893,0.1582006961107254,0.19262422621250153,0.6251175999641418,0.2083277851343155,0.38761502504348755,0.6251175999641418,0.035206809639930725,0.1672380417585373,0.3001909852027893,-0.016964951530098915,0.25732165575027466
has,0.24175488948822021,0.2124989777803421,0.16755639016628265,0.18510013818740845,0.4177538752555847,0.15250839293003082,0.3909035325050354,0.4177538752555847,0.06254398077726364,0.22686542570590973,0.2476206123828888,0.004576915875077248,0.15994466841220856
survived,0.17311346530914307,0.28429895639419556,0.18370050191879272,0.11747073382139206,0.22965030372142792,0.12745335698127747,0.25661876797676086,0.22965030372142792,0.02979811653494835,0.15244126319885254,0.1171635165810585,0.00978877767920494,0.16461066901683807
many,0.38531482219696045,0.375588983297348,0.1653265357017517,0.21167336404323578,0.4335206151008606,0.12735196948051453,0.37253960967063904,0.4335206151008606,0.012824942357838154,0.11293541640043259,0.21416836977005005,-0.016843097284436226,0.2124512493610382
wars,0.2123350352048874,0.18421407043933868,0.2751186192035675,0.2453281581401825,0.310673326253891,0.1596793532371521,0.25379252433776855,0.310673326253891,0.04607955366373062,0.10717333108186722,0.18283605575561523,-0.019745223224163055,0.1526605486869812
",",0.2827242314815521,0.3015086054801941,0.25300899147987366,0.2041122019290924,0.4933079481124878,0.2202284336090088,0.4946078956127167,0.4933079481124878,0.09681109338998795,0.27456244826316833,0.35839709639549255,-0.037358131259679794,0.31091248989105225
