,what,has,replaced,lower,skilled,workers,in,the,united,states,?
robert,0.1948658525943756,0.13334539532661438,0.12235049903392792,0.04535705968737602,0.08044560253620148,0.052295807749032974,0.22155319154262543,0.2257954627275467,0.19725874066352844,0.15857498347759247,0.11293095350265503
lawrence,0.17999349534511566,0.08194372057914734,0.12424104660749435,0.1271238774061203,0.12050441652536392,0.1494852900505066,0.2335701733827591,0.2352556735277176,0.2747489809989929,0.26744380593299866,0.1681434065103531
argues,0.3211183547973633,0.18066540360450745,0.11548313498497009,0.20485448837280273,0.21074289083480835,0.13439692556858063,0.1981038600206375,0.22893615067005157,0.1954367607831955,0.224513977766037,0.20733967423439026
that,0.6297725439071655,0.41272613406181335,0.2443014234304428,0.25661587715148926,0.29213589429855347,0.22227567434310913,0.435920387506485,0.5473989248275757,0.25567954778671265,0.291576623916626,0.32716336846351624
technological,0.22749881446361542,0.19947804510593414,0.09822703152894974,0.22533637285232544,0.18508754670619965,0.26705294847488403,0.26757490634918213,0.27225103974342346,0.2526491582393646,0.24502216279506683,0.1312418282032013
innovation,0.15711469948291779,0.2400178462266922,0.14703696966171265,0.14455978572368622,0.29358530044555664,0.2504049241542816,0.24531784653663635,0.3283994793891907,0.23511487245559692,0.2031179964542389,0.17877207696437836
and,0.31309178471565247,0.43716782331466675,0.2584592401981354,0.2802542746067047,0.29733091592788696,0.22632038593292236,0.4954058527946472,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.20544172823429108
automation,0.29592621326446533,0.15325632691383362,0.20494017004966736,0.11529041081666946,0.22650602459907532,0.17528240382671356,0.19856344163417816,0.25513768196105957,0.16276463866233826,0.16225358843803406,0.26651784777641296
has,0.20338068902492523,1.0,0.16623616218566895,0.18122337758541107,0.15156275033950806,0.12765945494174957,0.4173259735107422,0.4177538752555847,0.17934498190879822,0.1958659142255783,0.15994466841220856
meant,0.40698376297950745,0.20495302975177765,0.29478320479393005,0.17594076693058014,0.3185414969921112,0.23960885405540466,0.25344955921173096,0.34852901101112366,0.209865540266037,0.21811893582344055,0.28817421197891235
that,0.6297725439071655,0.41272613406181335,0.2443014234304428,0.25661587715148926,0.29213589429855347,0.22227567434310913,0.435920387506485,0.5473989248275757,0.25567954778671265,0.291576623916626,0.32716336846351624
low-skilled,0.23732228577136993,0.2229040563106537,0.2843555808067322,0.33612480759620667,0.8208768963813782,0.390444278717041,0.2875152826309204,0.29033613204956055,0.27870607376098633,0.2728954255580902,0.19992585480213165
jobs,0.24064965546131134,0.19490747153759003,0.16319070756435394,0.1445552110671997,0.4060518145561218,0.45520082116127014,0.25891396403312683,0.25216126441955566,0.27442941069602966,0.2920830547809601,0.15148547291755676
have,0.39808809757232666,0.6353569626808167,0.19048047065734863,0.2959109842777252,0.25195762515068054,0.224677175283432,0.36843645572662354,0.40389683842658997,0.17950676381587982,0.20162390172481537,0.32991164922714233
been,0.2567804455757141,0.6162750124931335,0.2910950481891632,0.1658165156841278,0.2215653359889984,0.19669580459594727,0.3515113592147827,0.3563927710056305,0.21903765201568604,0.20674076676368713,0.24354910850524902
replaced,0.12975038588047028,0.16623616218566895,1.0,0.1602937877178192,0.18657411634922028,0.12352371960878372,0.2068215310573578,0.2645455598831177,0.22231702506542206,0.15971116721630096,0.14945141971111298
by,0.2455483376979828,0.3254803419113159,0.31910058856010437,0.17122666537761688,0.22590358555316925,0.1887902021408081,0.370934396982193,0.4408751428127289,0.23958808183670044,0.23827408254146576,0.17966607213020325
machine,0.23075932264328003,0.10998920351266861,0.18311995267868042,0.026175837963819504,0.30759158730506897,0.23016946017742157,0.16716814041137695,0.22788187861442566,0.13794174790382385,0.13914696872234344,0.17587624490261078
labor,0.1943984031677246,0.07829708606004715,0.17077042162418365,0.19383035600185394,0.23401720821857452,0.5137044787406921,0.1950610727071762,0.21506793797016144,0.26788535714149475,0.27212852239608765,0.19386747479438782
in,0.30808621644973755,0.4173259735107422,0.2068215310573578,0.27455443143844604,0.14989303052425385,0.2254374474287033,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
wealthier,0.2523355782032013,0.16801699995994568,0.20922107994556427,0.24122697114944458,0.39182180166244507,0.3078345060348511,0.17432241141796112,0.27555933594703674,0.15429222583770752,0.16286911070346832,0.15704771876335144
nations,0.19211222231388092,0.1980651617050171,0.1450740396976471,0.11888173222541809,0.14123907685279846,0.2510116994380951,0.259304404258728,0.3506215214729309,0.4378493130207062,0.4257693290710449,0.20999202132225037
",",0.3087472915649414,0.3734780251979828,0.21472671627998352,0.236776202917099,0.2190762609243393,0.17716385424137115,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
and,0.31309178471565247,0.43716782331466675,0.2584592401981354,0.2802542746067047,0.29733091592788696,0.22632038593292236,0.4954058527946472,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.20544172823429108
that,0.6297725439071655,0.41272613406181335,0.2443014234304428,0.25661587715148926,0.29213589429855347,0.22227567434310913,0.435920387506485,0.5473989248275757,0.25567954778671265,0.291576623916626,0.32716336846351624
wealthier,0.2523355782032013,0.16801699995994568,0.20922107994556427,0.24122697114944458,0.39182180166244507,0.3078345060348511,0.17432241141796112,0.27555933594703674,0.15429222583770752,0.16286911070346832,0.15704771876335144
countries,0.22319257259368896,0.26221421360969543,0.14161601662635803,0.11025762557983398,0.19612744450569153,0.3400564193725586,0.3027990758419037,0.33290645480155945,0.38267436623573303,0.4093204438686371,0.15128466486930847
