,what,did,luther,form,in,1525,to,1529,?
from,0.2737620174884796,0.20248863101005554,0.10716932266950607,0.2607075572013855,0.4274188280105591,0.09640663117170334,0.4069952368736267,0.14255085587501526,0.19969791173934937
1525,0.1285589039325714,0.19781608879566193,0.1513497233390808,0.031877197325229645,0.14578936994075775,1.0,0.11687613278627396,-0.008482825011014938,0.09607826918363571
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.2772196829319,0.45010748505592346,0.11687613278627396,1.0,0.12553973495960236,0.29463258385658264
1529,0.07017510384321213,0.12269923090934753,0.16133925318717957,0.08601633459329605,0.24987466633319855,-0.008482825011014938,0.12553973495960236,1.0000001192092896,0.17319193482398987
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.21805599331855774,0.5201468467712402,0.07679402828216553,0.44245919585227966,0.3111608326435089,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.14386987686157227,0.41690486669540405,0.0750269666314125,0.385390967130661,0.2950300872325897,0.2089974731206894
established,0.14869536459445953,0.18989217281341553,0.1317099928855896,0.1662365049123764,0.3118882477283478,0.16622759401798248,0.15850777924060822,0.09487216919660568,0.15917523205280304
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.3088195323944092,0.539380669593811,0.11692382395267487,0.45503583550453186,0.10874844342470169,0.23916715383529663
supervisory,0.21732665598392487,0.24150541424751282,0.1377347707748413,0.13319365680217743,0.22705677151679993,0.2194848209619522,0.25757038593292236,0.2027553766965866,0.13021598756313324
church,0.1944202184677124,0.16781097650527954,0.379041463136673,0.1477697193622589,0.2493300437927246,0.12214022874832153,0.24439501762390137,0.16142933070659637,0.18081501126289368
body,0.2143840193748474,0.17681342363357544,0.09127452969551086,0.24916589260101318,0.2549867033958435,0.026259802281856537,0.307265043258667,0.08236625790596008,0.20136451721191406
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.21805599331855774,0.5201468467712402,0.07679402828216553,0.44245919585227966,0.3111608326435089,0.31091248989105225
laid,0.1648951917886734,0.2033681571483612,0.10750522464513779,0.1526079773902893,0.2162552922964096,0.09603188186883926,0.1803169697523117,0.07613299041986465,0.11215737462043762
down,0.26226112246513367,0.2029697746038437,0.14699994027614594,0.14966507256031036,0.2321847528219223,0.12416838109493256,0.33130598068237305,0.08421675115823746,0.13836295902729034
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.3088195323944092,0.539380669593811,0.11692382395267487,0.45503583550453186,0.10874844342470169,0.23916715383529663
new,0.2130378633737564,0.227974995970726,0.14555130898952484,0.2105056643486023,0.3758552670478821,0.10528561472892761,0.33159172534942627,0.12579995393753052,0.14782847464084625
form,0.15868011116981506,0.18086659908294678,0.03321759030222893,0.9999999403953552,0.2815987169742584,0.031877197325229645,0.2772196829319,0.08601633459329605,0.1463010311126709
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.29600051045417786,0.5696388483047485,0.13786408305168152,0.41548454761505127,0.1614161878824234,0.1826142966747284
worship,0.2504543364048004,0.2547917664051056,0.24786995351314545,0.22989264130592346,0.17689664661884308,0.08928188681602478,0.2843751609325409,0.048290692269802094,0.17813213169574738
service,0.16857224702835083,0.14130860567092896,0.2012641727924347,0.14382332563400269,0.1740635335445404,0.23329366743564606,0.24411341547966003,0.11306051909923553,0.1676298975944519
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.21805599331855774,0.5201468467712402,0.07679402828216553,0.44245919585227966,0.3111608326435089,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.30469027161598206,0.4954058527946472,0.09830541163682938,0.48971283435821533,0.17630600929260254,0.20544172823429108
wrote,0.2664989233016968,0.3485160768032074,0.24184277653694153,0.15332511067390442,0.2898900806903839,0.03893468156456947,0.18888387084007263,0.24647612869739532,0.19322504103183746
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.3088195323944092,0.539380669593811,0.11692382395267487,0.45503583550453186,0.10874844342470169,0.23916715383529663
clear,0.4239453375339508,0.27081912755966187,0.16892017424106598,0.2377551794052124,0.23860304057598114,0.055138539522886276,0.34294766187667847,0.04019025340676308,0.2738020122051239
summary,0.3055417239665985,0.26932328939437866,0.15784487128257751,0.19804485142230988,0.11889870464801788,0.10123848170042038,0.23262755572795868,0.0345660001039505,0.35667136311531067
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.29600051045417786,0.5696388483047485,0.13786408305168152,0.41548454761505127,0.1614161878824234,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.29286009073257446,0.6662389636039734,0.1667099893093109,0.535392165184021,0.17264190316200256,0.22068053483963013
new,0.2130378633737564,0.227974995970726,0.14555130898952484,0.2105056643486023,0.3758552670478821,0.10528561472892761,0.33159172534942627,0.12579995393753052,0.14782847464084625
faith,0.3120079040527344,0.24413958191871643,0.2839079797267914,0.11419647932052612,0.16146141290664673,0.059548649936914444,0.2426898032426834,0.06135568395256996,0.2833177447319031
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.2815987169742584,1.0,0.14578936994075775,0.45010748505592346,0.24987466633319855,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.29286009073257446,0.6662389636039734,0.1667099893093109,0.535392165184021,0.17264190316200256,0.22068053483963013
form,0.15868011116981506,0.18086659908294678,0.03321759030222893,0.9999999403953552,0.2815987169742584,0.031877197325229645,0.2772196829319,0.08601633459329605,0.1463010311126709
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.29600051045417786,0.5696388483047485,0.13786408305168152,0.41548454761505127,0.1614161878824234,0.1826142966747284
two,0.23363454639911652,0.2755576968193054,0.18037931621074677,0.22888411581516266,0.36463531851768494,0.22196266055107117,0.3343428373336792,0.09236215054988861,0.19645625352859497
