,what,general,religious,belief,did,the,nations,that,received,huguenot,refugees,have,in,common,?
the,0.42745697498321533,0.28634732961654663,0.22950971126556396,0.22474968433380127,0.34736719727516174,1.0,0.3506215214729309,0.5473989248275757,0.24890556931495667,0.29557526111602783,0.2474880963563919,0.40389683842658997,0.6662389636039734,0.2705984115600586,0.22068053483963013
bulk,0.19509074091911316,0.19792905449867249,0.09815175086259842,0.16246743500232697,0.12243471294641495,0.2220524251461029,0.14712072908878326,0.267595499753952,0.0805916041135788,0.18975655734539032,0.13825565576553345,0.28100401163101196,0.19168980419635773,0.21795110404491425,0.14538165926933289
of,0.33290785551071167,0.28352999687194824,0.2958606779575348,0.2605385482311249,0.2513895630836487,0.733189046382904,0.27521562576293945,0.41498205065727234,0.2628524899482727,0.29061198234558105,0.1848231703042984,0.3802283704280853,0.5696388483047485,0.2949881851673126,0.1826142966747284
huguenot,0.1912020891904831,0.22763143479824066,0.3950275480747223,0.22557410597801208,0.22897696495056152,0.29557526111602783,0.2988608181476593,0.19593703746795654,0.17008842527866364,1.0000001192092896,0.3226073086261749,0.15504735708236694,0.26198551058769226,0.15028174221515656,0.1359742432832718
émigrés,0.2475595623254776,0.25672468543052673,0.4151341915130615,0.34871456027030945,0.32394254207611084,0.3573610484600067,0.39126041531562805,0.3433583080768585,0.18955767154693604,0.46906614303588867,0.4405023753643036,0.3132603168487549,0.3135368824005127,0.21981275081634521,0.14224842190742493
relocated,0.18392232060432434,0.14878146350383759,0.13009384274482727,0.09404665231704712,0.2389494925737381,0.3594534695148468,0.21240843832492828,0.18367929756641388,0.22895501554012299,0.23822098970413208,0.3457925319671631,0.21956004202365875,0.28603625297546387,0.0732763260602951,0.0634486973285675
to,0.455847829580307,0.24755197763442993,0.24161745607852936,0.28712236881256104,0.4452643394470215,0.535392165184021,0.26476410031318665,0.5436353087425232,0.18226240575313568,0.24496324360370636,0.24055486917495728,0.4544740617275238,0.45010748505592346,0.21109338104724884,0.29463258385658264
protestant,0.23531195521354675,0.18061310052871704,0.5647444128990173,0.3790730834007263,0.23091652989387512,0.2679212689399719,0.2331758439540863,0.2545807659626007,0.1815485805273056,0.5451660752296448,0.3092256784439087,0.20461387932300568,0.2637297511100769,0.205540269613266,0.14798137545585632
european,0.15324164927005768,0.14515185356140137,0.19226665794849396,0.1367611289024353,0.2440035194158554,0.3423081040382385,0.398174911737442,0.2049320936203003,0.1696244776248932,0.3020241856575012,0.2830762565135956,0.19048169255256653,0.23319172859191895,0.2376275211572647,0.14560863375663757
nations,0.19211222231388092,0.2309069186449051,0.26365014910697937,0.23461884260177612,0.22762395441532135,0.3506215214729309,0.9999998807907104,0.23122698068618774,0.18605993688106537,0.2988608181476593,0.4409278631210327,0.2699330151081085,0.259304404258728,0.1830063909292221,0.20999202132225037
