,what,happens,to,the,lead,fusible,plugs,if,the,water,level,of,the,boiler,drops,?
if,0.5277165174484253,0.401856392621994,0.4559597074985504,0.33724796772003174,0.19628940522670746,0.361308217048645,0.3355671167373657,1.0,0.33724796772003174,0.2533992528915405,0.301246702671051,0.2557544410228729,0.33724796772003174,0.24112942814826965,0.3016023337841034,0.4441644251346588
the,0.42745697498321533,0.32930514216423035,0.535392165184021,1.0,0.21995973587036133,0.2233428657054901,0.23433445394039154,0.33724796772003174,1.0,0.297396719455719,0.31442487239837646,0.733189046382904,1.0,0.2309672236442566,0.293539822101593,0.22068053483963013
water,0.17456887662410736,0.29456964135169983,0.27858173847198486,0.297396719455719,0.11785557121038437,0.24667978286743164,0.3007822036743164,0.2533992528915405,0.297396719455719,0.9999998807907104,0.21333207190036774,0.2741255462169647,0.297396719455719,0.4237300455570221,0.4191405773162842,0.14731885492801666
level,0.27376922965049744,0.24540174007415771,0.2976585030555725,0.31442487239837646,0.09700223803520203,0.18675073981285095,0.15991736948490143,0.301246702671051,0.31442487239837646,0.21333207190036774,0.9999998807907104,0.23504668474197388,0.31442487239837646,0.22404201328754425,0.27273282408714294,0.20528386533260345
drops,0.1808709353208542,0.3948097825050354,0.24795256555080414,0.293539822101593,0.11348967254161835,0.2611645460128784,0.35259437561035156,0.3016023337841034,0.293539822101593,0.4191405773162842,0.27273282408714294,0.2201315313577652,0.293539822101593,0.32578974962234497,0.9999998807907104,0.12476576864719391
",",0.3087472915649414,0.24968470633029938,0.44245919585227966,0.4933079481124878,0.2561914026737213,0.2707808315753937,0.19605500996112823,0.257730096578598,0.4933079481124878,0.26706066727638245,0.23317520320415497,0.4946078956127167,0.4933079481124878,0.20319129526615143,0.26641935110092163,0.31091248989105225
such,0.23989605903625488,0.24574117362499237,0.2871878743171692,0.3575236201286316,0.20387478172779083,0.29039737582206726,0.3717421591281891,0.29256609082221985,0.3575236201286316,0.3053470849990845,0.1792222410440445,0.3209529519081116,0.3575236201286316,0.21537752449512482,0.21116559207439423,0.17851735651493073
that,0.6297725439071655,0.37155571579933167,0.5436353087425232,0.5473989248275757,0.21979129314422607,0.39766842126846313,0.3190001845359802,0.5634250640869141,0.5473989248275757,0.3326379060745239,0.25154611468315125,0.41498205065727234,0.5473989248275757,0.22063715755939484,0.2869183421134949,0.32716336846351624
the,0.42745697498321533,0.32930514216423035,0.535392165184021,1.0,0.21995973587036133,0.2233428657054901,0.23433445394039154,0.33724796772003174,1.0,0.297396719455719,0.31442487239837646,0.733189046382904,1.0,0.2309672236442566,0.293539822101593,0.22068053483963013
temperature,0.26338207721710205,0.36362963914871216,0.26598888635635376,0.27585095167160034,0.14138400554656982,0.3005475401878357,0.20676472783088684,0.24652190506458282,0.27585095167160034,0.4057410657405853,0.30557411909103394,0.21649840474128723,0.27585095167160034,0.3479796350002289,0.3513764441013336,0.2011885941028595
