,levels,of,what,things,are,used,to,determine,emission,factors,?
this,0.2716869115829468,0.45148900151252747,0.5489566326141357,0.42080244421958923,0.35762670636177063,0.3996967375278473,0.5759071707725525,0.38387903571128845,0.31140345335006714,0.32766541838645935,0.3155723512172699
involves,0.31239908933639526,0.32495999336242676,0.2138185203075409,0.37408876419067383,0.3323729634284973,0.33199435472488403,0.2485104203224182,0.3341217637062073,0.2932133674621582,0.36067187786102295,0.14038428664207458
publishing,0.08814255893230438,0.22269268333911896,0.16863952577114105,0.18304167687892914,0.1307331621646881,0.15046173334121704,0.18528030812740326,0.07794696092605591,0.1862400770187378,0.11934185028076172,0.11419087648391724
default,0.1699344515800476,0.15185199677944183,0.23298192024230957,0.18235324323177338,0.19993919134140015,0.23967215418815613,0.19900432229042053,0.30548566579818726,0.18900559842586517,0.24104925990104675,0.2252604216337204
emission,0.26807087659835815,0.21431532502174377,0.257511705160141,0.26734134554862976,0.24897770583629608,0.2542797029018402,0.2543768286705017,0.2651488184928894,1.0,0.341580331325531,0.13555191457271576
factors,0.3469931185245514,0.30045145750045776,0.2665930688381195,0.3738093674182892,0.3234047591686249,0.23614133894443512,0.2741186320781708,0.4366716146469116,0.341580331325531,0.9999998807907104,0.2019491046667099
",",0.2284579873085022,0.4946078956127167,0.3087472915649414,0.3149048686027527,0.4062570035457611,0.3120402991771698,0.44245919585227966,0.2144405096769333,0.18452578783035278,0.20595882833003998,0.31091248989105225
which,0.3389960825443268,0.5011631846427917,0.5261979103088379,0.41835635900497437,0.42922598123550415,0.414506196975708,0.5345056653022766,0.39783817529678345,0.3168502151966095,0.3255656063556671,0.25814583897590637
are,0.3186073899269104,0.39081433415412903,0.29724663496017456,0.4354586899280548,1.0,0.3322218656539917,0.3504326641559601,0.3171437084674835,0.24897770583629608,0.3234047591686249,0.24591213464736938
factors,0.3469931185245514,0.30045145750045776,0.2665930688381195,0.3738093674182892,0.3234047591686249,0.23614133894443512,0.2741186320781708,0.4366716146469116,0.341580331325531,0.9999998807907104,0.2019491046667099
used,0.20486204326152802,0.3075267970561981,0.27546408772468567,0.39277181029319763,0.3322218656539917,0.9999998807907104,0.40058770775794983,0.31329089403152466,0.2542797029018402,0.23614133894443512,0.22430120408535004
to,0.29053324460983276,0.41548454761505127,0.455847829580307,0.3824876844882965,0.3504326641559601,0.40058770775794983,1.0,0.4076496958732605,0.2543768286705017,0.2741186320781708,0.29463258385658264
derive,0.1745421141386032,0.28225037455558777,0.24581676721572876,0.20450493693351746,0.2604319155216217,0.3441111743450165,0.23538504540920258,0.31213927268981934,0.20682702958583832,0.2760791480541229,0.138357475399971
emissions,0.37420687079429626,0.240469291806221,0.2559395730495453,0.38999903202056885,0.354765385389328,0.2937164008617401,0.28014418482780457,0.24346105754375458,0.8663596510887146,0.3998624384403229,0.19590985774993896
estimates,0.18937446177005768,0.27648961544036865,0.2747287452220917,0.21166031062602997,0.25772029161453247,0.16160838305950165,0.23112152516841888,0.3543696999549866,0.22638371586799622,0.30870774388313293,0.19916187226772308
based,0.1711914986371994,0.3033197224140167,0.274813175201416,0.2132604718208313,0.3002447783946991,0.3212050795555115,0.19629007577896118,0.3037007451057434,0.17261570692062378,0.20895490050315857,0.134929820895195
on,0.1644611656665802,0.3966929316520691,0.34226128458976746,0.2750859558582306,0.268924742937088,0.24785758554935455,0.41031414270401,0.24903137981891632,0.16663888096809387,0.19839371740818024,0.2714994251728058
the,0.286034494638443,0.733189046382904,0.42745697498321533,0.30825191736221313,0.40399202704429626,0.3718377649784088,0.535392165184021,0.40889066457748413,0.23563747107982635,0.2769666314125061,0.22068053483963013
levels,0.9999998807907104,0.23668165504932404,0.21641245484352112,0.3123304843902588,0.3186073899269104,0.20486204326152802,0.29053324460983276,0.30840355157852173,0.26807087659835815,0.3469931185245514,0.1541307419538498
of,0.23668165504932404,1.0,0.33290785551071167,0.2970648407936096,0.39081433415412903,0.3075267970561981,0.41548454761505127,0.3512130081653595,0.21431532502174377,0.30045145750045776,0.1826142966747284
fuel,0.22304092347621918,0.18857792019844055,0.1848171502351761,0.28577420115470886,0.206919863820076,0.2885347604751587,0.20716820657253265,0.17067168653011322,0.40556082129478455,0.27732035517692566,0.10583324730396271
consumption,0.29069027304649353,0.249590665102005,0.22381934523582458,0.27444368600845337,0.296591579914093,0.24204935133457184,0.3022409975528717,0.2743442952632904,0.3237614929676056,0.4594535529613495,0.1937485784292221
",",0.2284579873085022,0.4946078956127167,0.3087472915649414,0.3149048686027527,0.4062570035457611,0.3120402991771698,0.44245919585227966,0.2144405096769333,0.18452578783035278,0.20595882833003998,0.31091248989105225
industrial,0.19725801050662994,0.3120400011539459,0.16054853796958923,0.21665219962596893,0.1844613403081894,0.25484758615493774,0.23145946860313416,0.17334866523742676,0.2809734046459198,0.32256433367729187,0.08039500564336777
production,0.20045776665210724,0.1928233802318573,0.16636081039905548,0.15057028830051422,0.17701907455921173,0.2212149053812027,0.2144220918416977,0.11242113262414932,0.323907732963562,0.3649445176124573,0.19318072497844696
and,0.2956688106060028,0.5116966962814331,0.31309178471565247,0.378500759601593,0.48576638102531433,0.3150506615638733,0.48971283435821533,0.2686745524406433,0.16304580867290497,0.2477942556142807,0.20544172823429108
so,0.27357590198516846,0.3184450566768646,0.539469838142395,0.5242801308631897,0.420413613319397,0.37017104029655457,0.5091881155967712,0.41080954670906067,0.25148144364356995,0.26458635926246643,0.43163934350013733
on,0.1644611656665802,0.3966929316520691,0.34226128458976746,0.2750859558582306,0.268924742937088,0.24785758554935455,0.41031414270401,0.24903137981891632,0.16663888096809387,0.19839371740818024,0.2714994251728058
.,0.24042059481143951,0.5352458953857422,0.3567904531955719,0.345660001039505,0.3452940285205841,0.33111312985420227,0.4645031690597534,0.323413223028183,0.20161543786525726,0.21191899478435516,0.4130953550338745
,levels,of,what,things,are,used,to,determine,emission,factors,?
