,what,did,agricola,apparently,believe,about,who,should,be,in,control,law,?
these,0.4164220690727234,0.38755595684051514,0.15996675193309784,0.2458430677652359,0.3734329044818878,0.366369366645813,0.34544891119003296,0.39297357201576233,0.4507283866405487,0.3791837692260742,0.25706326961517334,0.16649894416332245,0.2571668326854706
theses,0.22175903618335724,0.20294758677482605,0.2956717908382416,0.12020254135131836,0.24317213892936707,0.21312153339385986,0.1924426406621933,0.2613126337528229,0.19323323667049408,0.26951003074645996,0.1678837388753891,0.19875752925872803,0.19188037514686584
asserted,0.31134697794914246,0.3047267198562622,0.2639200985431671,0.4223127067089081,0.3413803279399872,0.20467589795589447,0.26005348563194275,0.2958340644836426,0.25831732153892517,0.23808127641677856,0.18924444913864136,0.26798567175865173,0.2433508187532425
that,0.6297725439071655,0.47518548369407654,0.15990127623081207,0.45604047179222107,0.533393383026123,0.4500710964202881,0.45444270968437195,0.4588061273097992,0.6036020517349243,0.435920387506485,0.2951871454715729,0.23277728259563446,0.32716336846351624
the,0.42745697498321533,0.34736719727516174,0.21466106176376343,0.27692100405693054,0.2972484529018402,0.37995871901512146,0.3733934462070465,0.32399165630340576,0.4248143136501312,0.6662389636039734,0.32841500639915466,0.24548950791358948,0.22068053483963013
law,0.2145031988620758,0.2238171398639679,0.14705121517181396,0.15210512280464172,0.21346379816532135,0.16579607129096985,0.21111567318439484,0.2088879495859146,0.18454892933368683,0.24850773811340332,0.1575225591659546,1.0000001192092896,0.1528988480567932
is,0.28837618231773376,0.19247472286224365,0.13841795921325684,0.2662138044834137,0.27537423372268677,0.3532065451145172,0.24293622374534607,0.33635082840919495,0.4819129705429077,0.5394441485404968,0.17722277343273163,0.18597714602947235,0.22961433231830597
no,0.339326947927475,0.23735837638378143,0.15867242217063904,0.32230016589164734,0.2660612165927887,0.21095076203346252,0.19753101468086243,0.4782313406467438,0.4173688292503357,0.24372287094593048,0.16186901926994324,0.20453213155269623,0.32165053486824036
longer,0.3188037574291229,0.264748752117157,0.12372209131717682,0.31852877140045166,0.31220728158950806,0.28808513283729553,0.28090566396713257,0.37579426169395447,0.40303537249565125,0.2513541877269745,0.17379304766654968,0.14804531633853912,0.24416615068912506
to,0.455847829580307,0.4452643394470215,0.14556097984313965,0.34494224190711975,0.34598591923713684,0.391953706741333,0.42656609416007996,0.44452130794525146,0.4972836375236511,0.45010748505592346,0.28164729475975037,0.259207159280777,0.29463258385658264
be,0.3929833769798279,0.22657383978366852,0.13525187969207764,0.34365782141685486,0.3950888514518738,0.26362910866737366,0.3371641933917999,0.6527681946754456,1.0,0.3481820821762085,0.21166473627090454,0.18454892933368683,0.3324260413646698
taught,0.25590506196022034,0.3282313942909241,0.20656506717205048,0.12519900500774384,0.27632656693458557,0.2660760283470154,0.35031798481941223,0.24098177254199982,0.17041322588920593,0.24230356514453888,0.17602355778217316,0.29404792189598083,0.18297621607780457
to,0.455847829580307,0.4452643394470215,0.14556097984313965,0.34494224190711975,0.34598591923713684,0.391953706741333,0.42656609416007996,0.44452130794525146,0.4972836375236511,0.45010748505592346,0.28164729475975037,0.259207159280777,0.29463258385658264
christians,0.302469938993454,0.2556236684322357,0.2539640963077545,0.19565270841121674,0.48127809166908264,0.2612393796443939,0.3645874857902527,0.27943405508995056,0.23037868738174438,0.19406449794769287,0.14893844723701477,0.253726989030838,0.20289786159992218
but,0.5029441118240356,0.49033689498901367,0.1907641887664795,0.502131998538971,0.46961119771003723,0.4257524609565735,0.4487357437610626,0.4225175678730011,0.5764366984367371,0.48674455285072327,0.2699015140533447,0.218040332198143,0.27921953797340393
belonged,0.18275980651378632,0.33463549613952637,0.25566837191581726,0.15630605816841125,0.2246389538049698,0.2607099413871765,0.3168824315071106,0.21803583204746246,0.20912623405456543,0.28068864345550537,0.20168155431747437,0.13977260887622833,0.06871901452541351
only,0.41415658593177795,0.4039593040943146,0.1708996295928955,0.46247926354408264,0.3713480234146118,0.43077903985977173,0.4202229380607605,0.38617733120918274,0.46042704582214355,0.42992329597473145,0.23530980944633484,0.23021554946899414,0.2767370045185089
to,0.455847829580307,0.4452643394470215,0.14556097984313965,0.34494224190711975,0.34598591923713684,0.391953706741333,0.42656609416007996,0.44452130794525146,0.4972836375236511,0.45010748505592346,0.28164729475975037,0.259207159280777,0.29463258385658264
city,0.17493832111358643,0.12266099452972412,0.12680652737617493,0.0936003029346466,0.09352169185876846,0.20384573936462402,0.21073515713214874,0.1093108281493187,0.11616156995296478,0.3911624252796173,0.1916857659816742,0.19742093980312347,0.13423943519592285
hall,0.10849796235561371,0.12469075620174408,0.13755042850971222,0.11579367518424988,0.07650230079889297,0.13343386352062225,0.21594181656837463,0.11678698658943176,0.18754521012306213,0.23692627251148224,0.09578157216310501,0.21391934156417847,0.13520537316799164
.,0.3567904531955719,0.35288307070732117,0.2544858753681183,0.3048499524593353,0.26988279819488525,0.42038556933403015,0.3541337847709656,0.3516756594181061,0.4383580684661865,0.5591574311256409,0.24319837987422943,0.24482665956020355,0.4130953550338745
