,what,did,european,empires,rely,on,to,supply,them,with,resources,?
europe,0.17179538309574127,0.22473940253257751,0.5846181511878967,0.39414599537849426,0.12291202694177628,0.250590980052948,0.24889446794986725,0.21209706366062164,0.25020480155944824,0.27254554629325867,0.22784125804901123,0.18278923630714417
's,0.02692362666130066,0.05069678649306297,0.08902547508478165,0.056196682155132294,0.03161059319972992,0.0026888418942689896,0.03782717138528824,0.0580599308013916,0.025712676346302032,-0.04624466598033905,0.06825657188892365,-0.023395681753754616
expansion,0.2671823799610138,0.1645428091287613,0.24322009086608887,0.35274580121040344,0.19663439691066742,0.14295344054698944,0.2769574522972107,0.27026239037513733,0.21721357107162476,0.17767347395420074,0.3068214952945709,0.18286365270614624
into,0.2180619090795517,0.14888085424900055,0.09915032237768173,0.18499170243740082,0.17862281203269958,0.30585673451423645,0.38810545206069946,0.19616065919399261,0.3445718288421631,0.2912435233592987,0.15285314619541168,0.15662476420402527
territorial,0.21081089973449707,0.0933060422539711,0.19391389191150665,0.31860440969467163,0.16608509421348572,0.18013687431812286,0.2290722280740738,0.2051960825920105,0.195515438914299,0.18444287776947021,0.2642700672149658,0.10118355602025986
imperialism,0.24614648520946503,0.23293417692184448,0.29965823888778687,0.42241477966308594,0.1738753616809845,0.09501302242279053,0.21685542166233063,0.1697552651166916,0.1623985916376114,0.16891896724700928,0.2009645402431488,0.14998586475849152
was,0.22111038863658905,0.41399896144866943,0.22463937103748322,0.2665889263153076,0.11138752102851868,0.3909217119216919,0.3636345863342285,0.1807863563299179,0.23709723353385925,0.27411898970603943,0.14124581217765808,0.18412111699581146
largely,0.25660550594329834,0.16484405100345612,0.1439765989780426,0.3023066222667694,0.3894960880279541,0.26004865765571594,0.24348199367523193,0.30744338035583496,0.2342841625213623,0.20874223113059998,0.3025645315647125,0.08185246586799622
focused,0.2724583148956299,0.2558048367500305,0.14699429273605347,0.18621978163719177,0.4355926811695099,0.36304154992103577,0.26053386926651,0.19388994574546814,0.2465067207813263,0.2734098732471466,0.34185442328453064,0.1578395515680313
on,0.34226128458976746,0.2670976221561432,0.19710737466812134,0.19450223445892334,0.3302572965621948,0.9999999403953552,0.41031414270401,0.22467051446437836,0.30083513259887695,0.40749499201774597,0.24799394607543945,0.2714994251728058
economic,0.18082544207572937,0.14787930250167847,0.3065778911113739,0.3417513966560364,0.2272767275571823,0.20757777988910675,0.26856908202171326,0.3300986886024475,0.1382765769958496,0.21086382865905762,0.3710305690765381,0.1206481084227562
growth,0.1739405393600464,0.09287795424461365,0.12871576845645905,0.2134758085012436,0.26474860310554504,0.11376523971557617,0.2701800763607025,0.3243570923805237,0.20644602179527283,0.1721288114786148,0.2875794768333435,0.07547862827777863
by,0.2455483376979828,0.18574509024620056,0.17922990024089813,0.24326086044311523,0.21513018012046814,0.33887791633605957,0.33534231781959534,0.2198953628540039,0.35830166935920715,0.39731505513191223,0.19408294558525085,0.17966607213020325
collecting,0.3264275789260864,0.18782690167427063,0.11663833260536194,0.22537650167942047,0.29832518100738525,0.24664168059825897,0.23876340687274933,0.29367703199386597,0.3896244168281555,0.23755575716495514,0.37461888790130615,0.1986284703016281
resources,0.24701403081417084,0.19938795268535614,0.18052352964878082,0.30311599373817444,0.38964420557022095,0.24799394607543945,0.3263809382915497,0.4324461817741394,0.3149339258670807,0.21074682474136353,1.0000001192092896,0.26047492027282715
