,who,tackled,ronnie,hillman,for,a,loss,of,yardage,?
first,0.39065709710121155,0.23136617243289948,0.15628159046173096,0.2660890221595764,0.3800288736820221,0.4287874400615692,0.19590212404727936,0.3536086082458496,0.2499212920665741,0.18701928853988647
",",0.3365725874900818,0.24003246426582336,0.27975547313690186,0.3690451383590698,0.4464869201183319,0.427140474319458,0.23328691720962524,0.4946078956127167,0.27261489629745483,0.31091248989105225
linebacker,0.18917565047740936,0.5095818042755127,0.3095255196094513,0.4225291609764099,0.27424296736717224,0.20977157354354858,0.13483092188835144,0.19011981785297394,0.36038053035736084,0.15540370345115662
shaq,0.27999216318130493,0.25120809674263,0.21685028076171875,0.3587183952331543,0.2021106332540512,0.19655653834342957,0.14450591802597046,0.12354901432991028,0.33296242356300354,0.1728670746088028
thompson,0.2874908745288849,0.27399444580078125,0.2933022677898407,0.45567068457603455,0.20878981053829193,0.21704883873462677,0.14264324307441711,0.2079605907201767,0.2666659653186798,0.1904636025428772
tackled,0.2225686013698578,0.9999998807907104,0.2245064526796341,0.25063252449035645,0.28696534037590027,0.18400587141513824,0.2668168544769287,0.20638109743595123,0.36629846692085266,0.20976905524730682
ronnie,0.21505141258239746,0.2245064526796341,0.9999999403953552,0.3863174021244049,0.17340874671936035,0.14688855409622192,0.0859747976064682,0.18495400249958038,0.2606946527957916,0.059459373354911804
hillman,0.27239322662353516,0.25063252449035645,0.3863174021244049,1.0000001192092896,0.26300349831581116,0.20543454587459564,0.2013714611530304,0.23110589385032654,0.31129080057144165,0.1580796241760254
for,0.37110671401023865,0.28696534037590027,0.17340874671936035,0.26300349831581116,0.9999999403953552,0.44038116931915283,0.24238932132720947,0.4185989499092102,0.19940955936908722,0.264628142118454
a,0.36608949303627014,0.18400587141513824,0.14688855409622192,0.20543454587459564,0.44038116931915283,1.0,0.20714472234249115,0.5052502155303955,0.30377957224845886,0.23916715383529663
3-yard,0.26753053069114685,0.31147781014442444,0.329701691865921,0.355204701423645,0.22864043712615967,0.2690424919128418,0.16414180397987366,0.20595039427280426,0.5397676825523376,0.10416531562805176
loss,0.10800512880086899,0.2668168544769287,0.0859747976064682,0.2013714611530304,0.24238932132720947,0.20714472234249115,0.9999999403953552,0.26357072591781616,0.20283032953739166,0.1312553584575653
.,0.3541337847709656,0.21555671095848083,0.23394562304019928,0.3146742582321167,0.4726039469242096,0.50484299659729,0.21266451478004456,0.5352458953857422,0.21940027177333832,0.4130953550338745
