,what,is,the,name,brand,of,the,personal,video,recorder,that,bskyb,offers,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.30142447352409363,0.1609838902950287,0.45148900151252747,0.6274310946464539,0.2696676552295685,0.21849198639392853,0.2825334072113037,0.6909449696540833,0.22351965308189392,0.18357422947883606,0.3155723512172699
extends,0.19643902778625488,0.36938562989234924,0.39314064383506775,0.09006991982460022,0.1278233379125595,0.3704025447368622,0.39314064383506775,0.07730235904455185,0.02648422122001648,0.05272649601101875,0.2665335536003113,0.1136603131890297,0.2642538249492645,0.1020013764500618
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.2430490255355835,0.41548454761505127,0.535392165184021,0.2410377562046051,0.18658137321472168,0.2856263816356659,0.5436353087425232,0.16040074825286865,0.31165173649787903,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.18590734899044037,0.733189046382904,1.0,0.19990217685699463,0.2506899833679199,0.23995575308799744,0.5473989248275757,0.20915858447551727,0.21389935910701752,0.22068053483963013
personal,0.3188508450984955,0.11115145683288574,0.19990217685699463,0.14375202357769012,0.185421884059906,0.26268208026885986,0.19990217685699463,1.0,0.2640334963798523,0.2246338278055191,0.30729931592941284,0.20031477510929108,0.21014003455638885,0.206199511885643
video,0.1880173683166504,0.19670651853084564,0.2506899833679199,0.13122066855430603,0.18315507471561432,0.20452004671096802,0.2506899833679199,0.2640334963798523,0.9999999403953552,0.3483654260635376,0.2561377286911011,0.19804003834724426,0.22193005681037903,0.22771678864955902
recorder,0.22213393449783325,0.2149929702281952,0.23995575308799744,0.10995306819677353,0.13697409629821777,0.17200689017772675,0.23995575308799744,0.2246338278055191,0.3483654260635376,0.9999998807907104,0.2831558883190155,0.24218712747097015,0.164274200797081,0.18118302524089813
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.10116463899612427,0.35032153129577637,0.33289089798927307,0.1802005022764206,0.17849121987819672,0.16461332142353058,0.2264307141304016,0.3475780487060547,0.11554626375436783,0.40561532974243164
pvr,0.21606573462486267,0.23936067521572113,0.19197207689285278,0.09475080668926239,0.23871585726737976,0.20177023112773895,0.19197207689285278,0.2734955847263336,0.35506370663642883,0.31338605284690857,0.20266830921173096,0.3446100354194641,0.23318834602832794,0.30090779066085815
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.2638341188430786,0.09025644510984421,0.3680361211299896,0.3456730246543884,0.19470667839050293,0.19114303588867188,0.18678630888462067,0.23478686809539795,0.3711942136287689,0.13866782188415527,0.42300865054130554
offering,0.24005436897277832,0.16401077806949615,0.2296384871006012,0.09039480984210968,0.2615772485733032,0.21607820689678192,0.2296384871006012,0.2835434675216675,0.16335397958755493,0.2173537164926529,0.34142544865608215,0.16237151622772217,0.628031313419342,0.15441901981830597
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.10116463899612427,0.35032153129577637,0.33289089798927307,0.1802005022764206,0.17849121987819672,0.16461332142353058,0.2264307141304016,0.3475780487060547,0.11554626375436783,0.40561532974243164
branded,0.15654347836971283,0.1278757005929947,0.21853436529636383,0.252493679523468,0.7160673141479492,0.17310917377471924,0.21853436529636383,0.19783782958984375,0.22471971809864044,0.09409673511981964,0.1895422339439392,0.17872868478298187,0.2571065425872803,0.13869881629943848
sky+,0.12067124247550964,0.210584819316864,0.2895233631134033,0.15496915578842163,0.26566845178604126,0.1877743899822235,0.2895233631134033,0.13542309403419495,0.3117361068725586,0.23241442441940308,0.20177006721496582,0.41069135069847107,0.2569274604320526,0.13872939348220825
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.2638341188430786,0.09025644510984421,0.3680361211299896,0.3456730246543884,0.19470667839050293,0.19114303588867188,0.18678630888462067,0.23478686809539795,0.3711942136287689,0.13866782188415527,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.1755143702030182,0.5352458953857422,0.5934505462646484,0.2188207507133484,0.23863497376441956,0.2506633400917053,0.4460422694683075,0.2844841778278351,0.1635449081659317,0.4130953550338745
