,what,cultural,festival,is,the,sama,festival,?
the,0.42745697498321533,0.23337452113628387,0.20982226729393005,0.5823672413825989,1.0,0.18042559921741486,0.20982226729393005,0.22068053483963013
sama,0.19201429188251495,0.19694766402244568,0.1943797767162323,0.1289331167936325,0.18042559921741486,1.0,0.1943797767162323,0.14096273481845856
festival,0.15385980904102325,0.20146995782852173,0.9999999403953552,0.1853252649307251,0.20982226729393005,0.1943797767162323,0.9999999403953552,0.17767390608787537
",",0.3087472915649414,0.24125681817531586,0.25094273686408997,0.4691906273365021,0.4933079481124878,0.1336459517478943,0.25094273686408997,0.31091248989105225
an,0.2821882665157318,0.14176417887210846,0.14465829730033875,0.4654068350791931,0.4207492768764496,0.1091696172952652,0.14465829730033875,0.19793890416622162
east,0.19840149581432343,0.1923367977142334,0.18793387711048126,0.2596127688884735,0.3383176326751709,0.17363829910755157,0.18793387711048126,0.10070597380399704
asian,0.06828422844409943,0.2382868230342865,0.1786838322877884,0.17223115265369415,0.2710895538330078,0.23962439596652985,0.1786838322877884,0.10526347905397415
cultural,0.18198847770690918,0.9999999403953552,0.20146995782852173,0.1658732146024704,0.23337452113628387,0.19694766402244568,0.20146995782852173,0.09798457473516464
festival,0.15385980904102325,0.20146995782852173,0.9999999403953552,0.1853252649307251,0.20982226729393005,0.1943797767162323,0.9999999403953552,0.17767390608787537
is,0.28837618231773376,0.1658732146024704,0.1853252649307251,1.0,0.5823672413825989,0.1289331167936325,0.1853252649307251,0.22961433231830597
also,0.42747777700424194,0.21377404034137726,0.19729018211364746,0.5012649297714233,0.6021018624305725,0.17273035645484924,0.19729018211364746,0.21848613023757935
held,0.0974166989326477,0.22194422781467438,0.3763343393802643,0.19884860515594482,0.32185450196266174,0.1174386516213417,0.3763343393802643,0.14103956520557404
in,0.30808621644973755,0.2409708946943283,0.27311140298843384,0.5394441485404968,0.6662389636039734,0.11325373500585556,0.27311140298843384,0.20430970191955566
early,0.2454567849636078,0.19017213582992554,0.18555600941181183,0.18880519270896912,0.34442198276519775,0.12882477045059204,0.18555600941181183,0.15272949635982513
october,0.24927909672260284,0.15655826032161713,0.14442837238311768,0.24397309124469757,0.2621108889579773,0.10845605283975601,0.14442837238311768,0.29706719517707825
.,0.3567904531955719,0.18655544519424438,0.16963402926921844,0.4569662809371948,0.5934505462646484,0.12680022418498993,0.16963402926921844,0.4130953550338745
