,who,decide,to,make,a,very,large,donation,to,the,university,'s,booth,school,of,business,?
during,0.30551859736442566,0.2121889889240265,0.2828781306743622,0.25281280279159546,0.30341604351997375,0.2775425314903259,0.218748077750206,0.19614604115486145,0.2828781306743622,0.4838213622570038,0.17872242629528046,0.011294117197394371,0.23642729222774506,0.16465038061141968,0.3869180977344513,0.21658463776111603,0.1325719803571701
the,0.3733934462070465,0.35331496596336365,0.535392165184021,0.3146495521068573,0.5829201340675354,0.34171217679977417,0.3828733265399933,0.2916262447834015,0.535392165184021,1.0,0.263973206281662,-0.01540423184633255,0.2461899220943451,0.22953221201896667,0.733189046382904,0.2389037162065506,0.22068053483963013
same,0.26448050141334534,0.29333677887916565,0.3205692768096924,0.30218711495399475,0.4048157036304474,0.2653089761734009,0.23870788514614105,0.1987643837928772,0.3205692768096924,0.4583131968975067,0.1594729870557785,0.0036877936217933893,0.16592873632907867,0.1699296087026596,0.3808329105377197,0.18394973874092102,0.22649677097797394
year,0.2851492762565613,0.20908881723880768,0.23523004353046417,0.12837903201580048,0.29350247979164124,0.1772192120552063,0.12452022731304169,0.26826128363609314,0.23523004353046417,0.3609684407711029,0.15213046967983246,-0.04087831452488899,0.1543876826763153,0.2321801781654358,0.2578314542770386,0.19714154303073883,0.18315006792545319
",",0.3365725874900818,0.24334396421909332,0.44245919585227966,0.324553906917572,0.427140474319458,0.34709087014198303,0.2263888567686081,0.24328263103961945,0.44245919585227966,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.2501300275325775,0.27141863107681274,0.4946078956127167,0.2952407896518707,0.31091248989105225
investor,0.22501710057258606,0.2580198645591736,0.2057569921016693,0.2008185088634491,0.2621515095233917,0.10324971377849579,0.16984854638576508,0.35713598132133484,0.2057569921016693,0.17317354679107666,0.2262452244758606,0.0561932809650898,0.19429485499858856,0.15850767493247986,0.16635233163833618,0.4782971441745758,0.16433392465114594
david,0.26544609665870667,0.14913968741893768,0.10776355117559433,0.1715676188468933,0.19156141579151154,0.12574368715286255,0.12884238362312317,0.15331844985485077,0.10776355117559433,0.2237231284379959,0.23181812465190887,-0.00819597952067852,0.26846668124198914,0.13354791700839996,0.191870778799057,0.11238805949687958,0.04158485680818558
g.,-0.00515803974121809,0.09251454472541809,-0.017186414450407028,-0.028627634048461914,0.031199779361486435,-0.02698448672890663,0.01641065813601017,0.09994672983884811,-0.017186414450407028,0.09283412992954254,0.14791618287563324,0.04444437101483345,0.08689621090888977,-0.010413062758743763,0.08489017188549042,0.05526383966207504,0.1585112065076828
booth,0.33375662565231323,0.23508259654045105,0.23336797952651978,0.1443081647157669,0.24722598493099213,0.13443425297737122,0.18207338452339172,0.24902601540088654,0.23336797952651978,0.2461899220943451,0.19056181609630585,0.03848238289356232,1.0000001192092896,0.20256754755973816,0.18579788506031036,0.28439658880233765,0.12951403856277466
donated,0.21087589859962463,0.13305453956127167,0.25148287415504456,0.17856678366661072,0.25708192586898804,0.2243494689464569,0.25674912333488464,0.6701980829238892,0.25148287415504456,0.24606364965438843,0.2528834939002991,-0.09636961668729782,0.14535783231258392,0.17902250587940216,0.27521181106567383,0.28400903940200806,0.10052662342786789
$,0.14688296616077423,0.22218956053256989,0.22282108664512634,0.23249474167823792,0.22939236462116241,0.10103262215852737,0.16458646953105927,0.3970682621002197,0.22282108664512634,0.23367542028427124,0.18970860540866852,0.03734852001070976,0.2006044238805771,0.18588410317897797,0.11268499493598938,0.27654585242271423,0.2786129117012024
300,-0.055552978068590164,-0.07131841778755188,-0.074339859187603,-0.08133435994386673,-0.059995848685503006,-0.022630535066127777,0.031886275857686996,-0.042660776525735855,-0.074339859187603,-0.07017405331134796,0.005038396921008825,-0.018622811883687973,0.06891780346632004,0.0008713242714293301,-0.04760007932782173,0.09616488218307495,-0.06213558092713356
million,0.20240086317062378,0.1212124451994896,0.22033339738845825,0.16034354269504547,0.1811940222978592,0.1507914960384369,0.27548885345458984,0.32125088572502136,0.22033339738845825,0.277012437582016,0.17569899559020996,0.05079329386353493,0.11909356713294983,0.10483641177415848,0.21686489880084991,0.19627469778060913,0.23092924058437347
to,0.42656609416007996,0.4438391625881195,1.0,0.497876912355423,0.45503583550453186,0.3902553617954254,0.3150999844074249,0.32586413621902466,1.0,0.535392165184021,0.20192374289035797,0.03782717138528824,0.23336797952651978,0.24496325850486755,0.41548454761505127,0.28079214692115784,0.29463258385658264
the,0.3733934462070465,0.35331496596336365,0.535392165184021,0.3146495521068573,0.5829201340675354,0.34171217679977417,0.3828733265399933,0.2916262447834015,0.535392165184021,1.0,0.263973206281662,-0.01540423184633255,0.2461899220943451,0.22953221201896667,0.733189046382904,0.2389037162065506,0.22068053483963013
