,who,wrote,of,the,savery,water,pump,in,1751,'s,philosophical,transactions,?
bento,0.131363645195961,0.18949735164642334,0.1819118857383728,0.21964523196220398,0.21846508979797363,0.19983060657978058,0.08827877789735794,0.20338843762874603,-0.03744268789887428,-0.04286736249923706,0.18683266639709473,0.13011758029460907,0.26757097244262695
de,0.18189555406570435,0.21141809225082397,0.26292696595191956,0.23491892218589783,0.22408315539360046,0.10574663430452347,0.08988238126039505,0.24818959832191467,0.2896633446216583,0.018396059051156044,0.1471075713634491,0.20411451160907745,0.11064168810844421
moura,0.13300937414169312,0.06090175732970238,0.22128702700138092,0.18515045940876007,0.2125544548034668,0.09113920480012894,0.05258479714393616,0.16249671578407288,0.14448542892932892,0.04955436661839485,0.07461004704236984,0.043646734207868576,0.11719008535146713
portugal,0.14586950838565826,0.10489996522665024,0.23237262666225433,0.2186722755432129,0.2023114413022995,0.1530432552099228,0.10188889503479004,0.18593156337738037,0.05545155704021454,0.016877073794603348,0.08616004139184952,0.07799547910690308,0.20750629901885986
introduced,0.18349657952785492,0.2371538281440735,0.23328952491283417,0.242969810962677,0.16966553032398224,0.1314430832862854,0.13862596452236176,0.2614979147911072,-0.003720978507772088,-0.07158663123846054,0.19013839960098267,0.20579580962657928,0.16386865079402924
an,0.2848317325115204,0.1916314959526062,0.32280945777893066,0.4207492768764496,0.3480273187160492,0.19103862345218658,0.1465771496295929,0.2605783939361572,0.03992161154747009,0.025255560874938965,0.19435417652130127,0.17466166615486145,0.19793890416622162
ingenious,0.28669705986976624,0.18047398328781128,0.2807912826538086,0.24095971882343292,0.25748926401138306,0.3417249023914337,0.2431688904762268,0.24038949608802795,0.10059940069913864,0.04138055071234703,0.33306264877319336,0.2110636681318283,0.20049968361854553
improvement,0.1683027446269989,0.18854054808616638,0.24460411071777344,0.2938322424888611,0.3547031283378601,0.2312731295824051,0.2564621865749359,0.25706639885902405,0.07880343496799469,0.030988195911049843,0.2355826497077942,0.2892093062400818,0.29089033603668213
of,0.2827862501144409,0.30241408944129944,1.0,0.733189046382904,0.3800363540649414,0.2741255462169647,0.11486294865608215,0.5696388483047485,0.048281583935022354,-0.03817026689648628,0.2655055820941925,0.265135258436203,0.1826142966747284
savery,0.25712963938713074,0.22346891462802887,0.3800363540649414,0.3600737154483795,0.9999999403953552,0.1931677907705307,0.16597431898117065,0.3151136636734009,0.2312098741531372,-0.013488960452377796,0.24648137390613556,0.3505069315433502,0.2684193551540375
's,0.05599616840481758,0.07554080337285995,-0.03817026689648628,-0.01540423184633255,-0.013488960452377796,0.06513497978448868,0.0777183473110199,-0.037580832839012146,-0.012707240879535675,0.9999999403953552,-0.00781565997749567,0.00491362577304244,-0.023395681753754616
construction,0.08125896006822586,0.10942010581493378,0.2815735340118408,0.2671978175640106,0.29225534200668335,0.20168589055538177,0.21310696005821228,0.3031303882598877,-0.009848406538367271,0.04049986973404884,0.17323841154575348,0.31474918127059937,0.13494056463241577
``,0.02397952415049076,0.0734158530831337,0.06780257821083069,0.029072100296616554,0.029130490496754646,0.021624350920319557,0.009704272262752056,0.04765888676047325,0.1506349891424179,-0.03416389226913452,0.07286209613084793,-0.032172154635190964,0.0685480609536171
to,0.42656609416007996,0.18888387084007263,0.41548454761505127,0.535392165184021,0.3144424557685852,0.27858173847198486,0.20793113112449646,0.45010748505592346,0.056362736970186234,0.03782717138528824,0.23708301782608032,0.21254438161849976,0.29463258385658264
render,0.10933578759431839,0.07873315364122391,0.1649666726589203,0.23124311864376068,0.25134357810020447,0.1512565016746521,0.18368420004844666,0.1608928143978119,0.025797361508011818,-0.011675628833472729,0.19975195825099945,0.2473708689212799,0.17435836791992188
it,0.2868398427963257,0.193796768784523,0.38761502504348755,0.6251175999641418,0.2604047954082489,0.31979092955589294,0.25619766116142273,0.5130809545516968,0.09577509760856628,0.06608816236257553,0.2121943235397339,0.16266191005706787,0.25732165575027466
capable,0.18149545788764954,0.08671549707651138,0.21464630961418152,0.18860051035881042,0.2236485630273819,0.20088818669319153,0.21596963703632355,0.13216491043567657,-0.041060954332351685,0.003292308421805501,0.09477706998586655,0.19281166791915894,0.18388573825359344
of,0.2827862501144409,0.30241408944129944,1.0,0.733189046382904,0.3800363540649414,0.2741255462169647,0.11486294865608215,0.5696388483047485,0.048281583935022354,-0.03817026689648628,0.2655055820941925,0.265135258436203,0.1826142966747284
working,0.32452359795570374,0.25319090485572815,0.19986772537231445,0.25857484340667725,0.21839377284049988,0.17502498626708984,0.20175422728061676,0.3062970042228699,0.09754464030265808,-0.0629357099533081,0.12644653022289276,0.22809045016765594,0.17154020071029663
itself,0.1538408249616623,0.12791240215301514,0.3157202899456024,0.45971640944480896,0.2669963240623474,0.23678863048553467,0.25128671526908875,0.28042417764663696,0.02279938943684101,-0.024358876049518585,0.23841172456741333,0.23426592350006104,0.17933900654315948
'',0.024401003494858742,0.019677795469760895,0.13035868108272552,0.041273195296525955,-0.04373202100396156,-0.06721995025873184,0.024691782891750336,0.07432962208986282,0.0039029119070619345,-0.04859459400177002,-0.002991857472807169,0.003249832894653082,0.018684765323996544
",",0.3365725874900818,0.27225261926651,0.4946078956127167,0.4933079481124878,0.3071451485157013,0.26706066727638245,0.22363486886024475,0.5201468467712402,0.19808758795261383,-0.0016132977325469255,0.2507254481315613,0.2673637270927429,0.31091248989105225
as,0.3923053741455078,0.19762034714221954,0.3886612355709076,0.48381632566452026,0.30690765380859375,0.21305090188980103,0.14541757106781006,0.3887844979763031,0.06300722807645798,-0.05775856226682663,0.25284242630004883,0.2148038148880005,0.27043893933296204
described,0.24653644859790802,0.41878265142440796,0.297532320022583,0.2878154516220093,0.23759597539901733,0.17796723544597626,0.16021932661533356,0.28813880681991577,0.02322370745241642,-0.013899330981075764,0.33922040462493896,0.22770719230175018,0.1374269425868988
