,what,is,gravitational,acceleration,proportional,to,?
further,0.30867868661880493,0.13372796773910522,0.2353024184703827,0.2355756312608719,0.2560665011405945,0.4001762866973877,0.20960763096809387
",",0.3087472915649414,0.4691906273365021,0.1856740117073059,0.22419989109039307,0.23957675695419312,0.44245919585227966,0.31091248989105225
newton,0.20841743052005768,0.21921560168266296,0.4275529086589813,0.39437049627304077,0.2658749222755432,0.2176830768585205,0.09645649790763855
realized,0.3459920883178711,0.166122168302536,0.27128341794013977,0.21902069449424744,0.2269260585308075,0.2838866412639618,0.15594157576560974
that,0.6297725439071655,0.3995479643344879,0.34323108196258545,0.31081846356391907,0.29734769463539124,0.5436353087425232,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,0.2145237773656845,0.29868006706237793,0.31065797805786133,0.535392165184021,0.22068053483963013
acceleration,0.2983599901199341,0.21391066908836365,0.6247795224189758,1.0,0.4016127586364746,0.2787705063819885,0.16905567049980164
due,0.15204688906669617,0.24065633118152618,0.2851541042327881,0.27721258997917175,0.2745072841644287,0.35188060998916626,0.10954997688531876
to,0.455847829580307,0.42745086550712585,0.26134511828422546,0.2787705063819885,0.31183287501335144,1.0,0.29463258385658264
gravity,0.259439080953598,0.2301630824804306,0.7996476888656616,0.5664060115814209,0.3260152041912079,0.23946231603622437,0.18354056775569916
is,0.28837618231773376,1.0,0.20917914807796478,0.21391066908836365,0.2985236644744873,0.42745086550712585,0.22961433231830597
proportional,0.21258501708507538,0.2985236644744873,0.4974253475666046,0.4016127586364746,0.9999998807907104,0.31183287501335144,0.150908961892128
to,0.455847829580307,0.42745086550712585,0.26134511828422546,0.2787705063819885,0.31183287501335144,1.0,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.2145237773656845,0.29868006706237793,0.31065797805786133,0.535392165184021,0.22068053483963013
mass,0.23905135691165924,0.21063528954982758,0.4995284080505371,0.44826188683509827,0.33392611145973206,0.20907121896743774,0.2076406031847
of,0.33290785551071167,0.4854315221309662,0.23920997977256775,0.27446165680885315,0.3755289316177368,0.41548454761505127,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.2145237773656845,0.29868006706237793,0.31065797805786133,0.535392165184021,0.22068053483963013
attracting,0.19777211546897888,0.2597031593322754,0.32420092821121216,0.26692554354667664,0.2460480034351349,0.29207465052604675,0.10183928906917572
body,0.2143840193748474,0.2790417969226837,0.2925293743610382,0.28999391198158264,0.28335240483283997,0.307265043258667,0.20136451721191406
.,0.3567904531955719,0.4569662809371948,0.20984730124473572,0.23019209504127502,0.27556005120277405,0.4645031690597534,0.4130953550338745
