,who,described,a,steam,turbine,in,1629,?
a,0.36608949303627014,0.25473126769065857,1.0,0.2141898274421692,0.23364008963108063,0.539380669593811,0.2998413145542145,0.23916715383529663
rudimentary,0.2270260751247406,0.3037359118461609,0.2511323094367981,0.19688716530799866,0.2040015608072281,0.23854610323905945,0.24235981702804565,0.18648070096969604
steam,0.1786653995513916,0.19199030101299286,0.2141898274421692,1.0000001192092896,0.5301763415336609,0.19852672517299652,0.20290851593017578,0.113324373960495
turbine,0.145238995552063,0.1015755906701088,0.23364008963108063,0.5301763415336609,1.0000001192092896,0.19420358538627625,0.21137309074401855,0.16315746307373047
device,0.21790750324726105,0.15467871725559235,0.3107774555683136,0.37581905722618103,0.39048242568969727,0.16225403547286987,0.18119065463542938,0.09819377958774567
was,0.3318818509578705,0.2883506715297699,0.4508470594882965,0.16913670301437378,0.17515672743320465,0.45514053106307983,0.2461477518081665,0.18412111699581146
described,0.24653644859790802,0.9999999403953552,0.25473126769065857,0.19199030101299286,0.1015755906701088,0.28813880681991577,0.20795410871505737,0.1374269425868988
by,0.39727845788002014,0.28709930181503296,0.32094135880470276,0.18134352564811707,0.22006140649318695,0.370934396982193,0.1778012216091156,0.17966607213020325
taqi,0.3191995322704315,0.19240374863147736,0.28979071974754333,0.10094112902879715,0.12405984848737717,0.2523145079612732,0.23849156498908997,0.2231905609369278
al-din,0.3655371367931366,0.08729370683431625,0.231337770819664,0.12437205016613007,0.1333811730146408,0.1995939165353775,0.23361454904079437,0.2989424467086792
in,0.2792111933231354,0.28813880681991577,0.539380669593811,0.19852672517299652,0.19420358538627625,1.0,0.26086974143981934,0.20430970191955566
1551,-0.030606763437390327,-0.027623962610960007,0.12474184483289719,0.1743638515472412,0.20906594395637512,0.09549034386873245,-0.00680541293695569,-0.05937856808304787
and,0.41279885172843933,0.2681671977043152,0.3739250600337982,0.24133789539337158,0.21497632563114166,0.4954058527946472,0.24319377541542053,0.20544172823429108
by,0.39727845788002014,0.28709930181503296,0.32094135880470276,0.18134352564811707,0.22006140649318695,0.370934396982193,0.1778012216091156,0.17966607213020325
giovanni,0.2912859320640564,0.10709193348884583,0.17958615720272064,0.12095033377408981,0.1711469292640686,0.15815386176109314,0.21581219136714935,0.13561689853668213
branca,0.1614042967557907,0.01701773703098297,0.14797841012477875,0.07543209195137024,0.10038155317306519,0.12712286412715912,0.18615154922008514,0.13247643411159515
in,0.2792111933231354,0.28813880681991577,0.539380669593811,0.19852672517299652,0.19420358538627625,1.0,0.26086974143981934,0.20430970191955566
1629,0.18502169847488403,0.20795410871505737,0.2998413145542145,0.20290851593017578,0.21137309074401855,0.26086974143981934,1.0000001192092896,0.23148755729198456
.,0.3541337847709656,0.21733810007572174,0.50484299659729,0.22855372726917267,0.22899852693080902,0.5591574311256409,0.29677847027778625,0.4130953550338745
