,along,with,electric,motors,",",what,type,of,engines,superseded,piston,steam,engines,?
reciprocating,0.18021881580352783,0.33139467239379883,0.30486777424812317,0.35149452090263367,0.2677263617515564,0.3255842924118042,0.304313600063324,0.27445268630981445,0.3725995421409607,0.28677818179130554,0.4374397397041321,0.2718157172203064,0.3725995421409607,0.2616906762123108
piston,0.09953784197568893,0.20083224773406982,0.29808443784713745,0.37302228808403015,0.20961400866508484,0.13301563262939453,0.1932917833328247,0.15260520577430725,0.457582950592041,0.20971941947937012,1.0000001192092896,0.3801049590110779,0.457582950592041,0.17207856476306915
type,0.054106924682855606,0.1964726597070694,0.19005827605724335,0.14483754336833954,0.1804078221321106,0.2722663879394531,1.0000001192092896,0.18112817406654358,0.14994610846042633,0.22508233785629272,0.1932917833328247,0.2094206064939499,0.14994610846042633,0.17536182701587677
steam,0.22119560837745667,0.21801024675369263,0.3633075952529907,0.3802523612976074,0.2264556586742401,0.15672586858272552,0.2094206064939499,0.20239725708961487,0.4903687536716461,0.2447795420885086,0.3801049590110779,1.0000001192092896,0.4903687536716461,0.113324373960495
engines,0.10451225191354752,0.21779674291610718,0.27716219425201416,0.4789537489414215,0.20245449244976044,0.1634974628686905,0.14994610846042633,0.17593856155872345,1.0000001192092896,0.29901352524757385,0.457582950592041,0.4903687536716461,1.0000001192092896,0.18940703570842743
remained,0.20034240186214447,0.25786063075065613,0.11026088893413544,0.1581348329782486,0.23734888434410095,0.1733817607164383,0.04520195722579956,0.35287612676620483,0.17769627273082733,0.24107816815376282,0.15290430188179016,0.2021377831697464,0.17769627273082733,0.08263323456048965
the,0.39495137333869934,0.4223487675189972,0.21345196664333344,0.16861771047115326,0.4933079481124878,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2245008647441864,0.3013758063316345,0.22337445616722107,0.23105813562870026,0.2245008647441864,0.22068053483963013
dominant,0.13203708827495575,0.21302339434623718,0.1052568107843399,0.1259896159172058,0.23045329749584198,0.21783894300460815,0.21512246131896973,0.3018357455730438,0.1701275259256363,0.2963125705718994,0.1396138221025467,0.18495407700538635,0.1701275259256363,0.07625212520360947
source,0.13185645639896393,0.16254369914531708,0.18051189184188843,0.10825450718402863,0.2657822072505951,0.2553733289241791,0.19904370605945587,0.18598204851150513,0.2280399650335312,0.21592895686626434,0.21584348380565643,0.190715953707695,0.2280399650335312,0.2462312877178192
of,0.34889817237854004,0.41827285289764404,0.17329032719135284,0.17503497004508972,0.4946078956127167,0.33290785551071167,0.18112817406654358,1.0,0.17593856155872345,0.22988389432430267,0.15260520577430725,0.20239725708961487,0.17593856155872345,0.1826142966747284
power,0.19456323981285095,0.20798128843307495,0.34122735261917114,0.3177069425582886,0.2231994867324829,0.22216427326202393,0.09106644988059998,0.25273123383522034,0.3073769509792328,0.1517583578824997,0.2695995271205902,0.35972869396209717,0.3073769509792328,0.15304024517536163
until,0.17785710096359253,0.25182005763053894,0.14820946753025055,0.14973442256450653,0.2947838604450226,0.2693650424480438,0.08382980525493622,0.2787701487541199,0.19401630759239197,0.19064371287822723,0.1692977249622345,0.19970092177391052,0.19401630759239197,0.20304496586322784
the,0.39495137333869934,0.4223487675189972,0.21345196664333344,0.16861771047115326,0.4933079481124878,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2245008647441864,0.3013758063316345,0.22337445616722107,0.23105813562870026,0.2245008647441864,0.22068053483963013
early,0.17541852593421936,0.23919914662837982,0.1870424598455429,0.14420484006404877,0.3022546172142029,0.2454567849636078,0.24463579058647156,0.30937549471855164,0.16853192448616028,0.2074277400970459,0.11000100523233414,0.24322280287742615,0.16853192448616028,0.15272949635982513
