,prior,to,the,arrival,of,the,french,",",the,area,now,known,as,jacksonville,was,previously,inhabited,by,what,people,?
the,0.33782097697257996,0.535392165184021,1.0,0.3051127791404724,0.733189046382904,1.0,0.2555147111415863,0.4933079481124878,1.0,0.37834644317626953,0.38266420364379883,0.3624623417854309,0.48381632566452026,0.2176690250635147,0.48711544275283813,0.33854439854621887,0.2579440772533417,0.4408751428127289,0.42745697498321533,0.36838498711586,0.22068053483963013
area,0.13227812945842743,0.2797197997570038,0.37834644317626953,0.297264039516449,0.3409860134124756,0.37834644317626953,0.09145350754261017,0.2664283812046051,0.37834644317626953,1.0,0.29446619749069214,0.17146120965480804,0.2407972663640976,0.24562028050422668,0.24981513619422913,0.1655423641204834,0.46879640221595764,0.22557134926319122,0.21965408325195312,0.37957796454429626,0.12640461325645447
was,0.29096508026123047,0.3636345863342285,0.48711544275283813,0.27318477630615234,0.4069072902202606,0.48711544275283813,0.2523815333843231,0.45456063747406006,0.48711544275283813,0.24981513619422913,0.35876134037971497,0.35203275084495544,0.3677520453929901,0.2742757201194763,1.0000001192092896,0.41197097301483154,0.20658372342586517,0.4752357602119446,0.22111038863658905,0.2518421411514282,0.18412111699581146
originally,0.18902607262134552,0.30024412274360657,0.36820849776268005,0.2640863358974457,0.21349623799324036,0.36820849776268005,0.21156787872314453,0.2660219669342041,0.36820849776268005,0.2142016440629959,0.3733364939689636,0.2954530119895935,0.31636640429496765,0.17653244733810425,0.5204543471336365,0.4331294298171997,0.2701512277126312,0.4076972007751465,0.2645323872566223,0.16846616566181183,0.07821967452764511
inhabited,0.16552937030792236,0.16439083218574524,0.2579440772533417,0.33595409989356995,0.2573133707046509,0.2579440772533417,0.13204921782016754,0.19752568006515503,0.2579440772533417,0.46879640221595764,0.2514741122722626,0.1802661269903183,0.1743161827325821,0.07520169019699097,0.20658372342586517,0.23924097418785095,1.0,0.18035142123699188,0.176266148686409,0.23305754363536835,0.12792479991912842
by,0.2645944356918335,0.33534231781959534,0.4408751428127289,0.27763769030570984,0.3646814823150635,0.4408751428127289,0.23343317210674286,0.3680937886238098,0.4408751428127289,0.22557134926319122,0.20949482917785645,0.24461808800697327,0.3815547823905945,0.15927588939666748,0.4752357602119446,0.29680147767066956,0.18035142123699188,1.0000001192092896,0.2455483376979828,0.20350977778434753,0.17966607213020325
the,0.33782097697257996,0.535392165184021,1.0,0.3051127791404724,0.733189046382904,1.0,0.2555147111415863,0.4933079481124878,1.0,0.37834644317626953,0.38266420364379883,0.3624623417854309,0.48381632566452026,0.2176690250635147,0.48711544275283813,0.33854439854621887,0.2579440772533417,0.4408751428127289,0.42745697498321533,0.36838498711586,0.22068053483963013
timucua,0.18249154090881348,0.3303799033164978,0.3038891851902008,0.22661155462265015,0.26550596952438354,0.3038891851902008,0.19591087102890015,0.30221477150917053,0.3038891851902008,0.27029111981391907,0.23995868861675262,0.20873302221298218,0.2261190563440323,0.2620309293270111,0.21564018726348877,0.20811183750629425,0.2373601496219635,0.26472195982933044,0.29614773392677307,0.30091944336891174,0.2524978220462799
people,0.16449236869812012,0.37275731563568115,0.36838498711586,0.18654821813106537,0.3251037895679474,0.36838498711586,0.16166198253631592,0.36644625663757324,0.36838498711586,0.37957796454429626,0.25494474172592163,0.13246847689151764,0.15704652667045593,0.19936339557170868,0.2518421411514282,0.15965427458286285,0.23305754363536835,0.20350977778434753,0.32444337010383606,1.0000001192092896,0.23739641904830933
",",0.27105793356895447,0.44245919585227966,0.4933079481124878,0.20957639813423157,0.4946078956127167,0.4933079481124878,0.28806620836257935,1.0000001192092896,0.4933079481124878,0.2664283812046051,0.43216821551322937,0.3604377806186676,0.48816442489624023,0.2837527096271515,0.45456063747406006,0.3206103444099426,0.19752568006515503,0.3680937886238098,0.3087472915649414,0.36644625663757324,0.31091248989105225
and,0.2185291349887848,0.48971283435821533,0.5171257257461548,0.21712444722652435,0.5116966962814331,0.5171257257461548,0.32751965522766113,0.6633074283599854,0.5171257257461548,0.3044000566005707,0.35309651494026184,0.3468935489654541,0.49487000703811646,0.2603762745857239,0.3740963041782379,0.28226712346076965,0.2035047560930252,0.4289871156215668,0.31309178471565247,0.3016039729118347,0.20544172823429108
in,0.24521231651306152,0.45010748505592346,0.6662389636039734,0.2351498007774353,0.5696388483047485,0.6662389636039734,0.22093388438224792,0.5201468467712402,0.6662389636039734,0.33632898330688477,0.3619694113731384,0.32641831040382385,0.3887844979763031,0.22147351503372192,0.45514053106307983,0.2762584090232849,0.23996128141880035,0.370934396982193,0.30808621644973755,0.39605680108070374,0.20430970191955566
1564,0.08814354985952377,0.016763603314757347,0.08015293627977371,0.1273808628320694,0.02283889427781105,0.08015293627977371,-0.009407998993992805,0.045321788638830185,0.08015293627977371,0.04634137824177742,0.06378988176584244,0.03435761481523514,0.02432653307914734,0.04789413511753082,0.09030459821224213,-0.008425984531641006,0.09039020538330078,0.05098943039774895,0.13681700825691223,-0.019832048565149307,0.11914143711328506
was,0.29096508026123047,0.3636345863342285,0.48711544275283813,0.27318477630615234,0.4069072902202606,0.48711544275283813,0.2523815333843231,0.45456063747406006,0.48711544275283813,0.24981513619422913,0.35876134037971497,0.35203275084495544,0.3677520453929901,0.2742757201194763,1.0000001192092896,0.41197097301483154,0.20658372342586517,0.4752357602119446,0.22111038863658905,0.2518421411514282,0.18412111699581146
the,0.33782097697257996,0.535392165184021,1.0,0.3051127791404724,0.733189046382904,1.0,0.2555147111415863,0.4933079481124878,1.0,0.37834644317626953,0.38266420364379883,0.3624623417854309,0.48381632566452026,0.2176690250635147,0.48711544275283813,0.33854439854621887,0.2579440772533417,0.4408751428127289,0.42745697498321533,0.36838498711586,0.22068053483963013
site,0.21111802756786346,0.2310456782579422,0.288954496383667,0.11897057294845581,0.24291633069515228,0.288954496383667,0.08497968316078186,0.2036259025335312,0.288954496383667,0.30512601137161255,0.3170115351676941,0.16940881311893463,0.21358512341976166,0.1855785995721817,0.24460934102535248,0.19083255529403687,0.22670288383960724,0.16451333463191986,0.21561308205127716,0.20320257544517517,0.2014765441417694
of,0.3183474540710449,0.41548454761505127,0.733189046382904,0.2117728888988495,1.0,0.733189046382904,0.19450366497039795,0.4946078956127167,0.733189046382904,0.3409860134124756,0.29182544350624084,0.35814476013183594,0.3886612355709076,0.23084138333797455,0.4069072902202606,0.2850290536880493,0.2573133707046509,0.3646814823150635,0.33290785551071167,0.3251037895679474,0.1826142966747284
the,0.33782097697257996,0.535392165184021,1.0,0.3051127791404724,0.733189046382904,1.0,0.2555147111415863,0.4933079481124878,1.0,0.37834644317626953,0.38266420364379883,0.3624623417854309,0.48381632566452026,0.2176690250635147,0.48711544275283813,0.33854439854621887,0.2579440772533417,0.4408751428127289,0.42745697498321533,0.36838498711586,0.22068053483963013
french,0.11000554263591766,0.1713797152042389,0.2555147111415863,0.11841163039207458,0.19450366497039795,0.2555147111415863,1.0000001192092896,0.28806620836257935,0.2555147111415863,0.09145350754261017,0.1410968154668808,0.16354896128177643,0.20159029960632324,0.21326789259910583,0.2523815333843231,0.11033757030963898,0.13204921782016754,0.23343317210674286,0.17393042147159576,0.16166198253631592,0.1386883556842804
colony,0.12432973086833954,0.27651169896125793,0.2740810811519623,0.29112178087234497,0.2552715241909027,0.2740810811519623,0.2202957570552826,0.23671650886535645,0.2740810811519623,0.23641829192638397,0.2804777920246124,0.16173037886619568,0.18101926147937775,0.17666572332382202,0.25879696011543274,0.1493859738111496,0.27618834376335144,0.13618241250514984,0.26261213421821594,0.24670033156871796,0.13831071555614471
of,0.3183474540710449,0.41548454761505127,0.733189046382904,0.2117728888988495,1.0,0.733189046382904,0.19450366497039795,0.4946078956127167,0.733189046382904,0.3409860134124756,0.29182544350624084,0.35814476013183594,0.3886612355709076,0.23084138333797455,0.4069072902202606,0.2850290536880493,0.2573133707046509,0.3646814823150635,0.33290785551071167,0.3251037895679474,0.1826142966747284
fort,0.15216045081615448,0.16577591001987457,0.2420126497745514,0.16862569749355316,0.18979716300964355,0.2420126497745514,0.27450791001319885,0.2651418149471283,0.2420126497745514,0.2643510699272156,0.17615056037902832,0.13317079842090607,0.21955958008766174,0.3874482810497284,0.30989983677864075,0.14354610443115234,0.19645477831363678,0.1571328192949295,0.19451747834682465,0.1212211400270462,0.15686731040477753
caroline,0.14613616466522217,0.1854560673236847,0.2156924456357956,0.18694716691970825,0.2054101526737213,0.2156924456357956,0.1764221489429474,0.23928247392177582,0.2156924456357956,0.10169117897748947,0.18004649877548218,0.1922275274991989,0.21023468673229218,0.26127827167510986,0.29276764392852783,0.16626372933387756,0.14184175431728363,0.15963906049728394,0.19310812652111053,0.1100558415055275,0.13168026506900787
",",0.27105793356895447,0.44245919585227966,0.4933079481124878,0.20957639813423157,0.4946078956127167,0.4933079481124878,0.28806620836257935,1.0000001192092896,0.4933079481124878,0.2664283812046051,0.43216821551322937,0.3604377806186676,0.48816442489624023,0.2837527096271515,0.45456063747406006,0.3206103444099426,0.19752568006515503,0.3680937886238098,0.3087472915649414,0.36644625663757324,0.31091248989105225
one,0.23925508558750153,0.4025384783744812,0.5514441132545471,0.21240676939487457,0.4999135136604309,0.5514441132545471,0.18462896347045898,0.3696635365486145,0.5514441132545471,0.22590439021587372,0.3720342814922333,0.33883556723594666,0.3954789340496063,0.22315260767936707,0.3752199709415436,0.27029111981391907,0.2489166259765625,0.29445651173591614,0.376489520072937,0.2841606140136719,0.2673267424106598
of,0.3183474540710449,0.41548454761505127,0.733189046382904,0.2117728888988495,1.0,0.733189046382904,0.19450366497039795,0.4946078956127167,0.733189046382904,0.3409860134124756,0.29182544350624084,0.35814476013183594,0.3886612355709076,0.23084138333797455,0.4069072902202606,0.2850290536880493,0.2573133707046509,0.3646814823150635,0.33290785551071167,0.3251037895679474,0.1826142966747284
the,0.33782097697257996,0.535392165184021,1.0,0.3051127791404724,0.733189046382904,1.0,0.2555147111415863,0.4933079481124878,1.0,0.37834644317626953,0.38266420364379883,0.3624623417854309,0.48381632566452026,0.2176690250635147,0.48711544275283813,0.33854439854621887,0.2579440772533417,0.4408751428127289,0.42745697498321533,0.36838498711586,0.22068053483963013
earliest,0.16953466832637787,0.20613901317119598,0.32825469970703125,0.25468894839286804,0.33267632126808167,0.32825469970703125,0.0831102579832077,0.20733466744422913,0.32825469970703125,0.1685534119606018,0.22303254902362823,0.3454912602901459,0.25896963477134705,0.07817574590444565,0.25501716136932373,0.21104539930820465,0.29649919271469116,0.1959538608789444,0.23163363337516785,0.13262943923473358,0.139415442943573
european,0.1705901324748993,0.21011990308761597,0.3423081040382385,0.26901760697364807,0.2507138252258301,0.3423081040382385,0.30328667163848877,0.19684812426567078,0.3423081040382385,0.1983111947774887,0.1185959205031395,0.15571284294128418,0.20210161805152893,0.14100655913352966,0.22463937103748322,0.16570639610290527,0.24375472962856293,0.17922990024089813,0.15324164927005768,0.17784909904003143,0.14560863375663757
settlements,0.11540855467319489,0.25245407223701477,0.24227768182754517,0.27307531237602234,0.2813670039176941,0.24227768182754517,0.09238934516906738,0.3241141438484192,0.24227768182754517,0.40043145418167114,0.24244286119937897,0.0771971195936203,0.1687086820602417,0.12858186662197113,0.21207770705223083,0.20608748495578766,0.36416929960250854,0.14743714034557343,0.24496693909168243,0.4175792634487152,0.1671062707901001
in,0.24521231651306152,0.45010748505592346,0.6662389636039734,0.2351498007774353,0.5696388483047485,0.6662389636039734,0.22093388438224792,0.5201468467712402,0.6662389636039734,0.33632898330688477,0.3619694113731384,0.32641831040382385,0.3887844979763031,0.22147351503372192,0.45514053106307983,0.2762584090232849,0.23996128141880035,0.370934396982193,0.30808621644973755,0.39605680108070374,0.20430970191955566
what,0.2537507116794586,0.455847829580307,0.42745697498321533,0.24079416692256927,0.33290785551071167,0.42745697498321533,0.17393042147159576,0.3087472915649414,0.42745697498321533,0.21965408325195312,0.4903225302696228,0.20381177961826324,0.31749409437179565,0.14578714966773987,0.22111038863658905,0.24305304884910583,0.176266148686409,0.2455483376979828,0.9999998807907104,0.32444337010383606,0.5051238536834717
is,0.14228065311908722,0.42745086550712585,0.5823672413825989,0.13425418734550476,0.4854315221309662,0.5823672413825989,0.19312386214733124,0.4691906273365021,0.5823672413825989,0.29283958673477173,0.39589470624923706,0.41921812295913696,0.43216490745544434,0.1726600080728531,0.5810302495956421,0.24012024700641632,0.2244061976671219,0.3899846076965332,0.28837618231773376,0.34254953265190125,0.22961433231830597
now,0.23099587857723236,0.3925153911113739,0.38266420364379883,0.2406013011932373,0.29182544350624084,0.38266420364379883,0.1410968154668808,0.43216821551322937,0.38266420364379883,0.29446619749069214,1.0,0.27519240975379944,0.3483183979988098,0.15667501091957092,0.35876134037971497,0.3500104546546936,0.2514741122722626,0.20949482917785645,0.4903225302696228,0.25494474172592163,0.29641881585121155
the,0.33782097697257996,0.535392165184021,1.0,0.3051127791404724,0.733189046382904,1.0,0.2555147111415863,0.4933079481124878,1.0,0.37834644317626953,0.38266420364379883,0.3624623417854309,0.48381632566452026,0.2176690250635147,0.48711544275283813,0.33854439854621887,0.2579440772533417,0.4408751428127289,0.42745697498321533,0.36838498711586,0.22068053483963013
continental,0.17039982974529266,0.20232366025447845,0.32723063230514526,0.1554539054632187,0.2580660581588745,0.32723063230514526,0.17705680429935455,0.21947523951530457,0.32723063230514526,0.17893964052200317,0.1979273408651352,0.17136788368225098,0.1986742615699768,0.2231539934873581,0.23607179522514343,0.18368378281593323,0.22262431681156158,0.21076206862926483,0.19292454421520233,0.12201647460460663,0.1410352885723114
united,0.258638858795166,0.2715383470058441,0.34367692470550537,0.1894504725933075,0.3187655806541443,0.34367692470550537,0.18045975267887115,0.3053959608078003,0.34367692470550537,0.24972930550575256,0.2517772912979126,0.16143083572387695,0.27979812026023865,0.303199827671051,0.31727492809295654,0.23178009688854218,0.1898009330034256,0.23958808183670044,0.20036718249320984,0.2647981643676758,0.17266890406608582
