,where,does,oxygen,rank,by,mass,in,the,planet,'s,biosphere,?
oxygen,0.1672561913728714,0.2380215972661972,0.9999999403953552,0.19062569737434387,0.1292176991701126,0.28330692648887634,0.1672476977109909,0.20428593456745148,0.23710677027702332,-0.011648092418909073,0.3454684019088745,0.16786395013332367
is,0.3586711287498474,0.4403602182865143,0.21825239062309265,0.15803313255310059,0.3899846076965332,0.21063528954982758,0.5394441485404968,0.5823672413825989,0.2221219539642334,0.02396530658006668,0.270405650138855,0.22961433231830597
the,0.5003893971443176,0.35928019881248474,0.20428593456745148,0.2690342664718628,0.4408751428127289,0.2284930944442749,0.6662389636039734,1.0,0.2470240592956543,-0.01540423184633255,0.23578676581382751,0.22068053483963013
most,0.3678402900695801,0.30044323205947876,0.21728017926216125,0.18249092996120453,0.270847886800766,0.15011264383792877,0.41416558623313904,0.47635307908058167,0.13880480825901031,0.024445664137601852,0.21067671477794647,0.2107497900724411
abundant,0.23284128308296204,0.19355112314224243,0.4410693645477295,0.09752950072288513,0.12328586727380753,0.24218623340129852,0.21504533290863037,0.24729062616825104,0.16397902369499207,0.04217081889510155,0.37902045249938965,0.13836130499839783
chemical,0.19196319580078125,0.21786059439182281,0.46001601219177246,0.16113431751728058,0.21947693824768066,0.2730231285095215,0.23203688859939575,0.18641819059848785,0.22930477559566498,-0.08117737621068954,0.29649877548217773,0.2040288895368576
element,0.22715578973293304,0.24992139637470245,0.35867807269096375,0.17832499742507935,0.1585245132446289,0.3031277060508728,0.16983667016029358,0.2041647583246231,0.27146998047828674,-0.05279603600502014,0.24372632801532745,0.18393386900424957
by,0.2641284465789795,0.143477201461792,0.1292176991701126,0.18649639189243317,1.0000001192092896,0.21824167668819427,0.370934396982193,0.4408751428127289,0.19697460532188416,-0.010884488001465797,0.15222041308879852,0.17966607213020325
mass,0.18837785720825195,0.11793608218431473,0.28330692648887634,0.13302217423915863,0.21824167668819427,1.0000001192092896,0.1766357719898224,0.2284930944442749,0.25839927792549133,0.022538112476468086,0.1984005868434906,0.2076406031847
in,0.5344807505607605,0.214483380317688,0.1672476977109909,0.20269498229026794,0.370934396982193,0.1766357719898224,1.0,0.6662389636039734,0.18041402101516724,-0.037580832839012146,0.24146156013011932,0.20430970191955566
the,0.5003893971443176,0.35928019881248474,0.20428593456745148,0.2690342664718628,0.4408751428127289,0.2284930944442749,0.6662389636039734,1.0,0.2470240592956543,-0.01540423184633255,0.23578676581382751,0.22068053483963013
earth,0.23126177489757538,0.24806667864322662,0.3065866231918335,0.17129112780094147,0.1861492097377777,0.23690102994441986,0.18566735088825226,0.2801888585090637,0.6280893683433533,0.0661235973238945,0.46794721484184265,0.17717236280441284
's,0.0007701900321990252,-0.02895052544772625,-0.011648092418909073,0.07260813564062119,-0.010884488001465797,0.022538112476468086,-0.037580832839012146,-0.01540423184633255,-0.040571004152297974,0.9999999403953552,-0.003802889259532094,-0.023395681753754616
biosphere,0.20180512964725494,0.21337515115737915,0.3454684019088745,0.1687164604663849,0.15222041308879852,0.1984005868434906,0.24146156013011932,0.23578676581382751,0.38078489899635315,-0.003802889259532094,0.9999999403953552,0.15510359406471252
",",0.3149496018886566,0.28617382049560547,0.21812842786312103,0.2213623821735382,0.3680937886238098,0.2439754158258438,0.5201468467712402,0.4933079481124878,0.19326971471309662,-0.0016132977325469255,0.17527668178081512,0.31091248989105225
air,0.17073245346546173,0.21604882180690765,0.3506372570991516,0.2292662262916565,0.19110813736915588,0.16809456050395966,0.22172939777374268,0.2877824306488037,0.19239161908626556,0.03575344383716583,0.2606787085533142,0.1491677612066269
",",0.3149496018886566,0.28617382049560547,0.21812842786312103,0.2213623821735382,0.3680937886238098,0.2439754158258438,0.5201468467712402,0.4933079481124878,0.19326971471309662,-0.0016132977325469255,0.17527668178081512,0.31091248989105225
sea,0.18630823493003845,0.12523514032363892,0.20720016956329346,0.217113196849823,0.19145366549491882,0.12069623172283173,0.2302369773387909,0.30363768339157104,0.18965837359428406,0.05089695379137993,0.2898155748844147,0.15551945567131042
and,0.43859338760375977,0.3461615741252899,0.22261030972003937,0.22482313215732574,0.4289871156215668,0.21843883395195007,0.4954058527946472,0.5171257257461548,0.21885086596012115,0.06895173341035843,0.19168445467948914,0.20544172823429108
land,0.21639515459537506,0.20495885610580444,0.19648531079292297,0.2284582555294037,0.2530721127986908,0.17313659191131592,0.22871792316436768,0.28587454557418823,0.26593491435050964,0.10497291386127472,0.3120998740196228,0.1432059109210968
.,0.41390106081962585,0.3022993505001068,0.2554275095462799,0.25294268131256104,0.3936232924461365,0.25224974751472473,0.5591574311256409,0.5934505462646484,0.24422165751457214,-0.003708066651597619,0.1506943255662918,0.4130953550338745
