,who,may,seek,changes,or,exemptions,in,the,law,that,governs,the,land,where,the,building,will,be,built,?
other,0.3612329661846161,0.40045788884162903,0.2669224143028259,0.2861965298652649,0.5325124859809875,0.3221639096736908,0.39989137649536133,0.44152235984802246,0.16831502318382263,0.5570666193962097,0.3065893352031708,0.44152235984802246,0.1661357283592224,0.3730994164943695,0.44152235984802246,0.22052548825740814,0.3551507890224457,0.4629868268966675,0.18388311564922333,0.24682199954986572
legal,0.28385603427886963,0.2537533938884735,0.252617746591568,0.13915853202342987,0.30053412914276123,0.30270916223526,0.256083607673645,0.25629305839538574,0.5520976781845093,0.27556097507476807,0.31905749440193176,0.25629305839538574,0.20504477620124817,0.19576337933540344,0.25629305839538574,0.1802017092704773,0.20266368985176086,0.2273482084274292,0.0981031283736229,0.2143220454454422
requirements,0.23744942247867584,0.24833469092845917,0.2786502540111542,0.3424455523490906,0.3442133367061615,0.48694348335266113,0.17665298283100128,0.26905253529548645,0.229910746216774,0.40566104650497437,0.3043217957019806,0.26905253529548645,0.12223976105451584,0.2548072338104248,0.26905253529548645,0.2080976814031601,0.3886716067790985,0.38826778531074524,0.16166913509368896,0.2940613329410553
come,0.2822050154209137,0.2123441994190216,0.30361759662628174,0.17594550549983978,0.32087573409080505,0.23008224368095398,0.26272067427635193,0.36020293831825256,0.15966053307056427,0.41515251994132996,0.19982965290546417,0.36020293831825256,0.21983759105205536,0.3523397743701935,0.36020293831825256,0.18227608501911163,0.3558075726032257,0.30159616470336914,0.23651622235774994,0.22318024933338165
from,0.27839982509613037,0.23997589945793152,0.20106655359268188,0.1855839341878891,0.31242018938064575,0.18768882751464844,0.4274188280105591,0.40150508284568787,0.19070591032505035,0.3477667272090912,0.13662412762641907,0.40150508284568787,0.21997374296188354,0.3713873624801636,0.40150508284568787,0.20497049391269684,0.193743497133255,0.3107333183288574,0.15788282454013824,0.19969791173934937
malum,0.2840527594089508,0.21012398600578308,0.10739202052354813,0.16534030437469482,0.24977870285511017,0.1643112301826477,0.251517117023468,0.23022820055484772,0.21684947609901428,0.21141020953655243,0.18415744602680206,0.23022820055484772,0.1495712399482727,0.25784116983413696,0.23022820055484772,0.16650350391864777,0.1612018644809723,0.20024405419826508,0.12752249836921692,0.19177968800067902
prohibitum,0.11354819685220718,0.16736948490142822,0.19319401681423187,0.182175874710083,0.3474422097206116,0.33789315819740295,0.19071950018405914,0.22055739164352417,0.4509040117263794,0.25363099575042725,0.2616628408432007,0.22055739164352417,0.18815729022026062,0.18697187304496765,0.22055739164352417,0.17396283149719238,0.1810397058725357,0.21882325410842896,0.13375873863697052,0.24928122758865356
considerations,0.25060686469078064,0.34962931275367737,0.24158471822738647,0.34112516045570374,0.2636309862136841,0.4799956977367401,0.21577352285385132,0.32168442010879517,0.2604185938835144,0.32378801703453064,0.35035884380340576,0.32168442010879517,0.1686476320028305,0.24654187262058258,0.32168442010879517,0.14726954698562622,0.33319833874702454,0.3402009904384613,0.09433415532112122,0.32653504610061646
",",0.3365725874900818,0.5007920861244202,0.2198648303747177,0.23045918345451355,0.3769497275352478,0.24751323461532593,0.5201468467712402,0.4933079481124878,0.24953721463680267,0.4137537479400635,0.25806698203086853,0.4933079481124878,0.22220008075237274,0.3149496018886566,0.4933079481124878,0.2374238669872284,0.29706671833992004,0.39254459738731384,0.22658206522464752,0.31091248989105225
or,0.31144875288009644,0.399771511554718,0.3177572190761566,0.2474553883075714,1.0000001192092896,0.3309832513332367,0.3586423695087433,0.4174870550632477,0.19038471579551697,0.4729836881160736,0.2425871640443802,0.4174870550632477,0.17952218651771545,0.3651050925254822,0.4174870550632477,0.21519747376441956,0.41331517696380615,0.5260903835296631,0.1842118501663208,0.32389625906944275
things,0.3606424629688263,0.26897135376930237,0.2220514416694641,0.4152154326438904,0.4367370009422302,0.3630121052265167,0.2694495618343353,0.30825191736221313,0.19504454731941223,0.5346440076828003,0.26871833205223083,0.30825191736221313,0.2411152422428131,0.3048623204231262,0.30825191736221313,0.29331251978874207,0.374944806098938,0.4344440698623657,0.2128456085920334,0.36181706190109253
that,0.45444270968437195,0.4234136641025543,0.31273263692855835,0.33237403631210327,0.4729836881160736,0.3730476498603821,0.435920387506485,0.5473989248275757,0.23277728259563446,1.0,0.26109641790390015,0.5473989248275757,0.256797194480896,0.4876193106174469,0.5473989248275757,0.2585349678993225,0.4857470989227295,0.6036020517349243,0.2532336115837097,0.32716336846351624
are,0.27294138073921204,0.3162533640861511,0.19504497945308685,0.22349703311920166,0.5374364256858826,0.34334152936935425,0.3841303884983063,0.40399202704429626,0.13009320199489594,0.45265161991119385,0.28460413217544556,0.40399202704429626,0.1816364973783493,0.32389864325523376,0.40399202704429626,0.1904018670320511,0.39387544989585876,0.5556803941726685,0.15228483080863953,0.24591213464736938
a,0.36608949303627014,0.29255667328834534,0.24095171689987183,0.26482418179512024,0.48853766918182373,0.24466826021671295,0.539380669593811,0.5829201340675354,0.2212858349084854,0.47537946701049805,0.17092393338680267,0.5829201340675354,0.247930645942688,0.40997210144996643,0.5829201340675354,0.2576078176498413,0.3401327431201935,0.39883795380592346,0.23064446449279785,0.23916715383529663
matter,0.26875653862953186,0.2518509030342102,0.2039816826581955,0.34392496943473816,0.37518176436424255,0.26766425371170044,0.2179846465587616,0.2957161068916321,0.27574044466018677,0.44028252363204956,0.19683554768562317,0.2957161068916321,0.17037856578826904,0.32366248965263367,0.2957161068916321,0.17443668842315674,0.3423217833042145,0.41101786494255066,0.08013497292995453,0.269619345664978
of,0.2827862501144409,0.26447007060050964,0.2027195245027542,0.25827232003211975,0.3792596757411957,0.2098851203918457,0.5696388483047485,0.733189046382904,0.2816956341266632,0.41498205065727234,0.337303102016449,0.733189046382904,0.3057127296924591,0.38066378235816956,0.733189046382904,0.26200541853904724,0.2473582625389099,0.33904364705085754,0.23442776501178741,0.1826142966747284
custom,0.1411016434431076,0.220556378364563,0.169681116938591,0.19232365489006042,0.30233266949653625,0.2854723334312439,0.24152323603630066,0.20443080365657806,0.2184705287218094,0.2535395920276642,0.1445358842611313,0.20443080365657806,0.12994687259197235,0.17754767835140228,0.20443080365657806,0.2030213475227356,0.25204959511756897,0.26949623227119446,0.23292000591754913,0.26820895075798035
or,0.31144875288009644,0.399771511554718,0.3177572190761566,0.2474553883075714,1.0000001192092896,0.3309832513332367,0.3586423695087433,0.4174870550632477,0.19038471579551697,0.4729836881160736,0.2425871640443802,0.4174870550632477,0.17952218651771545,0.3651050925254822,0.4174870550632477,0.21519747376441956,0.41331517696380615,0.5260903835296631,0.1842118501663208,0.32389625906944275
expectation,0.2817363142967224,0.27866485714912415,0.367425799369812,0.24419836699962616,0.3059024512767792,0.38666826486587524,0.22255434095859528,0.23688670992851257,0.21469756960868835,0.39581236243247986,0.2308664619922638,0.23688670992851257,0.1245332732796669,0.25395628809928894,0.23688670992851257,0.14139869809150696,0.4411085844039917,0.3480958938598633,0.07040055841207504,0.2760455310344696
