,who,teaches,the,proper,way,of,living,in,islam,?
there,0.2844357192516327,0.23564597964286804,0.47025805711746216,0.25580063462257385,0.36347976326942444,0.44397735595703125,0.37961074709892273,0.5361666083335876,0.18468190729618073,0.29405656456947327
are,0.27294138073921204,0.22687506675720215,0.40399202704429626,0.2732212245464325,0.3754369020462036,0.39081433415412903,0.2966900169849396,0.3841303884983063,0.1695580929517746,0.24591213464736938
many,0.4149286150932312,0.2778831720352173,0.4335206151008606,0.2198740839958191,0.3942323327064514,0.37253960967063904,0.3044293522834778,0.41474202275276184,0.21607667207717896,0.2124512493610382
concepts,0.2187921404838562,0.3290029466152191,0.22404052317142487,0.23177576065063477,0.3529142141342163,0.23946964740753174,0.16606849431991577,0.23009172081947327,0.266132116317749,0.21270129084587097
of,0.2827862501144409,0.274461567401886,0.733189046382904,0.3278234004974365,0.266871839761734,1.0,0.3499443829059601,0.5696388483047485,0.21728332340717316,0.1826142966747284
teachers,0.34250906109809875,0.6691735982894897,0.22025763988494873,0.20626048743724823,0.15375399589538574,0.27737662196159363,0.18997229635715485,0.2128150761127472,0.20831315219402313,0.19522249698638916
in,0.2792111933231354,0.26274335384368896,0.6662389636039734,0.23365779221057892,0.30444321036338806,0.5696388483047485,0.3253810405731201,1.0,0.16687287390232086,0.20430970191955566
islam,0.25068652629852295,0.2967144846916199,0.2207694798707962,0.18911902606487274,0.19361738860607147,0.21728332340717316,0.17746660113334656,0.16687287390232086,1.0000001192092896,0.18358638882637024
",",0.3365725874900818,0.25791966915130615,0.4933079481124878,0.28737831115722656,0.2861018478870392,0.4946078956127167,0.26278790831565857,0.5201468467712402,0.23459285497665405,0.31091248989105225
ranging,0.10510164499282837,0.11377976834774017,0.23484160006046295,0.2257469892501831,0.16894370317459106,0.3282402753829956,0.19044534862041473,0.23063085973262787,0.11929693818092346,0.09338733553886414
from,0.27839982509613037,0.18825663626194,0.40150508284568787,0.20771771669387817,0.2694782316684723,0.4249346852302551,0.21752916276454926,0.4274188280105591,0.1613912731409073,0.19969791173934937
mullahs,0.220237597823143,0.27030643820762634,0.26393765211105347,0.1782655566930771,0.20214049518108368,0.2584269940853119,0.29031285643577576,0.2522062659263611,0.45096197724342346,0.1735541671514511
