,the,rhine,first,formed,a,boundary,between,gaul,and,what,else,?
at,0.457212895154953,0.19469857215881348,0.3138778805732727,0.1652698516845703,0.3095070421695709,0.19881919026374817,0.3328663110733032,0.10294611006975174,0.3571503460407257,0.2838611304759979,0.11573807895183563,0.21978627145290375
that,0.5473989248275757,0.16362759470939636,0.3482176661491394,0.2487153261899948,0.47537946701049805,0.2616517245769501,0.299440860748291,0.2112027257680893,0.4731321930885315,0.6297725439071655,0.393348753452301,0.32716336846351624
time,0.43061500787734985,0.1911163330078125,0.4013477563858032,0.13853000104427338,0.3292340338230133,0.2135934978723526,0.2893446385860443,0.22748175263404846,0.3025408685207367,0.36319252848625183,0.25494056940078735,0.27391523122787476
",",0.4933079481124878,0.167837992310524,0.34503069519996643,0.2636634409427643,0.427140474319458,0.2251134216785431,0.27714940905570984,0.2092113047838211,0.6633074283599854,0.3087472915649414,0.2643522322177887,0.31091248989105225
it,0.6251175999641418,0.17693428695201874,0.3491429388523102,0.27487313747406006,0.5452592968940735,0.2889873683452606,0.311247855424881,0.2201230227947235,0.40957894921302795,0.45803478360176086,0.2946394979953766,0.25732165575027466
formed,0.28813210129737854,0.12505698204040527,0.22088022530078888,1.0000001192092896,0.21948496997356415,0.3427855670452118,0.3197457194328308,0.15809635818004608,0.27619341015815735,0.15451857447624207,0.11330091208219528,0.09686966985464096
the,1.0,0.30735138058662415,0.49448907375335693,0.28813210129737854,0.5829201340675354,0.3356972932815552,0.39067012071609497,0.3049982190132141,0.5171257257461548,0.42745697498321533,0.19370581209659576,0.22068053483963013
boundary,0.3356972932815552,0.24294309318065643,0.17615815997123718,0.3427855670452118,0.22228455543518066,1.0,0.4219370484352112,0.2620432376861572,0.24556493759155273,0.26910632848739624,0.10897436738014221,0.0720028504729271
between,0.39067012071609497,0.17755062878131866,0.2911831736564636,0.3197457194328308,0.29385313391685486,0.4219370484352112,0.9999999403953552,0.21156223118305206,0.40645647048950195,0.2462156116962433,0.12304557859897614,0.12887074053287506
gaul,0.3049982190132141,0.38493776321411133,0.17851434648036957,0.15809635818004608,0.16667544841766357,0.2620432376861572,0.21156223118305206,1.0,0.21576310694217682,0.24617837369441986,0.19611354172229767,0.1308489590883255
and,0.5171257257461548,0.22029656171798706,0.3167642652988434,0.27619341015815735,0.3739250600337982,0.24556493759155273,0.40645647048950195,0.21576310694217682,1.0,0.31309178471565247,0.2664144039154053,0.20544172823429108
germania,0.25158780813217163,0.5127797722816467,0.16150881350040436,0.17867285013198853,0.22576627135276794,0.13490743935108185,0.18414737284183502,0.49299973249435425,0.20308150351047516,0.19265617430210114,0.20318906009197235,0.16800276935100555
.,0.5934505462646484,0.2089352011680603,0.4345304071903229,0.2737641930580139,0.50484299659729,0.1972806751728058,0.30295518040657043,0.16882677376270294,0.588965117931366,0.3567904531955719,0.30548352003097534,0.4130953550338745
