,in,what,cases,can,the,eu,not,override,german,law,?
the,0.6662389636039734,0.42745697498321533,0.33415094017982483,0.312528520822525,1.0,0.14126400649547577,0.4310511648654938,0.23464247584342957,0.256483793258667,0.24548950791358948,0.22068053483963013
view,0.17477142810821533,0.2818201184272766,0.10224367678165436,0.2083529680967331,0.25610461831092834,0.1172349601984024,0.18787901103496552,0.22272148728370667,0.11094377189874649,0.14848703145980835,0.17672975361347198
of,0.5696388483047485,0.33290785551071167,0.31000128388404846,0.2603091299533844,0.733189046382904,0.1579294353723526,0.3307090103626251,0.2303989976644516,0.2122138887643814,0.2816956341266632,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.33415094017982483,0.312528520822525,1.0,0.14126400649547577,0.4310511648654938,0.23464247584342957,0.256483793258667,0.24548950791358948,0.22068053483963013
german,0.21098364889621735,0.1960553526878357,0.13096635043621063,0.14734643697738647,0.256483793258667,0.120797298848629,0.198292538523674,0.09241645783185959,1.0000001192092896,0.16336967051029205,0.13978645205497742
constitutional,0.278969407081604,0.24835939705371857,0.2874857485294342,0.1502179503440857,0.2926941215991974,0.2730419635772705,0.2985531687736511,0.33536967635154724,0.1600482165813446,0.5433541536331177,0.2199033498764038
court,0.2793687880039215,0.23440583050251007,0.3908179700374603,0.14211946725845337,0.2812081575393677,0.16374509036540985,0.21835780143737793,0.2197534739971161,0.1502220779657364,0.413828045129776,0.17100423574447632
from,0.4274188280105591,0.2737620174884796,0.2106320559978485,0.2516351342201233,0.40150508284568787,0.15383225679397583,0.2567668557167053,0.15875138342380524,0.18661607801914215,0.19070591032505035,0.19969791173934937
the,0.6662389636039734,0.42745697498321533,0.33415094017982483,0.312528520822525,1.0,0.14126400649547577,0.4310511648654938,0.23464247584342957,0.256483793258667,0.24548950791358948,0.22068053483963013
solange,0.29497963190078735,0.15884776413440704,0.04540466517210007,0.10249939560890198,0.2244059443473816,0.15345486998558044,0.10748416930437088,0.09623310714960098,0.25218772888183594,0.1740136295557022,0.22449640929698944
i,0.22907796502113342,0.4411132335662842,0.19612662494182587,0.2884296178817749,0.26687872409820557,0.20674744248390198,0.4217516779899597,0.30341318249702454,0.17131662368774414,0.18624696135520935,0.4695145785808563
and,0.4954058527946472,0.31309178471565247,0.31821322441101074,0.3675691485404968,0.5171257257461548,0.16977795958518982,0.39099299907684326,0.18499301373958588,0.25850871205329895,0.254730761051178,0.20544172823429108
solange,0.29497963190078735,0.15884776413440704,0.04540466517210007,0.10249939560890198,0.2244059443473816,0.15345486998558044,0.10748416930437088,0.09623310714960098,0.25218772888183594,0.1740136295557022,0.22449640929698944
ii,0.21453368663787842,0.13866674900054932,0.10238246619701385,0.1393069326877594,0.2631464898586273,0.16145043075084686,0.1655338853597641,0.09504899382591248,0.2365923374891281,0.1508481800556183,0.11928234249353409
decisions,0.20928196609020233,0.3351972997188568,0.4103953242301941,0.3189864754676819,0.30538004636764526,0.2608168125152588,0.3490222096443176,0.37514036893844604,0.1776420772075653,0.3273443877696991,0.29068708419799805
is,0.5394441485404968,0.28837618231773376,0.2989884912967682,0.44256699085235596,0.5823672413825989,0.12234814465045929,0.3776007890701294,0.18598656356334686,0.19231973588466644,0.18597714602947235,0.22961433231830597
that,0.435920387506485,0.6297725439071655,0.3740561306476593,0.4522190988063812,0.5473989248275757,0.10275088250637054,0.6600887179374695,0.3242635726928711,0.18284347653388977,0.23277728259563446,0.32716336846351624
if,0.2589588761329651,0.5277165174484253,0.45987358689308167,0.5903681516647339,0.33724796772003174,0.17847009003162384,0.6100378632545471,0.48728081583976746,0.16732513904571533,0.19418910145759583,0.4441644251346588
the,0.6662389636039734,0.42745697498321533,0.33415094017982483,0.312528520822525,1.0,0.14126400649547577,0.4310511648654938,0.23464247584342957,0.256483793258667,0.24548950791358948,0.22068053483963013
eu,0.12919096648693085,0.15409135818481445,0.15546004474163055,0.15144599974155426,0.14126400649547577,0.9999998807907104,0.16702550649642944,0.21633443236351013,0.120797298848629,0.20359504222869873,0.21586786210536957
does,0.214483380317688,0.38564667105674744,0.3112744688987732,0.5156301856040955,0.35928019881248474,0.10805947333574295,0.6355478763580322,0.3102429211139679,0.1575017124414444,0.22011858224868774,0.338003009557724
not,0.3403114080429077,0.5449194312095642,0.3814825117588043,0.49270012974739075,0.4310511648654938,0.16702550649642944,0.9999999403953552,0.36745670437812805,0.198292538523674,0.2588513493537903,0.41942933201789856
comply,0.14223448932170868,0.39817023277282715,0.3408977687358856,0.2656346261501312,0.26171886920928955,0.20438098907470703,0.43628060817718506,0.40835267305374146,0.16810210049152374,0.3626185655593872,0.2770853340625763
with,0.4080928862094879,0.2464839518070221,0.29711535573005676,0.3572797477245331,0.4223487675189972,0.20157751441001892,0.3409014642238617,0.20663540065288544,0.1539149135351181,0.12950056791305542,0.2433311939239502
its,0.3793783485889435,0.30393704771995544,0.2769324481487274,0.2625933587551117,0.559237003326416,0.16840960085391998,0.29187723994255066,0.18778766691684723,0.13400864601135254,0.14864613115787506,0.15103481709957123
basic,0.2729884386062622,0.3564627468585968,0.26032203435897827,0.35349568724632263,0.27259987592697144,0.14986561238765717,0.34517574310302734,0.24658113718032837,0.15449155867099762,0.22396156191825867,0.26534420251846313
constitutional,0.278969407081604,0.24835939705371857,0.2874857485294342,0.1502179503440857,0.2926941215991974,0.2730419635772705,0.2985531687736511,0.33536967635154724,0.1600482165813446,0.5433541536331177,0.2199033498764038
rights,0.17772755026817322,0.2386135458946228,0.23221683502197266,0.1727154403924942,0.2579100430011749,0.1998741328716278,0.26897159218788147,0.24998842179775238,0.14508870244026184,0.3795265257358551,0.21814769506454468
and,0.4954058527946472,0.31309178471565247,0.31821322441101074,0.3675691485404968,0.5171257257461548,0.16977795958518982,0.39099299907684326,0.18499301373958588,0.25850871205329895,0.254730761051178,0.20544172823429108
principles,0.16260969638824463,0.3122304081916809,0.23098702728748322,0.17535889148712158,0.21452596783638,0.1798057109117508,0.27278438210487366,0.24588337540626526,0.16664935648441315,0.37726420164108276,0.19203636050224304
(,0.3087427020072937,0.2411840260028839,0.19813179969787598,0.22726960480213165,0.33289089798927307,0.1709967851638794,0.2710699737071991,0.23995926976203918,0.21152326464653015,0.14312884211540222,0.40561532974243164
particularly,0.33242201805114746,0.33027681708335876,0.3080424666404724,0.33134233951568604,0.32132959365844727,0.12537774443626404,0.37429380416870117,0.20569010078907013,0.15914183855056763,0.13091634213924408,0.2644225060939789
democracy,0.19644030928611755,0.22238294780254364,0.15581448376178741,0.13024796545505524,0.22284646332263947,0.2840934991836548,0.21274015307426453,0.2045760154724121,0.1650559902191162,0.31300264596939087,0.20770417153835297
",",0.5201468467712402,0.3087472915649414,0.25102201104164124,0.3139454126358032,0.4933079481124878,0.1565755307674408,0.3769696354866028,0.18948867917060852,0.2478695809841156,0.24953721463680267,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.33415094017982483,0.312528520822525,1.0,0.14126400649547577,0.4310511648654938,0.23464247584342957,0.256483793258667,0.24548950791358948,0.22068053483963013
rule,0.2128441035747528,0.30539435148239136,0.23199929296970367,0.14536087214946747,0.29894936084747314,0.13637037575244904,0.2750202715396881,0.2777150571346283,0.08540810644626617,0.3412541449069977,0.1955260932445526
of,0.5696388483047485,0.33290785551071167,0.31000128388404846,0.2603091299533844,0.733189046382904,0.1579294353723526,0.3307090103626251,0.2303989976644516,0.2122138887643814,0.2816956341266632,0.1826142966747284
