,the,passage,of,what,act,gave,victoria,its,own,government,?
within,0.39827480912208557,0.19620636105537415,0.39594778418540955,0.2498195916414261,0.14574092626571655,0.13397341966629028,0.07913593202829361,0.34678399562835693,0.29048529267311096,0.23049356043338776,0.1870293766260147
a,0.5829201340675354,0.25295591354370117,0.5052502155303955,0.3320399522781372,0.2060188204050064,0.26239895820617676,0.15216270089149475,0.4424409866333008,0.3093770742416382,0.25158295035362244,0.23916715383529663
short,0.29603123664855957,0.2161593735218048,0.2761780321598053,0.19211500883102417,0.0723673477768898,0.1017361730337143,0.12708185613155365,0.23148928582668304,0.17536701261997223,0.12059026956558228,0.16194626688957214
time,0.43061500787734985,0.1833244264125824,0.35127586126327515,0.36319252848625183,0.20753377676010132,0.20317798852920532,0.14946000277996063,0.2819722294807434,0.28468748927116394,0.2391197234392166,0.27391523122787476
",",0.4933079481124878,0.18721908330917358,0.4946078956127167,0.3087472915649414,0.1787904053926468,0.2448001652956009,0.2279360294342041,0.33157986402511597,0.2796398997306824,0.27344048023223877,0.31091248989105225
the,1.0,0.3817729353904724,0.733189046382904,0.42745697498321533,0.28682878613471985,0.32555076479911804,0.2204313427209854,0.559237003326416,0.334675133228302,0.31798112392425537,0.22068053483963013
imperial,0.3074202835559845,0.11434373259544373,0.3205159604549408,0.09280271828174591,0.19665896892547607,0.13046066462993622,0.15873028337955475,0.14497362077236176,0.14386962354183197,0.24476872384548187,0.10900196433067322
parliament,0.26521381735801697,0.21275590360164642,0.2885259687900543,0.21650300920009613,0.33536985516548157,0.16335906088352203,0.2823483645915985,0.23021577298641205,0.2036624699831009,0.5386218428611755,0.1586504578590393
granted,0.27588096261024475,0.15388619899749756,0.32803481817245483,0.2214755117893219,0.2761245667934418,0.3483627438545227,0.14293189346790314,0.21845000982284546,0.27404820919036865,0.3283393681049347,0.22870221734046936
victoria,0.2204313427209854,0.06876412779092789,0.2505437433719635,0.1194850504398346,0.19310076534748077,0.18202058970928192,1.0,0.17721910774707794,0.11347173899412155,0.25075703859329224,0.12246892601251602
responsible,0.3305104374885559,0.16133055090904236,0.37070101499557495,0.26869386434555054,0.33253034949302673,0.18106040358543396,0.10238213837146759,0.2769978642463684,0.33508893847465515,0.3373570740222931,0.11367333680391312
government,0.31798112392425537,0.17993725836277008,0.3475167155265808,0.28074538707733154,0.2979336380958557,0.21925665438175201,0.25075703859329224,0.27754512429237366,0.2687263488769531,1.0000001192092896,0.18851417303085327
with,0.4223487675189972,0.16158713400363922,0.41827285289764404,0.2464839518070221,0.18591532111167908,0.30591142177581787,0.1835653930902481,0.3087116777896881,0.290842205286026,0.2035938799381256,0.2433311939239502
the,1.0,0.3817729353904724,0.733189046382904,0.42745697498321533,0.28682878613471985,0.32555076479911804,0.2204313427209854,0.559237003326416,0.334675133228302,0.31798112392425537,0.22068053483963013
passage,0.3817729353904724,1.0,0.2346392720937729,0.24366621673107147,0.2916710674762726,0.15941870212554932,0.06876412779092789,0.20797623693943024,0.1216883510351181,0.17993725836277008,0.11149881780147552
of,0.733189046382904,0.2346392720937729,1.0,0.33290785551071167,0.2802577316761017,0.3650403320789337,0.2505437433719635,0.48690423369407654,0.3269667625427246,0.3475167155265808,0.1826142966747284
the,1.0,0.3817729353904724,0.733189046382904,0.42745697498321533,0.28682878613471985,0.32555076479911804,0.2204313427209854,0.559237003326416,0.334675133228302,0.31798112392425537,0.22068053483963013
colony,0.2740810811519623,0.19998155534267426,0.2552715241909027,0.26261213421821594,0.15786820650100708,0.10957653820514679,0.23235772550106049,0.2156071662902832,0.22619321942329407,0.3172589838504791,0.13831071555614471
of,0.733189046382904,0.2346392720937729,1.0,0.33290785551071167,0.2802577316761017,0.3650403320789337,0.2505437433719635,0.48690423369407654,0.3269667625427246,0.3475167155265808,0.1826142966747284
victoria,0.2204313427209854,0.06876412779092789,0.2505437433719635,0.1194850504398346,0.19310076534748077,0.18202058970928192,1.0,0.17721910774707794,0.11347173899412155,0.25075703859329224,0.12246892601251602
act,0.28682878613471985,0.2916710674762726,0.2802577316761017,0.2622668445110321,1.0,0.18997535109519958,0.19310076534748077,0.21298791468143463,0.1825133115053177,0.2979336380958557,0.1482519507408142
1855,0.09084628522396088,0.09576796740293503,0.024641981348395348,0.4055767059326172,0.10496512800455093,0.016137076541781425,-0.02297155000269413,0.14915911853313446,0.22408989071846008,0.1018795371055603,0.34596240520477295
.,0.5934505462646484,0.21818426251411438,0.5352458953857422,0.3567904531955719,0.2025400698184967,0.29957500100135803,0.23069117963314056,0.3566088080406189,0.3061371147632599,0.2521961033344269,0.4130953550338745
