,when,did,luther,introduce,the,new,worship,?
luther,0.14516782760620117,0.23667675256729126,1.0,0.12416218221187592,0.1759674996137619,0.14555130898952484,0.24786995351314545,0.1732746809720993
and,0.4716290831565857,0.34479495882987976,0.20796556770801544,0.2842489778995514,0.5171257257461548,0.31402453780174255,0.23005808889865875,0.20544172823429108
his,0.37120407819747925,0.3546801507472992,0.27093374729156494,0.1954396814107895,0.4394008219242096,0.24132801592350006,0.21135154366493225,0.18075084686279297
colleagues,0.23700353503227234,0.2787981927394867,0.15299086272716522,0.18079309165477753,0.1930164247751236,0.1461128443479538,0.08095735311508179,0.15860716998577118
introduced,0.21339701116085052,0.17650672793388367,0.05522856488823891,0.7996845841407776,0.242969810962677,0.285953551530838,0.09762096405029297,0.16386865079402924
the,0.5091903209686279,0.34736719727516174,0.1759674996137619,0.22310380637645721,1.0,0.3845241069793701,0.2739982008934021,0.22068053483963013
new,0.257220059633255,0.227974995970726,0.14555130898952484,0.2873581051826477,0.3845241069793701,0.9999999403953552,0.18809077143669128,0.14782847464084625
order,0.2338472604751587,0.22891858220100403,0.15481990575790405,0.20840898156166077,0.3284194767475128,0.1788160651922226,0.16300898790359497,0.13725648820400238
of,0.3757161796092987,0.2513895630836487,0.1719115972518921,0.2043139487504959,0.733189046382904,0.343457967042923,0.2610277831554413,0.1826142966747284
worship,0.16253983974456787,0.2547917664051056,0.24786995351314545,0.15233898162841797,0.2739982008934021,0.18809077143669128,0.9999999403953552,0.17813213169574738
during,0.46721696853637695,0.30679523944854736,0.18200165033340454,0.1527990698814392,0.4838213622570038,0.19458933174610138,0.15318380296230316,0.1325719803571701
their,0.3682888448238373,0.38078752160072327,0.1988239735364914,0.20685049891471863,0.516537070274353,0.25697171688079834,0.27117663621902466,0.1898253709077835
visitation,0.18799735605716705,0.12272689491510391,0.16479195654392242,0.1879168599843979,0.23022647202014923,0.10613234341144562,0.3520510494709015,0.20230261981487274
of,0.3757161796092987,0.2513895630836487,0.1719115972518921,0.2043139487504959,0.733189046382904,0.343457967042923,0.2610277831554413,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.1759674996137619,0.22310380637645721,1.0,0.3845241069793701,0.2739982008934021,0.22068053483963013
electorate,0.14022696018218994,0.18803367018699646,0.1452181488275528,0.20129722356796265,0.23709100484848022,0.268124520778656,0.1568145751953125,0.1467054933309555
of,0.3757161796092987,0.2513895630836487,0.1719115972518921,0.2043139487504959,0.733189046382904,0.343457967042923,0.2610277831554413,0.1826142966747284
saxony,0.20117338001728058,0.1633453220129013,0.2548035979270935,0.0348934680223465,0.27077290415763855,0.21360622346401215,0.15193651616573334,0.17603406310081482
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.20661146938800812,0.4933079481124878,0.36073189973831177,0.19550569355487823,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.17501473426818848,0.28423354029655457,0.6521818041801453,0.33739399909973145,0.2632685601711273,0.25814583897590637
began,0.25673019886016846,0.4415510594844818,0.17262868583202362,0.20339643955230713,0.3059147596359253,0.22779060900211334,0.16849114000797272,0.1370266228914261
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.18157897889614105,0.6662389636039734,0.3758552670478821,0.17689664661884308,0.20430970191955566
1527,0.11385843902826309,0.1527594029903412,0.11486634612083435,0.037419289350509644,0.23505787551403046,0.1190953478217125,0.1370774507522583,0.17475678026676178
.,0.475719153881073,0.35288307070732117,0.24907569587230682,0.26207107305526733,0.5934505462646484,0.35031336545944214,0.19617199897766113,0.4130953550338745
