,what,year,was,the,treaty,of,amsterdam,created,?
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.2690109610557556,0.733189046382904,0.18500292301177979,0.3539263904094696,0.22068053483963013
social,0.22217629849910736,0.08831923454999924,0.196878582239151,0.21797899901866913,0.17468462884426117,0.2605111300945282,0.1407994031906128,0.20306432247161865,0.1615191102027893
chapter,0.25136247277259827,0.16902074217796326,0.15535534918308258,0.29158273339271545,0.13891063630580902,0.2976560592651367,0.0745786800980568,0.19169975817203522,0.20212359726428986
is,0.28837618231773376,0.2402215600013733,0.5810302495956421,0.5823672413825989,0.17603619396686554,0.4854315221309662,0.12436121702194214,0.28467464447021484,0.22961433231830597
a,0.3320399522781372,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.14753150939941406,0.5052502155303955,0.170244500041008,0.30777761340141296,0.23916715383529663
chapter,0.25136247277259827,0.16902074217796326,0.15535534918308258,0.29158273339271545,0.13891063630580902,0.2976560592651367,0.0745786800980568,0.19169975817203522,0.20212359726428986
of,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2602092921733856,1.0,0.1580076962709427,0.32043445110321045,0.1826142966747284
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.2690109610557556,0.733189046382904,0.18500292301177979,0.3539263904094696,0.22068053483963013
1997,0.09033724665641785,-0.13858114182949066,-0.11245216429233551,0.017451778054237366,0.06982419639825821,-0.0036389639135450125,-0.020668603479862213,0.07891576737165451,0.03663474693894386
treaty,0.17237819731235504,0.1441882997751236,0.2409621626138687,0.2690109610557556,1.0,0.2602092921733856,0.1715167909860611,0.14129169285297394,0.1174844279885292
of,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2602092921733856,1.0,0.1580076962709427,0.32043445110321045,0.1826142966747284
amsterdam,0.09970812499523163,0.1335405856370926,0.281005859375,0.18500292301177979,0.1715167909860611,0.1580076962709427,0.9999999403953552,0.13998985290527344,0.1401052325963974
covering,0.20346681773662567,0.1431942880153656,0.21872106194496155,0.36934760212898254,0.0909675657749176,0.3818558156490326,0.08587075024843216,0.2251899689435959,0.10643069446086884
social,0.22217629849910736,0.08831923454999924,0.196878582239151,0.21797899901866913,0.17468462884426117,0.2605111300945282,0.1407994031906128,0.20306432247161865,0.1615191102027893
policy,0.3869883120059967,0.25289830565452576,0.1882478892803192,0.2358427494764328,0.33541345596313477,0.24393197894096375,0.09796714037656784,0.20588038861751556,0.30462446808815
issues,0.33279702067375183,0.20809859037399292,0.2080516368150711,0.2638932764530182,0.22425545752048492,0.2288406491279602,0.14176194369792938,0.1953928917646408,0.320565789937973
in,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.22333456575870514,0.5696388483047485,0.20347608625888824,0.2843434810638428,0.20430970191955566
european,0.15324164927005768,0.18094593286514282,0.22463937103748322,0.3423081040382385,0.25059598684310913,0.2507138252258301,0.2938917875289917,0.14858970046043396,0.14560863375663757
union,0.1396910548210144,0.10956501960754395,0.23276571929454803,0.24421639740467072,0.3147597312927246,0.2642118036746979,0.2148764580488205,0.14745761454105377,0.07797172665596008
law,0.2145031988620758,0.20950402319431305,0.21553055942058563,0.24548950791358948,0.3302869200706482,0.2816956341266632,0.1496446579694748,0.12906314432621002,0.1528988480567932
.,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.17410176992416382,0.5352458953857422,0.22949807345867157,0.3230568766593933,0.4130953550338745
