,who,did,espn,and,abc,sign,an,eight,year,deal,with,in,2005,?
on,0.2340552806854248,0.2670976221561432,0.24292799830436707,0.4077630043029785,0.2862928807735443,0.20838233828544617,0.3192969560623169,0.3176155984401703,0.27628999948501587,0.24813804030418396,0.40749499201774597,0.46853652596473694,0.018048860132694244,0.2714994251728058
december,0.2259318083524704,0.2542226016521454,0.18654567003250122,0.22940969467163086,0.16602325439453125,0.10976818948984146,0.20620359480381012,0.1835922747850418,0.32619014382362366,0.1561433970928192,0.14869219064712524,0.25854936242103577,0.167199969291687,0.2480352818965912
7,-0.12122417241334915,-0.147744283080101,-0.07115553319454193,-0.012642918154597282,-0.025838254019618034,-0.15845470130443573,-0.07402464002370834,-0.035816628485918045,-0.12103487551212311,-0.09584876149892807,-0.1633719950914383,-0.02604081481695175,0.08237165957689285,-0.15092156827449799
",",0.3365725874900818,0.3015086054801941,0.18262942135334015,0.6633074283599854,0.2097204476594925,0.21768593788146973,0.3581022024154663,0.28017938137054443,0.28560417890548706,0.2716866135597229,0.4120737314224243,0.5201468467712402,0.11050146818161011,0.31091248989105225
2005,0.18423187732696533,0.11135691404342651,-0.04382121562957764,0.05766887590289116,-0.0381508432328701,0.0966179370880127,0.013713877648115158,0.01660372130572796,0.13351094722747803,0.06442346423864365,-0.0030237799510359764,0.009931974112987518,1.0,0.10709824413061142
",",0.3365725874900818,0.3015086054801941,0.18262942135334015,0.6633074283599854,0.2097204476594925,0.21768593788146973,0.3581022024154663,0.28017938137054443,0.28560417890548706,0.2716866135597229,0.4120737314224243,0.5201468467712402,0.11050146818161011,0.31091248989105225
abc,0.14673753082752228,0.13353709876537323,0.42660194635391235,0.16453155875205994,1.0000001192092896,0.10976005345582962,0.16561369597911835,0.2205275595188141,0.2373921275138855,0.21461720764636993,0.17432008683681488,0.1697147786617279,-0.0381508432328701,0.19065172970294952
sports,0.15396633744239807,0.12759751081466675,0.4434240460395813,0.2629663348197937,0.20410163700580597,0.11087050288915634,0.1218428686261177,0.151966854929924,0.18717817962169647,0.21492908895015717,0.17335014045238495,0.27591386437416077,-0.038476698100566864,0.04557104781270027
and,0.41279885172843933,0.34479495882987976,0.17554140090942383,1.0,0.16453155875205994,0.1664041429758072,0.2838519215583801,0.33608970046043396,0.2506658732891083,0.2461770474910736,0.5477725267410278,0.4954058527946472,0.05766887590289116,0.20544172823429108
espn,0.1444098949432373,0.16097742319107056,1.0000001192092896,0.17554140090942383,0.42660194635391235,0.1024097353219986,0.1649792343378067,0.19877099990844727,0.20787926018238068,0.16524167358875275,0.2131955921649933,0.12142056226730347,-0.04382121562957764,0.1709517240524292
signed,0.23057805001735687,0.23087851703166962,0.16312247514724731,0.19545502960681915,0.16353438794612885,0.5858191251754761,0.18243291974067688,0.17956800758838654,0.29146623611450195,0.46490392088890076,0.32675501704216003,0.21830837428569794,0.10642625391483307,0.14003296196460724
an,0.2848317325115204,0.22598257660865784,0.1649792343378067,0.2838519215583801,0.16561369597911835,0.22533529996871948,1.0,0.15447495877742767,0.17045794427394867,0.1698499619960785,0.2730048894882202,0.2605783939361572,0.013713877648115158,0.19793890416622162
eight-year,0.1722811609506607,0.18516720831394196,0.2642561197280884,0.32966214418411255,0.270317405462265,0.18524153530597687,0.22890983521938324,0.6422995328903198,0.5591877102851868,0.21117207407951355,0.2088979035615921,0.355043888092041,0.16216085851192474,0.25363337993621826
broadcast,0.18632595241069794,0.17054221034049988,0.442352294921875,0.22526025772094727,0.4876510202884674,0.21087495982646942,0.19117678701877594,0.21504320204257965,0.23991180956363678,0.232683464884758,0.1932039111852646,0.26723843812942505,0.05471181869506836,0.15760008990764618
rights,0.3146883249282837,0.2525300085544586,0.1676875650882721,0.26346641778945923,0.16774038970470428,0.16457830369472504,0.2173870950937271,0.12449397146701813,0.1866040676832199,0.29898539185523987,0.147300586104393,0.17772755026817322,0.03541730344295502,0.21814769506454468
agreement,0.2349274456501007,0.2812501788139343,0.20771406590938568,0.22375741600990295,0.16430042684078217,0.4133616089820862,0.18085570633411407,0.18284176290035248,0.22348463535308838,0.46442872285842896,0.29106786847114563,0.20350398123264313,0.07064744830131531,0.15830197930335999
with,0.3282766342163086,0.25472134351730347,0.2131955921649933,0.5477725267410278,0.17432008683681488,0.24871012568473816,0.2730048894882202,0.21947719156742096,0.3220449686050415,0.4295210540294647,0.9999999403953552,0.4080928862094879,-0.0030237799510359764,0.2433311939239502
nascar,0.12135536223649979,0.1745467334985733,0.47921299934387207,0.17168951034545898,0.30389994382858276,0.06470143795013428,0.11852153390645981,0.15791507065296173,0.25942954421043396,0.1414269357919693,0.1007678359746933,0.1795310527086258,-0.03298230841755867,0.15554115176200867
",",0.3365725874900818,0.3015086054801941,0.18262942135334015,0.6633074283599854,0.2097204476594925,0.21768593788146973,0.3581022024154663,0.28017938137054443,0.28560417890548706,0.2716866135597229,0.4120737314224243,0.5201468467712402,0.11050146818161011,0.31091248989105225
allowing,0.2897742688655853,0.34487593173980713,0.1346929371356964,0.36344248056411743,0.08977925032377243,0.27661964297294617,0.18381313979625702,0.19673264026641846,0.1680530458688736,0.2786202132701874,0.3900178074836731,0.22594089806079865,-0.06429141014814377,0.1434045135974884
