,where,was,it,shown,to,have,a,0.3,%,prevalence,of,sexual,abuse,by,professionals,?
a,0.40997210144996643,0.4508470594882965,0.5452592968940735,0.2581788897514343,0.45503583550453186,0.338716596364975,1.0,-0.1077553853392601,0.17798779904842377,0.27991917729377747,0.5052502155303955,0.22016595304012299,0.22549399733543396,0.32094135880470276,0.21404023468494415,0.23916715383529663
study,0.26273444294929504,0.18420368432998657,0.2164122611284256,0.15506522357463837,0.3326032757759094,0.262853741645813,0.2268155962228775,0.14467623829841614,0.1986040472984314,0.36668404936790466,0.29377859830856323,0.23782110214233398,0.17606620490550995,0.1623244434595108,0.2855765223503113,0.15902167558670044
in,0.5344807505607605,0.45514053106307983,0.5130809545516968,0.2988935708999634,0.45010748505592346,0.36843645572662354,0.539380669593811,-0.06076190248131752,0.19465309381484985,0.33085858821868896,0.5696388483047485,0.18284602463245392,0.1632569581270218,0.370934396982193,0.20752385258674622,0.20430970191955566
england,0.23118865489959717,0.2656741440296173,0.2441660463809967,0.14823217689990997,0.27769553661346436,0.21146592497825623,0.2410653531551361,-0.12948790192604065,0.10401976108551025,0.208620086312294,0.24624483287334442,0.134531170129776,0.15390582382678986,0.21564382314682007,0.18027064204216003,0.13436897099018097
showed,0.1873513013124466,0.36072292923927307,0.21068361401557922,0.5084123611450195,0.2083204984664917,0.31257763504981995,0.2502788305282593,0.051205698400735855,0.2164071947336197,0.27549389004707336,0.31843405961990356,0.2034812867641449,0.1779559701681137,0.281570702791214,0.11349764466285706,0.17389845848083496
a,0.40997210144996643,0.4508470594882965,0.5452592968940735,0.2581788897514343,0.45503583550453186,0.338716596364975,1.0,-0.1077553853392601,0.17798779904842377,0.27991917729377747,0.5052502155303955,0.22016595304012299,0.22549399733543396,0.32094135880470276,0.21404023468494415,0.23916715383529663
0.3,-0.007973317056894302,-0.16677552461624146,-0.09549744427204132,0.023739224299788475,-0.03902629762887955,0.01992442086338997,-0.1077553853392601,1.0,-0.07123319059610367,0.0861358791589737,0.021720871329307556,0.022754361853003502,0.12042699754238129,-0.07326940447092056,-0.03964919596910477,0.0024098760914057493
%,0.1553906351327896,0.11743833869695663,0.2159399837255478,0.14246556162834167,0.18513022363185883,0.25054386258125305,0.17798779904842377,-0.07123319059610367,1.0,0.3633332848548889,0.19953428208827972,0.13989824056625366,0.17295965552330017,0.13780950009822845,0.15165004134178162,0.21441808342933655
prevalence,0.2504573166370392,0.09004367142915726,0.31089383363723755,0.23874272406101227,0.24496746063232422,0.3751431703567505,0.27991917729377747,0.0861358791589737,0.3633332848548889,1.0,0.3614538311958313,0.36169692873954773,0.29049915075302124,0.17194759845733643,0.2436409890651703,0.19084396958351135
of,0.38066378235816956,0.4069072902202606,0.38761502504348755,0.24332952499389648,0.41548454761505127,0.3802283704280853,0.5052502155303955,0.021720871329307556,0.19953428208827972,0.3614538311958313,1.0,0.23417127132415771,0.1888238936662674,0.3646814823150635,0.21767503023147583,0.1826142966747284
