,where,did,tesla,live,for,much,of,his,life,?
":121,154",-0.21054962277412415,-0.13700516521930695,-0.022404508665204048,-0.1605568826198578,-0.1377628743648529,-0.10239088535308838,-0.006701088044792414,-0.1196141242980957,-0.12193185091018677,-0.027972690761089325
he,0.3705328106880188,0.3292143940925598,0.12373391538858414,0.19680418074131012,0.4540175199508667,0.21974919736385345,0.38706058263778687,0.7171558737754822,0.2685181796550751,0.2089974731206894
lived,0.24023288488388062,0.2549818158149719,0.06386277079582214,0.5217254757881165,0.1412062644958496,0.20831970870494843,0.3103700876235962,0.2113359570503235,0.3585144579410553,0.1798510104417801
most,0.3678402900695801,0.2822507321834564,0.09699761122465134,0.25704798102378845,0.3906237483024597,0.4205867648124695,0.4178851246833801,0.28864049911499023,0.27878934144973755,0.2107497900724411
of,0.38066378235816956,0.2513895630836487,0.18837453424930573,0.27734068036079407,0.4185989499092102,0.2671096920967102,1.0,0.38364991545677185,0.2788603901863098,0.1826142966747284
his,0.29880598187446594,0.3546801507472992,0.1580733060836792,0.16446785628795624,0.39312878251075745,0.23178109526634216,0.38364991545677185,0.9999998807907104,0.37379691004753113,0.18075084686279297
life,0.19339025020599365,0.22298283874988556,0.07371766865253448,0.3060774803161621,0.244698166847229,0.3077531158924103,0.2788603901863098,0.37379691004753113,1.0,0.21677987277507782
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.3068392276763916,0.4322226941585541,0.2725222110748291,0.5696388483047485,0.3598145842552185,0.27054134011268616,0.20430970191955566
a,0.40997210144996643,0.2552328109741211,0.2211925983428955,0.21948647499084473,0.44038116931915283,0.2958075702190399,0.5052502155303955,0.3497250974178314,0.27076753973960876,0.23916715383529663
series,0.19584253430366516,0.15581852197647095,0.14642579853534698,0.11920711398124695,0.2715710699558258,0.16337554156780243,0.22268271446228027,0.23445890843868256,0.2284553349018097,0.1709602326154709
of,0.38066378235816956,0.2513895630836487,0.18837453424930573,0.27734068036079407,0.4185989499092102,0.2671096920967102,1.0,0.38364991545677185,0.2788603901863098,0.1826142966747284
new,0.26026442646980286,0.227974995970726,0.15999311208724976,0.2089664489030838,0.2700757384300232,0.21660366654396057,0.343457967042923,0.24132801592350006,0.20839716494083405,0.14782847464084625
york,0.21910661458969116,0.16606222093105316,0.15629629790782928,0.17646752297878265,0.23982049524784088,0.15520261228084564,0.23040355741977692,0.2475155144929886,0.18527956306934357,0.15262620151042938
hotels,0.24363790452480316,0.1869567632675171,0.13191211223602295,0.15617045760154724,0.21526117622852325,0.14178705215454102,0.20648407936096191,0.1287548691034317,0.1883428543806076,0.10922709107398987
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.29754534363746643,0.4464869201183319,0.36182254552841187,0.4946078956127167,0.3378419280052185,0.24050940573215485,0.31091248989105225
through,0.331196665763855,0.14190755784511566,0.1141991838812828,0.20837853848934174,0.3172857463359833,0.2705850303173065,0.3647414743900299,0.2592720687389374,0.19851860404014587,0.16913433372974396
his,0.29880598187446594,0.3546801507472992,0.1580733060836792,0.16446785628795624,0.39312878251075745,0.23178109526634216,0.38364991545677185,0.9999998807907104,0.37379691004753113,0.18075084686279297
retirement,0.20449118316173553,0.240531325340271,0.15925318002700806,0.13131892681121826,0.31771034002304077,0.15924066305160522,0.23304976522922516,0.44853758811950684,0.3394039273262024,0.12655292451381683
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.32964062690734863,0.4726039469242096,0.3374604284763336,0.5352458953857422,0.3119256794452667,0.3029138445854187,0.4130953550338745
