,which,part,of,the,v,&,a,collection,did,the,salting,bequest,enhanced,?
a,0.56894451379776,0.3994528353214264,0.5052502155303955,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.24716788530349731,0.2552328109741211,0.5829201340675354,0.29165178537368774,0.24805915355682373,0.22714707255363464,0.23916715383529663
major,0.31470122933387756,0.22967763245105743,0.2641255557537079,0.31775903701782227,0.11065537482500076,0.07058929651975632,0.22990699112415314,0.18903550505638123,0.20997437834739685,0.31775903701782227,0.15327411890029907,0.18282045423984528,0.10992968827486038,0.19788557291030884
boost,0.3113580048084259,0.16881276667118073,0.21631518006324768,0.2371932715177536,0.3143330216407776,0.14839443564414978,0.24351035058498383,0.192835733294487,0.25381484627723694,0.2371932715177536,0.1542614847421646,0.21604804694652557,0.3480161130428314,0.19418038427829742
to,0.5345056653022766,0.2875264883041382,0.41548454761505127,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.15417452156543732,0.4452643394470215,0.535392165184021,0.2779283821582794,0.3401663601398468,0.21100686490535736,0.29463258385658264
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.34736719727516174,1.0,0.29557669162750244,0.27512025833129883,0.20192280411720276,0.22068053483963013
collections,0.319350928068161,0.2765542268753052,0.3185039758682251,0.27174001932144165,0.09366906434297562,0.163213849067688,0.2494979351758957,0.9249221086502075,0.15909697115421295,0.27174001932144165,0.09939377009868622,0.29953306913375854,0.21500012278556824,0.1873358190059662
was,0.2830964922904968,0.3407018780708313,0.4069072902202606,0.48711544275283813,0.16128918528556824,0.12134000658988953,0.4508470594882965,0.1743653565645218,0.41399896144866943,0.48711544275283813,0.18129965662956238,0.3015955984592438,0.09456757456064224,0.18412111699581146
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.34736719727516174,1.0,0.29557669162750244,0.27512025833129883,0.20192280411720276,0.22068053483963013
salting,0.3380662202835083,0.14604003727436066,0.2864784300327301,0.29557669162750244,0.08325067162513733,0.03200465068221092,0.29165178537368774,0.09621156752109528,0.17154091596603394,0.29557669162750244,1.0,0.18132686614990234,0.2395741045475006,0.2930932641029358
bequest,0.22139106690883636,0.21128502488136292,0.30752936005592346,0.27512025833129883,0.12646634876728058,0.23523591458797455,0.24805915355682373,0.2727102041244507,0.2293984442949295,0.27512025833129883,0.18132686614990234,1.0,0.16746635735034943,0.22906942665576935
made,0.3407467305660248,0.2793762683868408,0.33167365193367004,0.3885267674922943,0.14221197366714478,0.13146528601646423,0.3180864453315735,0.20294539630413055,0.3068731725215912,0.3885267674922943,0.23343844711780548,0.24450980126857758,0.24200333654880524,0.17218779027462006
in,0.4840516746044159,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23004686832427979,0.2593238651752472,0.6662389636039734,0.238237664103508,0.2849925756454468,0.143305703997612,0.20430970191955566
1909,0.11006590723991394,0.08014402538537979,0.17318421602249146,0.21335244178771973,0.03905055671930313,0.08221761137247086,0.12971773743629456,-0.010474234819412231,0.1655982881784439,0.21335244178771973,0.09199449419975281,0.21892863512039185,0.07588530331850052,0.057647012174129486
",",0.3658004403114319,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2277175933122635,0.3015086054801941,0.4933079481124878,0.3588552474975586,0.3688803017139435,0.14953115582466125,0.31091248989105225
which,1.0,0.4460882246494293,0.5011631846427917,0.6521818041801453,0.1653934270143509,0.16294614970684052,0.56894451379776,0.30199134349823,0.2750149369239807,0.6521818041801453,0.3380662202835083,0.22139106690883636,0.32782697677612305,0.25814583897590637
enriched,0.3429083824157715,0.23319803178310394,0.28112536668777466,0.2503047585487366,0.08398905396461487,0.10014358162879944,0.1866326928138733,0.19101791083812714,0.14471882581710815,0.2503047585487366,0.27154433727264404,0.12398657202720642,0.33589354157447815,0.0692734569311142
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.34736719727516174,1.0,0.29557669162750244,0.27512025833129883,0.20192280411720276,0.22068053483963013
museum,0.22731433808803558,0.2040945291519165,0.23314370214939117,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.4441815912723541,0.14870306849479675,0.24861779808998108,0.04093917831778526,0.3421292304992676,0.09802132844924927,0.14128351211547852
's,0.03856118768453598,0.007562864106148481,-0.03817026689648628,-0.01540423184633255,-0.008823617361485958,-0.02038128487765789,0.04866964742541313,0.003388406243175268,0.05069678649306297,-0.01540423184633255,-0.005290144123136997,0.03663630038499832,0.07895758002996445,-0.023395681753754616
stock,0.22003258764743805,0.19921134412288666,0.20828957855701447,0.21356552839279175,0.18983052670955658,0.2234484702348709,0.25261884927749634,0.16070500016212463,0.0815865769982338,0.21356552839279175,0.2158488780260086,0.1604447066783905,0.15373627841472626,0.14784406125545502
of,0.5011631846427917,0.452393114566803,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.2915455996990204,0.2513895630836487,0.733189046382904,0.2864784300327301,0.30752936005592346,0.25994354486465454,0.1826142966747284
chinese,0.21241894364356995,0.10866256803274155,0.24275560677051544,0.2785343527793884,0.11446908861398697,0.055103451013565063,0.23124997317790985,0.14770722389221191,0.19065357744693756,0.2785343527793884,0.13215182721614838,0.18348398804664612,0.10444813221693039,0.20843194425106049
and,0.506277859210968,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.34479495882987976,0.5171257257461548,0.2457580715417862,0.29343608021736145,0.2361598163843155,0.20544172823429108
japanese,0.19711120426654816,0.15873174369335175,0.2048201858997345,0.21599429845809937,0.08218204230070114,0.07294594496488571,0.24601349234580994,0.20850582420825958,0.14879822731018066,0.21599429845809937,0.052622485905885696,0.13854575157165527,0.1432681381702423,0.12021756172180176
ceramics,0.22145546972751617,0.2247198224067688,0.27865979075431824,0.2034795880317688,0.09988190978765488,0.09382772445678711,0.18882760405540466,0.2409246265888214,0.09529630839824677,0.2034795880317688,0.28696250915527344,0.1857360601425171,0.20913581550121307,0.13330718874931335
.,0.45942068099975586,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.2516246736049652,0.35288307070732117,0.5934505462646484,0.29941055178642273,0.26005375385284424,0.15774193406105042,0.4130953550338745
